,Measure,peopleMake,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmin7,F,0.0,1559598.375,653658.625,383621.375,1038436.5,684835.0,1195583.625,371186.34375,371877.0,403621.90625,313678.875,976884.0,412103.46875
1,29,Fmin7,F,56.0,277.03564453125,425.7969055175781,2071.38623046875,581.4313354492188,723.3770141601562,3165.011474609375,780.4103393554688,289.3443603515625,1418.7645263671875,875.6301879882812,1957.5533447265625,366.4010009765625
2,30,Bb7,Bb,58.0,2139.41552734375,483.2655029296875,624.7099609375,2683.182861328125,1224.3497314453125,1620.4166259765625,323.9908142089844,654.3380126953125,1582.76171875,366.39404296875,192.72071838378906,479.2506408691406
3,31,Fmin7,F,60.0,276.679443359375,428.4578857421875,2073.824462890625,580.7409057617188,723.4902954101562,3160.2880859375,774.5237426757812,289.7539367675781,1417.4615478515625,872.3706665039062,1954.93359375,366.549560546875
4,32,Bb7,Bb,62.0,1.4590329556085635e-05,1.7246935385628603e-05,1.2445311767805833e-05,1.3180095265852287e-05,1.5324192645493895e-05,1.7584350644028746e-05,1.9353798052179627e-05,2.0076713553862646e-05,1.9545936083886772e-05,1.829218126658816e-05,1.68422357091913e-05,1.5243770576489624e-05
