,Measure,Dangerous Curves B,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
19,35,C9,C,68.0,1031.212890625,357.1596374511719,538.0101928710938,719.9789428710938,1310.1954345703125,564.0003662109375,556.0046997070312,602.7261352539062,239.6501922607422,272.7670593261719,591.0430297851562,665.9041137695312
20,35,G13,G,69.0,97.44380950927734,47.893341064453125,83.48414611816406,138.87562561035156,243.2686767578125,149.13160705566406,105.94298553466797,308.78533935546875,157.73220825195312,658.60498046875,1049.2171630859375,203.4293670654297
21,36,G13,G,70.0,2945.552734375,852.6192016601562,1089.640380859375,919.723876953125,1530.3291015625,4402.150390625,1734.74853515625,2113.908935546875,621.2764892578125,1150.4256591796875,660.4690551757812,2561.15380859375
22,37,C9,C,72.0,1675.947265625,728.80615234375,3038.455078125,1176.3995361328125,3731.2109375,765.0154418945312,321.6761169433594,1472.1966552734375,429.42626953125,405.9146728515625,1714.4364013671875,805.4296264648438
23,38,A9,A,74.0,109.37198638916016,248.391845703125,102.97795867919922,131.9772186279297,358.1649169921875,120.67156219482422,65.38926696777344,253.9663543701172,156.0664520263672,227.8459014892578,92.27640533447266,257.14892578125
24,38,Bb9,Bb,74.66666666666667,28.7127628326416,73.5422592163086,35.04648971557617,60.6505126953125,203.13856506347656,41.50941848754883,50.18015670776367,260.4284973144531,67.36344146728516,16.04895782470703,15.498126029968262,73.93251037597656
25,38,B9,B,75.33333333333333,344.2302551269531,145.04611206054688,279.7131042480469,112.2129135131836,126.32987213134766,385.2089538574219,178.7568817138672,93.51712799072266,164.8591766357422,152.1653289794922,273.5537109375,190.1772003173828
26,39,C9,C,76.0,3334.691162109375,1119.3646240234375,1967.2847900390625,2373.613037109375,4377.88720703125,1889.8341064453125,1961.7281494140625,3363.955322265625,985.3965454101562,851.92138671875,2008.9652099609375,1973.22509765625
27,40,G13,G,78.0,2743.185302734375,800.9234008789062,1073.0908203125,859.1350708007812,1429.32958984375,3851.308349609375,1613.0159912109375,2071.318115234375,640.381591796875,1298.9700927734375,625.5982055664062,2228.740478515625
28,41,C9,C,80.0,495.3939514160156,225.7268829345703,881.740234375,377.06201171875,1096.298828125,239.3870391845703,107.71832275390625,446.9974060058594,129.5117645263672,129.8462677001953,502.287109375,260.8736267089844
29,41,G7,G,81.0,78.79922485351562,21.98197364807129,62.39894485473633,54.772247314453125,170.20262145996094,47.61356735229492,13.666838645935059,41.61875534057617,10.645413398742676,11.77829647064209,33.36491012573242,27.52338981628418
30,42,Cmin9,C,82.0,1974.9525146484375,974.0322875976562,4111.60302734375,3724.4736328125,1218.3543701171875,1685.2708740234375,765.1477661132812,2334.884521484375,471.6978759765625,557.4334716796875,2143.057861328125,1439.5513916015625
31,43,F13,F,84.0,2143.707763671875,884.8757934570312,3425.79296875,3777.127685546875,1922.64599609375,1838.9674072265625,631.7314453125,1958.6466064453125,841.7431030273438,2143.22314453125,2309.107666015625,883.66357421875
32,44,Bmin9,B,86.0,345.6152648925781,683.9421997070312,661.0465698242188,266.910400390625,146.9127197265625,300.2650146484375,1174.48388671875,234.5141143798828,214.60508728027344,1097.9749755859375,277.6716613769531,593.2958984375
33,44,E9,E,87.0,79.1678237915039,111.05571746826172,336.2839050292969,264.8420104980469,294.1626892089844,185.88258361816406,884.6083984375,237.14283752441406,619.2515258789062,213.8194122314453,142.77789306640625,446.0350036621094
34,45,Bbmin9,Bb,88.0,721.7211303710938,580.9816284179688,195.11749267578125,142.406982421875,272.5556945800781,920.34716796875,254.8790283203125,184.98756408691406,729.0707397460938,300.0640563964844,585.0504150390625,262.699951171875
35,45,Eb9,Eb,89.0,186.30517578125,410.8034362792969,236.5340118408203,242.47718811035156,178.3117218017578,580.7584838867188,206.1973114013672,760.4745483398438,210.3994140625,141.5390167236328,298.74847412109375,117.49594116210938
36,46,A9,A,90.0,754.620849609375,1797.7198486328125,649.3219604492188,894.7190551757812,2917.515869140625,1266.0406494140625,525.5643310546875,1741.01123046875,870.6515502929688,1672.4207763671875,649.4164428710938,2415.726806640625
37,47,A9,A,92.0,225.36048889160156,529.2449951171875,174.6714324951172,267.2069091796875,970.2694702148438,296.7621765136719,179.54852294921875,578.8165893554688,315.8141174316406,550.3290405273438,200.15721130371094,583.5003662109375
38,47,G13,G,93.0,37.138404846191406,85.38489532470703,44.36650085449219,57.90217590332031,215.53466796875,101.32565307617188,82.67377471923828,294.60089111328125,161.13958740234375,680.1755981445312,956.1366577148438,176.86009216308594
39,48,C7,C,94.0,4701.34423828125,913.9349975585938,926.3106079101562,1346.8729248046875,5115.92822265625,3215.883544921875,1021.9745483398438,2893.968017578125,806.88330078125,876.843017578125,1877.93408203125,2043.4600830078125
40,49,G13,G,96.0,2736.101806640625,813.5787963867188,1093.4134521484375,781.2540893554688,1446.2593994140625,3769.114013671875,1478.2991943359375,1895.8873291015625,607.7495727539062,1298.0557861328125,628.1001586914062,2255.62109375
41,50,C7,C,98.0,1773.5582275390625,393.6740417480469,353.3205261230469,753.287353515625,3735.5947265625,897.03564453125,326.49627685546875,1452.8853759765625,424.0476989746094,736.6029663085938,4437.83056640625,1223.69482421875
42,51,G13,G,100.0,2738.058349609375,804.2998046875,1124.7586669921875,791.3233032226562,1438.7227783203125,3810.4853515625,1487.5626220703125,1891.9503173828125,607.2183227539062,1318.0472412109375,628.60205078125,2252.985595703125
43,52,C7,C,102.0,20691.248046875,4032.62890625,3620.408447265625,8050.06005859375,44255.29296875,10422.533203125,3439.334228515625,16350.9248046875,4539.4736328125,6479.44091796875,38212.78515625,11647.3642578125
44,58,G13,G,114.0,208.787841796875,85.6906967163086,107.1056137084961,78.17005157470703,142.24578857421875,342.7603759765625,157.34852600097656,159.9093780517578,67.550537109375,136.1444549560547,72.58406066894531,195.3416748046875
45,59,C9,C,116.0,27539.556640625,7394.76220703125,21577.462890625,11241.4677734375,45520.91015625,11264.4755859375,3851.449951171875,17316.771484375,5025.37890625,4765.59228515625,18493.443359375,10963.2978515625
46,65,C7,C,128.0,1788.5399169921875,377.625732421875,271.8317565917969,773.5567016601562,3759.6806640625,661.0306396484375,279.99176025390625,1492.779296875,401.6776428222656,334.759033203125,1690.2808837890625,764.6845703125
47,66,G13,G,130.0,2845.111572265625,1103.538330078125,2754.83203125,1037.30517578125,1479.0609130859375,3804.953857421875,1517.0909423828125,2052.302490234375,761.973876953125,1734.7464599609375,2514.190185546875,2640.021728515625
48,67,C7,C,132.0,1627.7467041015625,350.7915954589844,330.0451354980469,757.0128784179688,3740.589111328125,756.227294921875,289.2881164550781,1476.1549072265625,402.836669921875,345.3037414550781,1696.7105712890625,794.1283569335938
49,68,G13,G,134.0,2831.4814453125,1113.9874267578125,2796.5654296875,1049.632568359375,1492.1983642578125,3847.330078125,1541.4033203125,2189.926025390625,778.6452026367188,1728.0111083984375,2481.746826171875,2620.023193359375
50,69,G13,G,136.0,2717.60498046875,799.6138305664062,1159.2689208984375,757.7761840820312,1327.25634765625,3735.197998046875,1490.18994140625,1892.22216796875,601.8826293945312,1290.7689208984375,632.9898681640625,2325.796142578125
51,70,C7,C,138.0,1907.2662353515625,401.5629577636719,327.005126953125,755.8168334960938,3739.626953125,756.4948120117188,288.2256164550781,1474.46533203125,400.7476501464844,348.0733642578125,1718.50048828125,828.201416015625
52,71,G13,G,140.0,2745.894775390625,805.177490234375,1140.8553466796875,779.5195922851562,1428.3665771484375,3932.864501953125,1547.7940673828125,1888.8934326171875,634.5667724609375,2065.1865234375,5911.76904296875,2998.037109375
53,72,C7,C,142.0,1627.8369140625,351.5673522949219,323.8200988769531,760.8579711914062,3739.761962890625,755.259521484375,288.8614196777344,1473.8248291015625,402.2243347167969,345.3376770019531,1699.7093505859375,792.6025390625
54,73,G13,G,144.0,2746.527587890625,804.457763671875,1137.026123046875,778.7557983398438,1428.81201171875,3932.738525390625,1547.6151123046875,1888.9508056640625,634.1822509765625,2070.240478515625,5953.541015625,3004.6728515625
55,74,C7,C,146.0,1627.8074951171875,351.5648193359375,323.1335144042969,760.995849609375,3739.839111328125,755.2236328125,288.8702392578125,1473.8961181640625,402.2249450683594,345.372314453125,1699.841796875,792.56494140625
56,75,G13,G,148.0,2744.672607421875,805.57080078125,1154.8592529296875,787.208984375,1430.7430419921875,3921.633056640625,1588.8370361328125,2219.994873046875,687.9356079101562,2013.2613525390625,5541.40576171875,2947.982421875
57,76,G13,G,150.0,779.2742309570312,261.3291931152344,599.9591674804688,253.45948791503906,441.7552185058594,1319.2528076171875,460.5396728515625,961.731689453125,248.76438903808594,336.2921447753906,222.11656188964844,742.7778930664062
