,Measure,"Cat, TheEb",chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,D9,D,0.0,12478.0029296875,11901.21484375,9850.1142578125,5495.31640625,22021.005859375,8298.0185546875,12218.8095703125,4586.8857421875,4525.771484375,10941.828125,2992.384033203125,3042.2001953125
1,6,D9,D,10.0,6418.583984375,3625.655029296875,4822.04248046875,2816.989501953125,11558.4189453125,3756.2783203125,5822.462890625,2661.73095703125,4300.88623046875,17162.689453125,2864.660888671875,1393.4698486328125
2,10,G7,G,18.0,426.6543884277344,431.3160400390625,1939.7117919921875,529.954833984375,863.978271484375,4942.5791015625,1632.3092041015625,2152.063720703125,521.0178833007812,652.6904296875,534.016845703125,1905.1920166015625
3,12,D9,D,22.0,1907.17529296875,872.942626953125,3792.409423828125,1418.8780517578125,4075.377197265625,1053.8314208984375,1945.5367431640625,528.7764282226562,503.0016784667969,593.6275634765625,191.92152404785156,463.80810546875
4,14,A7,A,26.0,468.2423095703125,720.192626953125,123.59236907958984,205.68345642089844,1160.6646728515625,209.05108642578125,109.23395538330078,574.7162475585938,221.5766143798828,209.91603088378906,43.47800827026367,98.12163543701172
5,15,G7,G,28.0,136.43560791015625,117.64556884765625,351.2208557128906,141.9872283935547,341.6762390136719,1623.4527587890625,390.8059997558594,426.2151794433594,91.81673431396484,122.0442886352539,148.0360565185547,584.04931640625
6,16,D9,D,30.0,4407.71435546875,2066.794189453125,8501.10546875,2963.994873046875,8079.48388671875,2673.360107421875,4034.9892578125,1083.67724609375,987.0582885742188,1269.60205078125,435.9908752441406,1152.477294921875
