,Measure,Straight Street,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bbmin7,Bb,0.0,212.5715789794922,542.8248901367188,182.7178192138672,134.3255157470703,244.81085205078125,956.5072631835938,372.2474060058594,131.1753692626953,473.8271484375,373.8419494628906,653.4114379882812,352.9914855957031
1,1,Bmin7,B,1.0,143.72206115722656,285.4666442871094,540.0650024414062,217.402587890625,122.14153289794922,525.88720703125,1332.630126953125,242.39064025878906,114.64505767822266,393.0894775390625,208.5757293701172,505.6024169921875
2,2,Bmin7,B,2.0,103.21536254882812,217.9962615966797,309.5710754394531,169.3241729736328,656.3926391601562,202.12071228027344,195.95359802246094,77.03861999511719,316.3172912597656,192.9882049560547,84.6545181274414,305.9017333984375
3,2,E7,E,3.0,217.779541015625,70.39922332763672,69.21189880371094,91.15955352783203,376.9499816894531,110.26904296875,130.69863891601562,223.39483642578125,108.84127044677734,205.33575439453125,45.03586959838867,75.33743286132812
4,3,Amin7,A,4.0,79.28413391113281,41.76861572265625,126.28204345703125,31.08544921875,78.11878204345703,52.797821044921875,163.76210021972656,30.49652862548828,58.996097564697266,392.4713439941406,62.38596725463867,27.01717185974121
5,3,D7,D,5.0,21.42608070373535,32.69466018676758,94.65494537353516,27.342470169067383,90.92019653320312,354.9891052246094,92.38480377197266,115.65111541748047,41.810665130615234,152.8509063720703,142.33631896972656,46.73215103149414
6,4,Gmin7,G,6.0,257.26483154296875,61.478515625,43.638946533203125,81.7020034790039,478.703125,158.18978881835938,61.00795364379883,196.8439178466797,242.57603454589844,1369.08203125,368.1994323730469,79.33614349365234
7,4,C7,C,7.0,281.2510986328125,69.44278717041016,105.645751953125,359.1953125,194.20416259765625,388.5230407714844,98.4487075805664,257.8915710449219,139.37026977539062,57.70041275024414,22.7799129486084,57.34611511230469
8,5,Fmin7,F,8.0,67.40757751464844,54.04668045043945,226.93797302246094,122.0884780883789,110.14582061767578,426.8595886230469,99.2774658203125,53.07182312011719,177.6221160888672,290.1659240722656,1482.2850341796875,236.4951171875
9,5,Bb7,Bb,9.0,40.40272521972656,197.20408630371094,136.51271057128906,402.8101806640625,90.82881927490234,118.39010620117188,296.5699768066406,70.36988067626953,24.908464431762695,34.5598258972168,157.6136932373047,26.34795379638672
10,6,Ebmin7,Eb,10.0,267.8065490722656,1170.7899169921875,520.916259765625,380.9126281738281,368.6688232421875,261.005615234375,698.4108276367188,1731.3450927734375,459.0903015136719,86.15294647216797,129.74302673339844,207.176513671875
11,7,E7,E,12.0,180.46217346191406,458.5188903808594,135.12071228027344,240.24986267089844,339.8775329589844,419.69775390625,299.0539855957031,433.0033874511719,2636.495849609375,490.602294921875,203.74017333984375,102.07195281982422
12,8,F#maj7,F#,14.0,209.3109588623047,189.6995849609375,210.6149444580078,205.44017028808594,160.00057983398438,377.8269958496094,701.8462524414062,495.5648193359375,2823.921630859375,590.970458984375,95.7081298828125,53.709197998046875
13,9,D7,D,16.0,242.32630920410156,192.0937957763672,522.013916015625,405.0068664550781,208.42510986328125,274.0438537597656,536.3961791992188,357.374755859375,1602.4373779296875,389.7199401855469,478.7192077636719,132.83738708496094
