,Measure,Sonny's Crib,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb,Bb,0.0,184.7907257080078,625.0791625976562,2011.7205810546875,435.4424133300781,703.2800903320312,3050.8701171875,693.67333984375,94.09809112548828,293.3572692871094,1143.0941162109375,4997.22119140625,795.3161010742188
1,2,F7(#9),F,2.0,1.3044041395187378,2.605233669281006,10.579452514648438,2.6590416431427,7.430601596832275,34.5322380065918,6.25462532043457,1.0510574579238892,2.247912645339966,81.4107894897461,558.1295776367188,74.97130584716797
2,2,Bb7,Bb,3.0,382.7702941894531,108.81881713867188,158.13572692871094,587.2158813476562,308.6988830566406,313.4263000488281,127.42413330078125,118.89486694335938,273.8750305175781,245.54730224609375,127.86001586914062,94.75439453125
3,3,Bb,Bb,4.0,311.9010925292969,608.4296264648438,1808.0606689453125,806.4677124023438,768.2369995117188,3195.485107421875,723.9678344726562,141.10791015625,472.8401184082031,1253.0494384765625,5094.611328125,840.417236328125
4,4,F7(#9),F,6.0,3.730065107345581,3.6946704387664795,14.086334228515625,13.791847229003906,8.9364595413208,38.243263244628906,7.354814529418945,1.7346954345703125,3.162694215774536,80.92829132080078,556.1505737304688,75.14025115966797
5,4,Bb7,Bb,7.0,383.1637878417969,108.96514892578125,158.82167053222656,591.8150634765625,309.2638244628906,315.1273498535156,128.01507568359375,119.07723999023438,274.2932434082031,245.6585235595703,127.98149871826172,95.00521087646484
6,5,Bb,Bb,8.0,311.8946228027344,608.4421997070312,1808.0784912109375,805.8524780273438,768.1720581054688,3195.306884765625,723.918212890625,141.0867156982422,472.7892761230469,1252.9866943359375,5094.52392578125,840.4230346679688
7,6,Bb7,Bb,10.0,3.729907751083374,3.6947546005249023,14.085884094238281,13.791393280029297,8.936354637145996,38.242942810058594,7.3549017906188965,1.7348995208740234,3.1628243923187256,80.92724609375,556.1441040039062,75.13916778564453
8,6,Eb7,Eb,11.0,55.54869079589844,116.20606231689453,365.674072265625,170.98585510253906,170.67236328125,590.1339721679688,142.27548217773438,66.36016845703125,193.93116760253906,162.4208984375,378.1531982421875,111.55281829833984
9,7,Bb,Bb,12.0,233.35951232910156,854.1914672851562,2266.778076171875,1352.443359375,944.776123046875,3287.714111328125,792.9851684570312,401.2424621582031,346.7690124511719,1172.0247802734375,5282.7451171875,873.4356079101562
10,8,F7(#9),F,14.0,1.7214961051940918,3.195781946182251,13.297757148742676,16.033443450927734,11.68094539642334,35.6931266784668,5.932334899902344,1.8454245328903198,3.267057418823242,71.2063980102539,494.6173095703125,67.09375
11,8,Bb7,Bb,15.0,382.0104064941406,108.89757537841797,157.6061248779297,582.0681762695312,307.8626403808594,312.12200927734375,126.80255126953125,121.7113037109375,273.7099914550781,244.7623291015625,119.2829360961914,93.6930923461914
12,9,Bb,Bb,16.0,313.3648376464844,613.1795043945312,1808.6497802734375,807.1190795898438,768.713623046875,3195.066162109375,722.3473510742188,141.5126190185547,473.2900085449219,1245.274658203125,5030.9931640625,832.4790649414062
13,10,C7,C,18.0,3.0232086181640625,4.613725185394287,17.568218231201172,40.304073333740234,13.585537910461426,31.900453567504883,5.713778972625732,3.274195432662964,2.8567657470703125,2.837409019470215,7.376405239105225,1.7594889402389526
