,Measure,feellike,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmin7,F,0.0,2123.2177734375,484.314697265625,623.0775756835938,2666.891357421875,1174.4395751953125,1342.5667724609375,295.4137268066406,673.5239868164062,1623.9581298828125,367.5299377441406,191.0084686279297,469.838623046875
1,2,Bb7,Bb,2.0,61.57884216308594,15.389488220214844,30.57958221435547,130.30642700195312,38.22614669799805,54.7525634765625,16.569461822509766,29.14820098876953,8.513031959533691,5.127142906188965,12.395533561706543,16.249155044555664
2,3,Ebmaj7,Eb,4.0,176.9005126953125,618.7960815429688,3938.650390625,3790.337646484375,807.986083984375,963.0222778320312,717.3235473632812,3812.887451171875,835.896484375,487.0759582519531,1958.6507568359375,458.3838195800781
3,4,Db7,Db,6.0,250.7400360107422,518.8811645507812,141.301025390625,103.1355209350586,260.0464782714844,1110.457763671875,220.22679138183594,90.04153442382812,414.927001953125,97.65460205078125,105.6538314819336,548.345703125
4,4,C7(#9),C,7.0,550.3799438476562,217.1521453857422,139.26556396484375,366.5611572265625,1136.033447265625,416.9074401855469,129.7940216064453,480.9053649902344,140.0045928955078,116.00223541259766,510.3645935058594,284.54022216796875
5,5,Fmin7,F,8.0,2131.797119140625,530.2224731445312,627.4354248046875,2895.513427734375,1876.6912841796875,1644.4564208984375,348.1026306152344,778.0966796875,1612.6497802734375,383.5453796386719,299.71728515625,525.2105712890625
6,6,Bb7,Bb,10.0,64.04129791259766,33.679256439208984,39.5355110168457,151.98678588867188,76.224365234375,104.86569213867188,23.5490779876709,41.44369125366211,12.79455280303955,8.599869728088379,25.405515670776367,19.04728126525879
7,7,Ebmaj7,Eb,12.0,175.8220977783203,618.2890014648438,3971.913330078125,4052.775390625,850.4082641601562,962.1079711914062,719.2025756835938,3809.5205078125,837.2459106445312,485.5496520996094,1945.2625732421875,458.5183410644531
8,8,Bbmin7,Bb,14.0,90.1043472290039,241.23681640625,72.70509338378906,47.32688522338867,121.16596221923828,419.8956604003906,91.0692138671875,50.68397521972656,224.7191925048828,124.06158447265625,241.2358856201172,68.91664123535156
9,8,Eb7,Eb,14.666666666666664,23.380327224731445,68.19817352294922,15.021567344665527,10.285351753234863,29.1584415435791,135.6614532470703,19.62431526184082,7.567966461181641,35.695526123046875,11.801197052001953,31.9936580657959,16.463274002075195
10,8,A7,A,15.333333333333336,37.152496337890625,154.20823669433594,84.30533599853516,223.74949645996094,65.70207977294922,70.99370574951172,45.2792854309082,117.89633178710938,42.574405670166016,35.705894470214844,141.3354034423828,37.672882080078125
11,9,Abmaj7,Ab,16.0,1967.8468017578125,1191.8531494140625,813.2855834960938,3002.875732421875,1957.7662353515625,479.4236755371094,463.4158020019531,2468.076416015625,1876.12255859375,551.0361938476562,317.8045654296875,518.6235961914062
12,10,Gmin7,G,18.0,251.5092315673828,355.3505554199219,1089.7664794921875,402.1346740722656,806.144775390625,3050.3125,1047.3681640625,1668.11767578125,399.6369323730469,712.6521606445312,1937.6199951171875,383.5927429199219
13,11,Db7,Db,20.0,791.2488403320312,1672.53466796875,488.0907287597656,567.8107299804688,778.5839233398438,3679.008544921875,696.0313110351562,290.0058898925781,1283.0235595703125,342.9728698730469,387.4071044921875,1988.5262451171875
14,12,Cmin7,C,22.0,507.5691833496094,162.52566528320312,303.4726867675781,962.1426391601562,295.4531555175781,82.11373901367188,147.0940704345703,869.398681640625,164.64260864257812,114.06427001953125,559.6543579101562,250.13157653808594
15,12,A7,A,23.0,88.14481353759766,27.460783004760742,36.74321365356445,191.4252471923828,31.468652725219727,18.103864669799805,17.39447593688965,94.8755111694336,16.75497055053711,5.558557033538818,29.749069213867188,21.03455924987793
16,13,Abmaj7,Ab,24.0,1968.2794189453125,1080.212890625,746.0374145507812,2731.585205078125,1914.7374267578125,418.5546569824219,472.1677551269531,2473.386962890625,1928.6578369140625,534.1951293945312,196.89703369140625,482.5958251953125
17,14,Gmin7,G,26.0,248.7807159423828,351.3681640625,1105.2371826171875,403.0757141113281,793.3564453125,3012.955078125,1042.9012451171875,1668.2637939453125,398.6742858886719,708.5366821289062,1926.1063232421875,385.5071716308594
18,15,Db7,Db,28.0,286.6768493652344,518.0291137695312,173.12315368652344,217.4187469482422,266.87322998046875,1167.3980712890625,225.21604919433594,125.18212890625,430.1708068847656,125.2088623046875,108.9339828491211,550.9960327148438
19,15,Cmin7,C,29.0,519.3823852539062,564.7935791015625,348.3974304199219,678.9197387695312,447.8711242675781,1679.71240234375,307.2204284667969,353.47998046875,219.045654296875,164.91017150878906,426.2280578613281,363.025146484375
20,17,F7,F,32.0,8692.9423828125,1908.9110107421875,2641.938720703125,13617.65625,6278.39404296875,6514.24560546875,1180.2828369140625,1338.9346923828125,1645.9158935546875,5507.30810546875,1403.1981201171875,1773.86376953125
