,Measure,630blues,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Ab7,Ab,2.0,266.9158020019531,126.54117584228516,181.85536193847656,897.4822387695312,304.58416748046875,619.8634033203125,831.775146484375,620.8840942382812,2923.753662109375,539.8197631835938,104.31417083740234,80.32754516601562
1,3,Ab7,Ab,4.0,266.9316101074219,126.56295013427734,181.90087890625,897.7211303710938,304.6581115722656,620.0307006835938,832.5585327148438,621.0068969726562,2923.686279296875,539.8119506835938,104.30947875976562,80.3183822631836
2,4,Ab7,Ab,6.0,266.9316101074219,126.56304931640625,181.9003143310547,897.7157592773438,304.6571350097656,620.030029296875,832.5609741210938,621.0074462890625,2923.679931640625,539.8099365234375,104.30950927734375,80.31932830810547
3,5,Ab7,Ab,8.0,486.4962158203125,1586.3143310546875,355.5206298828125,377.1004333496094,182.2854766845703,564.9111938476562,248.4319305419922,317.5869445800781,1746.2081298828125,876.828125,3913.853759765625,1433.5595703125
4,6,Db7,Db,10.0,456.4549865722656,1665.9508056640625,328.1844787597656,202.8878936767578,189.2379150390625,797.7568969726562,251.89674377441406,313.3026428222656,1712.5562744140625,886.4662475585938,3992.121826171875,1423.8004150390625
5,7,Db7,Db,12.0,232.7642822265625,186.53375244140625,143.49806213378906,688.332763671875,303.0754089355469,845.1326293945312,756.16650390625,565.910400390625,2748.261962890625,522.2157592773438,105.12738037109375,76.96686553955078
6,8,Ab7,Ab,14.0,268.5870056152344,145.351806640625,187.1869659423828,898.9968872070312,317.1205749511719,671.6892700195312,831.54443359375,628.0327758789062,2951.662353515625,542.5745849609375,104.38204956054688,80.00592803955078
7,9,Ab7,Ab,16.0,631.2955322265625,891.067626953125,394.9132995605469,978.8850708007812,260.0552673339844,220.5020294189453,208.87310791015625,400.7986145019531,130.01170349121094,388.3383483886719,2420.402587890625,484.4674072265625
8,10,Eb7,Eb,18.0,442.4341735839844,1651.6273193359375,358.4589538574219,374.1073303222656,179.8183135986328,551.5875854492188,188.3736572265625,320.7296142578125,1723.7181396484375,927.8799438476562,4309.01318359375,1476.6610107421875
9,11,Db7,Db,20.0,232.82252502441406,184.63710021972656,150.07664489746094,717.0442504882812,304.1604919433594,850.0335083007812,758.90673828125,571.7412109375,2747.698486328125,525.3306884765625,114.77096557617188,79.39823150634766
10,12,Ab7,Ab,22.0,270.5790710449219,140.86180114746094,184.801513671875,898.8220825195312,310.9656066894531,592.2193603515625,448.30224609375,567.681640625,2945.303955078125,538.8742065429688,100.1363754272461,78.55438995361328
11,13,Ab,Ab,24.0,271.8891296386719,133.5477294921875,179.67710876464844,901.982421875,308.4450988769531,615.3890380859375,775.0089721679688,623.9500122070312,3019.791748046875,551.8912963867188,104.78964233398438,81.3729019165039
12,14,Ab7,Ab,26.0,109.3614273071289,37.1460075378418,92.98548126220703,444.5411071777344,89.06216430664062,46.01860046386719,161.28488159179688,38.808387756347656,19.730863571166992,7.638691425323486,11.40516185760498,24.40891456604004
