,Measure,Liberia,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmin,F,0.0,2021.4749755859375,361.8929138183594,204.36328125,841.0328979492188,822.9636840820312,3610.239501953125,676.5978393554688,368.3818359375,1301.9276123046875,247.3887939453125,130.98171997070312,321.49835205078125
1,2,Cmin,C,2.0,2895.80859375,588.2393188476562,714.2177734375,3138.87109375,924.4220581054688,248.9246826171875,292.462158203125,1694.4954833984375,300.5817565917969,91.3260269165039,168.65782165527344,630.3828735351562
2,3,Fmin,F,4.0,2348.2314453125,376.0185546875,94.25196075439453,217.3905792236328,714.2365112304688,3621.349853515625,659.8518676757812,299.4642028808594,1250.126953125,240.77862548828125,97.71724700927734,355.3039855957031
3,4,Cmin,C,6.0,1579.0152587890625,383.9854736328125,692.3804321289062,3157.010009765625,871.2953491210938,237.3114471435547,268.9683532714844,1456.07080078125,237.21502685546875,85.26923370361328,159.42698669433594,442.8651428222656
4,5,Fmin,F,8.0,2423.37353515625,408.1741943359375,197.18682861328125,911.9495239257812,851.3896484375,3643.913818359375,677.9061889648438,390.168212890625,1288.4881591796875,248.83323669433594,135.8536834716797,382.3156433105469
5,6,Cmin,C,10.0,1991.8758544921875,455.1063232421875,694.2982788085938,3197.366455078125,885.847900390625,237.4901885986328,269.0025329589844,1465.69873046875,238.313232421875,85.57056427001953,160.56044006347656,498.0813903808594
6,7,Dmin7,D,12.0,630.1395874023438,246.9931182861328,633.7772216796875,198.6832275390625,309.3100280761719,1052.8399658203125,408.8121337890625,1130.7630615234375,273.92169189453125,417.7990417480469,93.76443481445312,127.39321899414062
7,7,G7,G,13.0,622.7412109375,192.55848693847656,401.1645202636719,210.1567840576172,246.0030059814453,992.0000610351562,444.657470703125,499.5521240234375,137.26007080078125,147.2421417236328,157.86000061035156,616.1605224609375
8,8,Cmin7,C,14.0,1067.9228515625,346.1842346191406,959.89208984375,2491.007080078125,953.6084594726562,961.917236328125,425.002685546875,1630.5367431640625,329.1268005371094,387.4666748046875,2009.73876953125,840.8793334960938
9,9,D7,D,16.0,2434.463134765625,863.0092163085938,1881.1773681640625,547.7942504882812,304.03350830078125,781.8877563476562,3848.877685546875,712.4048461914062,251.78668212890625,1258.843505859375,375.9913330078125,883.9945678710938
10,10,D7,D,18.0,2404.374267578125,878.2611694335938,1906.4935302734375,484.0294494628906,239.7447052001953,789.1190795898438,3924.419189453125,717.10546875,253.530029296875,1328.0643310546875,930.3886108398438,948.6460571289062
11,11,D7,D,20.0,2188.232177734375,848.6961059570312,1879.796875,463.1974182128906,263.042236328125,756.1288452148438,3904.078125,715.357666015625,253.14695739746094,1335.1876220703125,967.2717895507812,893.696044921875
12,12,D7,D,22.0,1955.05419921875,803.6492309570312,1870.6260986328125,394.34423828125,222.5836944580078,727.1981811523438,3825.585205078125,710.150146484375,362.5606384277344,1244.9456787109375,277.3895568847656,331.4483947753906
13,13,D7,D,24.0,2039.79736328125,811.986083984375,1875.3760986328125,396.28955078125,232.2925567626953,720.4530639648438,3849.545166015625,692.2094116210938,240.057861328125,1228.7362060546875,300.5428161621094,484.56494140625
14,14,D7,D,26.0,3755.438720703125,1055.4603271484375,1885.8673095703125,416.6583251953125,289.0338439941406,736.7158813476562,3871.7158203125,918.1578979492188,291.78765869140625,1221.4669189453125,293.6645812988281,580.7186889648438
15,15,D7,D,28.0,2158.096435546875,842.66259765625,1884.2880859375,453.6611022949219,254.3575897216797,748.468994140625,3911.100341796875,712.2352905273438,251.5107879638672,1326.4715576171875,926.89208984375,888.908935546875
16,16,D7,D,30.0,2043.7906494140625,813.7199096679688,1869.9603271484375,392.0352783203125,227.8813934326172,720.3218383789062,3822.543701171875,709.1836547851562,360.6004333496094,1244.3602294921875,276.15692138671875,341.8481750488281
