,Measure,SourceThe,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,B13,B,0.0,695.6172485351562,2174.73828125,1021.0383911132812,2113.2412109375,3192.028076171875,1433.0772705078125,1738.5223388671875,621.966796875,1808.98828125,1914.8638916015625,592.4854736328125,706.3870239257812
1,2,B13,B,2.0,10235.7255859375,36233.27734375,15272.86328125,41675.44140625,55111.91015625,20882.875,34042.59375,10156.2783203125,23848.982421875,22947.796875,8814.197265625,13276.3349609375
2,10,Bmin13,B,18.0,727.531494140625,2202.802490234375,1091.5028076171875,1233.1505126953125,3055.3701171875,1513.3421630859375,2222.8212890625,726.92578125,1951.86767578125,2095.0810546875,679.0614624023438,1079.3507080078125
3,11,C#min13,C#,20.0,577.0547485351562,790.9165649414062,968.4170532226562,3425.321533203125,1947.0281982421875,1087.829833984375,3832.7822265625,1245.4571533203125,1907.6983642578125,711.48876953125,2254.48193359375,2446.327392578125
4,12,Dmin13,D,22.0,2555.891357421875,673.033447265625,770.1510620117188,1041.0057373046875,3921.034912109375,2105.091796875,1185.4453125,1776.9051513671875,935.271240234375,2032.7132568359375,786.1674194335938,2487.960693359375
5,13,Emin13,E,24.0,785.9545288085938,2239.83740234375,1461.6336669921875,1273.283935546875,1728.8890380859375,1032.1771240234375,4536.849609375,2356.69189453125,646.5589599609375,1291.4139404296875,773.0253295898438,2305.830322265625
6,14,B7,B,26.0,3481.7294921875,2175.08740234375,5708.357421875,27571.59375,5286.17578125,4934.21044921875,29367.365234375,5388.59033203125,2283.527587890625,8484.439453125,5251.27197265625,18380.205078125
7,18,Dmaj7,D,34.0,320.4967956542969,2161.389892578125,2200.311279296875,431.4003601074219,275.6273498535156,751.4948120117188,3744.326416015625,647.7418823242188,284.9518737792969,1244.4581298828125,248.3841552734375,115.07039642333984
8,19,Cmaj7,C,36.0,2097.285888671875,430.358642578125,299.7019348144531,751.3272094726562,3680.348876953125,666.6201782226562,368.9336853027344,1454.7197265625,342.688232421875,167.0841522216797,354.0743713378906,2265.524169921875
9,20,G/Bb,G,38.0,197.3946075439453,163.5636749267578,641.1954345703125,267.8976745605469,95.21013641357422,83.7338638305664,332.1061096191406,514.2416381835938,102.02462005615234,166.9307861328125,212.8430633544922,931.908203125
10,20,Amaj7,A,39.0,471.0743713378906,1161.0411376953125,586.9697265625,507.5978698730469,1765.5888671875,514.6408081054688,291.5182189941406,447.9861755371094,1326.7947998046875,2953.420654296875,619.1023559570312,918.458984375
11,22,Dmaj7,D,42.0,297.8565979003906,1993.9954833984375,2218.16552734375,445.28125,363.11669921875,776.7123413085938,3735.538330078125,648.1493530273438,294.1712951660156,1252.5867919921875,250.82969665527344,125.05054473876953
12,23,Cmaj7,C,44.0,2074.346923828125,418.256591796875,302.3365478515625,762.5064086914062,3717.118408203125,674.1600952148438,368.0726318359375,1460.6129150390625,344.7572021484375,165.3240509033203,333.6523742675781,2128.58056640625
13,24,G/Bb,G,46.0,196.32713317871094,162.21932983398438,640.9613647460938,268.7021484375,96.3144302368164,83.57308197021484,331.67236328125,513.1123657226562,102.3097915649414,167.3710174560547,213.35675048828125,931.884521484375
14,24,Bmaj7,B,47.0,284.4195251464844,154.8625946044922,496.8443603515625,751.60107421875,281.7913513183594,211.95188903808594,856.7030639648438,365.4587097167969,383.5868835449219,2272.233642578125,872.1513671875,1222.6307373046875
15,26,B13,B,50.0,10622.21484375,36523.45703125,15906.6455078125,43898.515625,55929.76171875,21746.111328125,37961.26171875,10797.8779296875,24743.259765625,23169.521484375,9050.318359375,14803.2177734375
16,34,Bmin13,B,66.0,727.5010375976562,2202.521484375,1090.55615234375,1233.0784912109375,3055.561767578125,1513.41357421875,2223.83740234375,727.0112915039062,1951.7384033203125,2095.048095703125,679.248046875,1080.1439208984375
17,35,C#min13,C#,68.0,577.0516967773438,790.908447265625,968.0519409179688,3425.852294921875,1947.1717529296875,1088.1839599609375,3837.395751953125,1245.3570556640625,1907.1622314453125,711.4111938476562,2253.678466796875,2446.468017578125
