,Measure,SourceThe,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
18,36,Dmin13,D,70.0,2555.782470703125,672.7843627929688,771.9806518554688,1038.66845703125,3914.846435546875,2104.04833984375,1181.2542724609375,1772.8929443359375,937.5625610351562,2081.792724609375,795.5794067382812,2497.563720703125
19,37,Emin13,E,72.0,785.952880859375,2239.845703125,1461.64501953125,1273.2716064453125,1728.8779296875,1032.2259521484375,4537.21240234375,2356.75537109375,646.5441284179688,1291.32421875,773.006103515625,2305.80810546875
20,38,B13,B,74.0,2037.4075927734375,6252.09716796875,2984.859130859375,6837.33544921875,9976.9287109375,4090.989990234375,6050.28857421875,1813.6025390625,4776.78369140625,5039.03759765625,1795.1051025390625,2962.845458984375
21,40,B13,B,78.0,1893.6026611328125,6500.21728515625,2754.177001953125,6487.220703125,9609.9794921875,3995.2900390625,5980.13916015625,1882.2640380859375,4897.35791015625,4918.81982421875,1688.8424072265625,2051.90087890625
22,42,Dmaj7,D,82.0,352.008544921875,2380.375732421875,2231.536376953125,451.0062561035156,302.4412841796875,759.9432983398438,3791.8427734375,657.8427124023438,289.7682189941406,1243.72119140625,249.24853515625,114.4958724975586
23,43,Cmaj7,C,84.0,2099.464111328125,444.3538818359375,305.8927917480469,756.1466674804688,3659.7802734375,667.0084838867188,378.2236328125,1456.3448486328125,344.2056579589844,168.01608276367188,351.5765075683594,2251.96484375
24,44,G/Bb,G,86.0,600.8473510742188,478.9706726074219,2129.328125,814.6790161132812,275.9404602050781,238.59649658203125,952.0454711914062,1673.0020751953125,320.3070373535156,491.9502258300781,628.5233154296875,3061.509033203125
25,45,Amaj7,A,88.0,497.5065612792969,1716.8341064453125,458.1898193359375,710.857421875,2743.9033203125,743.0714721679688,237.12937927246094,347.92822265625,1743.4000244140625,1735.7271728515625,346.5244140625,365.7617492675781
26,46,Dmaj7,D,90.0,363.6705017089844,2415.091064453125,2248.537353515625,492.774658203125,379.6684265136719,751.470947265625,3731.684326171875,655.9063110351562,289.3501281738281,1234.5467529296875,249.04052734375,123.17899322509766
27,47,Cmaj7,C,92.0,2082.0830078125,470.1885070800781,306.7313232421875,761.2766723632812,3713.586181640625,675.0947265625,368.9692077636719,1462.4405517578125,344.7222595214844,168.133056640625,334.0942077636719,2128.621337890625
28,48,G/Bb,G,94.0,603.2057495117188,484.1449279785156,2131.86328125,813.6810913085938,276.6965637207031,238.14703369140625,948.7498168945312,1672.3367919921875,320.9913024902344,491.5319519042969,626.927490234375,3060.141845703125
29,49,Bmaj7,B,96.0,365.9375305175781,207.01202392578125,748.6384887695312,3325.9921875,571.667236328125,693.2366333007812,3736.993896484375,667.29833984375,130.05349731445312,393.8134460449219,2154.03125,1987.6282958984375
30,50,B13,B,98.0,4708.53466796875,16264.4150390625,6672.70068359375,17364.646484375,24619.1640625,9421.759765625,13657.24609375,4106.35791015625,11225.4443359375,11034.6748046875,3955.716552734375,5395.3916015625
31,54,E13,E,106.0,1899.5657958984375,6077.38916015625,7027.88818359375,4503.34326171875,5010.58642578125,2787.882568359375,11830.3125,3105.192138671875,5294.35205078125,4355.73388671875,2042.0028076171875,6595.55419921875
32,56,B13,B,110.0,1864.7293701171875,6342.00537109375,2724.458251953125,6219.44775390625,9458.34375,3897.567138671875,5432.34033203125,1680.8541259765625,4806.4970703125,4858.47119140625,1514.7957763671875,1919.2371826171875
33,58,E13,E,114.0,734.2512817382812,2522.387451171875,2563.1123046875,1714.2103271484375,1717.1458740234375,1050.4808349609375,4170.48779296875,1200.37646484375,2082.580322265625,1643.4140625,745.9442749023438,2245.47998046875
34,59,D13,D,116.0,2305.1201171875,660.9981079101562,724.7814331054688,893.5253295898438,3447.954345703125,1136.6749267578125,2044.8653564453125,1864.57275390625,867.4888305664062,1973.8511962890625,760.4313354492188,2463.29345703125
35,60,B13,B,118.0,1998.6058349609375,6345.84765625,2771.869873046875,6203.619140625,9420.8662109375,3906.638427734375,5484.01220703125,1748.06005859375,4817.91845703125,4809.71435546875,1521.7794189453125,2059.290283203125
36,62,D#min7,D#,122.0,2.2459685802459717,3.782862424850464,2.0211374759674072,3.6925208568573,5.081906795501709,1.9578661918640137,2.465313196182251,1.0219539403915405,0.9582906365394592,0.5623753070831299,0.7093238234519958,1.4073477983474731
37,62,Cmaj7,C,123.0,104.64328002929688,584.0760498046875,323.0648498535156,915.8408813476562,190.81597900390625,267.3471374511719,1126.676513671875,223.44300842285156,51.0629768371582,107.77996826171875,594.2929077148438,109.46912384033203
38,63,G#min7,G#,124.0,423.5033264160156,109.33059692382812,60.64377975463867,352.729736328125,718.8605346679688,149.44886779785156,204.80328369140625,310.7303771972656,78.02051544189453,32.089900970458984,129.13052368164062,429.5909729003906
39,63,G7,G,125.0,207.03184509277344,95.49456024169922,196.48814392089844,822.576904296875,290.5325927734375,238.42356872558594,1122.8299560546875,363.8237609863281,485.2517395019531,128.4113311767578,185.2870330810547,679.046875
40,64,Emin11,E,126.0,309.10064697265625,187.1786651611328,687.7804565429688,983.9074096679688,579.1430053710938,2307.774169921875,875.6303100585938,878.5985717773438,211.9613494873047,172.45851135253906,274.3243408203125,1233.2503662109375
41,65,Ebmaj7,Eb,128.0,129.62567138671875,219.49334716796875,1128.24609375,1129.0540771484375,390.3101501464844,191.13584899902344,539.3283081054688,684.6994018554688,185.54156494140625,399.7046203613281,658.473388671875,372.6795349121094
42,65,Dmaj7,D,129.0,114.29280853271484,650.5548706054688,708.5498046875,393.9194030761719,164.70460510253906,263.1014709472656,1020.4392700195312,236.67100524902344,104.66761016845703,418.4241943359375,116.22965240478516,100.4786148071289
43,66,D#min7,D#,130.0,8.367196083068848,56.56449508666992,114.75479888916016,41.48258590698242,19.875947952270508,27.938993453979492,116.9690933227539,21.034244537353516,5.9930291175842285,24.736257553100586,10.175775527954102,9.868548393249512
44,66,Cmaj7,C,131.0,107.2927017211914,568.9967651367188,333.2549743652344,896.1928100585938,188.70310974121094,258.1089782714844,1138.37744140625,231.0223388671875,51.38533401489258,111.11124420166016,600.0845947265625,117.43807983398438
45,67,D#min7,D#,132.0,425.1754150390625,112.59613037109375,70.76245880126953,352.7509765625,709.1582641601562,145.1758270263672,205.89878845214844,313.1381530761719,78.20851135253906,37.71123123168945,130.41079711914062,440.0200500488281
46,67,Ebmaj7,Eb,133.0,195.25146484375,581.977783203125,301.5065002441406,920.82958984375,306.2658996582031,267.0679626464844,1064.0811767578125,223.0814666748047,55.1425666809082,104.49271392822266,580.7023315429688,304.8748474121094
47,68,Cmaj7,C,134.0,111.31982421875,352.4872131347656,1745.0703125,1933.599609375,326.1385192871094,137.99534606933594,530.1380004882812,947.887451171875,169.80447387695312,240.63011169433594,1179.140625,277.7376708984375
48,69,Bbmaj7,Bb,136.0,448.1018371582031,604.7646484375,2124.535888671875,587.6571655273438,1290.1602783203125,3053.5107421875,744.6974487304688,286.8763427734375,319.0008239746094,1733.4664306640625,2109.1279296875,507.0638122558594
49,70,Emin,E,138.0,7.301412582397461,4.595017910003662,13.772784233093262,15.786343574523926,17.470067977905273,27.30982780456543,9.353131294250488,3.1507320404052734,1.0883960723876953,2.7313249111175537,2.7589502334594727,2.242703914642334
50,70,F,F,139.0,110.14242553710938,47.51356506347656,80.869384765625,248.3603057861328,995.5308227539062,218.5500946044922,139.51065063476562,647.5413208007812,141.1112060546875,46.5476188659668,93.20024871826172,554.7971801757812
51,71,Emin,E,140.0,830.9946899414062,189.3607635498047,146.6890106201172,710.556884765625,3584.30859375,1904.1107177734375,584.9345703125,1775.7579345703125,425.576904296875,410.1822814941406,363.6434020996094,2103.503173828125
52,72,Ddim,D,142.0,47.18312454223633,75.27374267578125,272.1771545410156,95.14053344726562,143.46998596191406,552.7485961914062,149.63246154785156,56.18962097167969,227.81170654296875,81.18804168701172,22.498641967773438,19.353853225708008
53,72,Ebmaj,Eb,142.66666666666666,15.225600242614746,25.810522079467773,129.37168884277344,315.12158203125,105.8096923828125,209.36351013183594,70.98332977294922,158.3515167236328,67.81448364257812,70.84375,211.46092224121094,45.634246826171875
54,72,Ddim7,D,143.33333333333334,326.7243957519531,285.7636413574219,1689.61767578125,1683.0721435546875,932.8212280273438,3086.3896484375,643.4369506835938,455.3841247558594,668.4269409179688,320.53070068359375,435.2582702636719,1387.76318359375
55,74,D#min7,D#,146.0,100.12322235107422,553.2849731445312,338.3291931152344,903.0060424804688,176.135498046875,245.67401123046875,1036.5867919921875,203.6473846435547,52.0575065612793,104.08340454101562,562.3695678710938,101.45975494384766
56,74,Cmaj7,C,147.0,7.221086025238037,38.764156341552734,41.40138244628906,187.7098846435547,40.44707489013672,57.17021179199219,304.9482727050781,58.871707916259766,3.212214231491089,7.813404560089111,57.299678802490234,14.205187797546387
57,75,G#min7,G#,148.0,405.1267395019531,86.6197738647461,27.930830001831055,159.30889892578125,710.5092163085938,135.24534606933594,73.29058074951172,285.7997131347656,76.31401824951172,26.811979293823242,97.06159210205078,436.2176513671875
58,75,G7,G,149.0,203.44358825683594,85.54171752929688,198.868408203125,848.9170532226562,296.0599670410156,229.4476776123047,1070.747802734375,352.7602233886719,492.1128234863281,133.5605926513672,207.2928466796875,687.0527954101562
59,76,Ebmaj7,Eb,150.0,101.62017059326172,61.876468658447266,218.18138122558594,310.1376647949219,189.5890350341797,697.6968383789062,270.7969665527344,268.0305480957031,77.43106079101562,56.179500579833984,91.24588775634766,379.580322265625
60,76,Cmaj7,C,151.0,785.9296264648438,1159.7633056640625,6683.80712890625,7217.20166015625,2127.324951171875,1357.8583984375,864.6708984375,3192.6875,760.362548828125,1617.4681396484375,3869.551513671875,1543.556640625
61,78,Fmaj7,F,154.0,2049.699462890625,408.397705078125,192.37721252441406,691.56689453125,3361.728515625,1892.0631103515625,349.0019836425781,381.1761169433594,611.2929077148438,1679.8917236328125,364.8354187011719,506.0550842285156
62,79,Ebmaj7,Eb,156.0,201.77610778808594,443.0582580566406,2766.419677734375,3384.621826171875,681.3325805664062,271.53704833984375,314.3674011230469,1553.6297607421875,321.9238586425781,407.3908386230469,1889.1026611328125,429.5128173828125
63,80,Ab/B,Ab,158.0,1920.130859375,633.634033203125,1219.876953125,2617.961181640625,851.7543334960938,324.8877258300781,262.2724914550781,695.8108520507812,1640.0484619140625,599.7324829101562,332.8916931152344,832.4382934570312
64,81,Cmaj7,C,160.0,2135.14599609375,419.3668212890625,308.3700256347656,836.83056640625,3680.778076171875,647.5994262695312,328.3174133300781,1471.4769287109375,353.0552978515625,169.4686737060547,353.5492858886719,2197.871826171875
65,82,Ebmaj7,Eb,162.0,203.2859649658203,429.4675598144531,2685.998291015625,3475.843994140625,658.9198608398438,171.23834228515625,296.0481872558594,1594.0244140625,329.0609130859375,394.1332702636719,1915.6639404296875,450.6429443359375
66,83,Dbmaj7,Db,164.0,2563.455810546875,2088.3603515625,396.9538879394531,282.0874938964844,790.0474243164062,3863.998046875,707.234130859375,306.6134948730469,1238.7384033203125,255.76954650878906,128.0920867919922,380.6222839355469
67,84,Ab/B,Ab,166.0,480.7845764160156,212.7469482421875,406.9305419921875,749.34130859375,276.8413391113281,119.59246063232422,90.88592529296875,229.0769500732422,468.5950622558594,214.04095458984375,115.28365325927734,230.1651611328125
68,84,Cmaj7,C,167.0,5623.10986328125,1420.4853515625,1907.8587646484375,4167.541015625,6788.669921875,1635.8973388671875,857.5598754882812,2881.443359375,872.1337890625,655.7543334960938,780.1961059570312,4310.84033203125
