,Measure,GrazingInTheGrassII,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmaj7,F,0.0,595.623291015625,133.13368225097656,57.951602935791016,216.5035400390625,964.660888671875,501.0171813964844,113.0069580078125,111.44452667236328,209.54051208496094,527.2525024414062,128.51309204101562,169.52647399902344
1,1,Dmin7,D,1.0,722.1764526367188,281.0418701171875,574.9708862304688,147.24327087402344,496.3560791015625,1289.9012451171875,294.0581359863281,84.33932495117188,97.66506958007812,435.4151306152344,97.67703247070312,132.85464477539062
2,2,Gmin7,G,2.0,168.06129455566406,126.51531982421875,382.5561218261719,131.7825164794922,235.63938903808594,858.178955078125,334.7291259765625,486.0331726074219,153.3490753173828,305.9354553222656,564.732177734375,141.7147979736328
3,2,C7,C,3.0,484.6206970214844,131.39317321777344,167.89755249023438,295.86505126953125,1119.7017822265625,401.9261779785156,124.6025390625,469.2816162109375,124.68439483642578,119.4865493774414,531.4608764648438,242.50270080566406
4,3,Fmaj7,F,4.0,590.19482421875,128.71835327148438,70.39862823486328,205.57923889160156,965.73388671875,582.3920288085938,134.61622619628906,160.08152770996094,215.77581787109375,526.6707153320312,164.0204620361328,173.147705078125
5,3,Dmin7,D,5.0,924.114013671875,315.3525695800781,558.3241577148438,149.03524780273438,518.0797729492188,1336.705078125,302.2877502441406,90.16547393798828,101.91436004638672,443.6551513671875,102.154052734375,162.5363006591797
6,4,Gmin7,G,6.0,178.8509979248047,132.7125701904297,378.2120666503906,139.5892791748047,248.21034240722656,895.6598510742188,349.1302795410156,605.6476440429688,358.7847595214844,365.4805908203125,574.5557250976562,144.98760986328125
7,4,C7,C,7.0,208778.0,48944.484375,69741.6484375,75929.9375,302808.53125,224864.625,88728.8203125,414032.90625,312450.28125,204938.25,219101.4375,92799.2421875
8,37,Fmaj7,F,72.0,594.89892578125,133.04733276367188,58.12346267700195,215.9418487548828,965.6548461914062,500.2926025390625,113.46097564697266,111.50042724609375,208.49229431152344,527.4767456054688,128.72828674316406,169.12380981445312
9,37,Dmin7,D,73.0,722.1782836914062,281.04083251953125,574.9730224609375,147.2438507080078,496.359619140625,1289.9052734375,294.0578308105469,84.33899688720703,97.66547393798828,435.4170227050781,97.6772689819336,132.8553924560547
10,38,Gmin7,G,74.0,168.0612335205078,126.51620483398438,382.5569152832031,131.78294372558594,235.64024353027344,858.1815795898438,334.72802734375,486.0337219238281,153.3499298095703,305.9376525878906,564.734130859375,141.71484375
11,38,C7,C,75.0,3250.8720703125,716.2255859375,825.8710327148438,1536.7928466796875,7378.21484375,2524.9853515625,710.5613403320312,2972.903076171875,800.9691772460938,685.2251586914062,3302.5830078125,1379.3035888671875
