,Measure,FusionJazzDance,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin7,C,0.0,155.2024688720703,86.96465301513672,177.7263946533203,819.9246215820312,272.1554260253906,53.08383560180664,51.5772819519043,260.7911682128906,314.87884521484375,1685.2802734375,447.6275634765625,103.15843963623047
1,2,Dbmaj7,Db,2.0,731.1775512695312,287.6957092285156,137.22254943847656,448.7985534667969,221.6317596435547,367.664306640625,107.1155014038086,478.4443054199219,1624.9915771484375,282.7471008300781,69.84235382080078,126.9966049194336
2,3,Cmin7,C,4.0,200.0483856201172,136.56272888183594,113.71231842041016,328.4195251464844,142.91134643554688,270.7821350097656,79.08866119384766,153.4643096923828,62.99957275390625,42.47414016723633,174.255859375,88.46004486083984
3,4,Dbmaj7,Db,6.0,270.6780090332031,239.12535095214844,117.51494598388672,272.019287109375,149.26388549804688,465.1058349609375,351.42138671875,140.2015838623047,179.833251953125,108.58499145507812,504.2501220703125,166.34426879882812
4,5,Cmin7,C,8.0,199.90728759765625,136.62535095214844,112.82302856445312,328.3053283691406,141.93881225585938,263.4836730957031,75.72058868408203,141.0652618408203,60.00142288208008,42.12070846557617,174.17845153808594,88.33914184570312
5,6,Dbmaj7,Db,10.0,259.6647644042969,220.92376708984375,97.15020751953125,252.7680206298828,132.9250030517578,405.3944091796875,82.98206329345703,62.813480377197266,129.60601806640625,36.68170166015625,42.031494140625,48.222991943359375
6,7,Cmin7,C,12.0,210.0470733642578,171.5609588623047,193.02410888671875,862.1967163085938,318.3468322753906,275.9476013183594,88.90210723876953,271.7157287597656,346.1702575683594,1693.79052734375,458.6527404785156,113.00995635986328
7,8,Dbmaj7,Db,14.0,729.1865844726562,300.7809753417969,141.393310546875,445.8097229003906,228.4410400390625,428.9703369140625,117.53317260742188,477.4919128417969,1612.4805908203125,282.08843994140625,70.23798370361328,126.024169921875
8,9,Cmin7,C,16.0,200.2189483642578,136.65969848632812,112.99374389648438,328.9070129394531,142.9861602783203,270.68463134765625,77.21817016601562,143.77430725097656,75.46182250976562,45.1700325012207,174.27488708496094,88.3320083618164
9,10,Dbmaj7,Db,18.0,276.3999938964844,245.761962890625,116.51864624023438,274.50634765625,156.47715759277344,475.2682800292969,500.6784362792969,188.9595489501953,271.68109130859375,113.76261138916016,360.1214294433594,137.24888610839844
10,11,Cmin7,C,20.0,199.91099548339844,136.61839294433594,112.82369995117188,328.3084716796875,141.9429473876953,263.4395751953125,75.70467376708984,141.08547973632812,60.15713882446289,42.1450309753418,174.17059326171875,88.34026336669922
11,12,Dbmaj7,Db,22.0,259.6661682128906,220.92218017578125,97.14933013916016,252.76795959472656,132.92433166503906,405.3935852050781,82.9822769165039,62.81303787231445,129.60667419433594,36.68209457397461,42.03129577636719,48.222965240478516
12,13,Cmin7,C,24.0,200.03558349609375,136.63963317871094,113.6774673461914,328.34075927734375,142.0506134033203,263.6549072265625,77.86189270019531,153.35043334960938,62.274173736572266,42.1646728515625,174.26002502441406,88.47437286376953
13,14,Dbmaj7,Db,26.0,292.0751647949219,332.1650085449219,126.06009674072266,330.2091979980469,163.6612548828125,426.6604919433594,115.04293823242188,271.9924011230469,1606.3680419921875,285.9080505371094,54.51707077026367,57.53648376464844
14,15,Cmin7,C,28.0,200.4327392578125,136.7371826171875,113.64986419677734,334.383544921875,143.06126403808594,262.7644348144531,75.97096252441406,142.15016174316406,60.859619140625,43.06418991088867,181.68162536621094,90.82341766357422
15,16,Dbmaj7,Db,30.0,273.13397216796875,233.3568115234375,138.10975646972656,362.969482421875,162.20240783691406,456.0110778808594,137.8892364501953,364.72119140625,220.6044464111328,102.8812026977539,473.8621826171875,165.3700714111328
16,17,Cmin7,C,32.0,565.8217163085938,220.7606658935547,119.26378631591797,329.4556579589844,148.958984375,270.7109069824219,81.59212493896484,155.21507263183594,66.60991668701172,43.12393569946289,178.42640686035156,137.8320770263672
17,18,Dbmaj7,Db,34.0,8089.341796875,6370.25146484375,1283.4385986328125,1592.35595703125,2311.796142578125,12006.1875,2060.316162109375,931.88720703125,3490.059814453125,793.0265502929688,453.7802734375,1208.5506591796875
