,Measure,Scrapple From the Apple,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,9,Gmin7,G,16.0,38.953060150146484,91.30579376220703,321.9574279785156,77.91947174072266,264.4307861328125,1156.006103515625,295.5087585449219,863.4501342773438,404.3987121582031,2151.183349609375,4031.2353515625,565.0951538085938
1,10,C7,C,18.0,521.2340698242188,79.02948760986328,60.13190841674805,151.655517578125,900.397216796875,261.80499267578125,74.6305160522461,323.7853698730469,79.51026153564453,92.19839477539062,557.3392333984375,206.94671630859375
2,11,Gmin7,G,20.0,308.10235595703125,138.81321716308594,311.0984802246094,91.35580444335938,318.3647766113281,1185.0255126953125,210.7064971923828,243.5210418701172,294.70440673828125,2061.348876953125,3389.441162109375,517.7818603515625
3,12,C7,C,22.0,537.7929077148438,108.39917755126953,65.46260070800781,165.9136199951172,1057.3756103515625,317.3564147949219,82.92211151123047,333.8921203613281,625.0900268554688,4064.513427734375,1118.8607177734375,223.13304138183594
4,13,Fmaj7,F,24.0,482.3885498046875,118.07453155517578,199.56993103027344,659.8579711914062,627.9255981445312,395.4415283203125,271.8026428222656,1031.7042236328125,301.0774230957031,350.59912109375,103.80767822265625,120.6877670288086
5,13,F7,F,25.0,150.02186584472656,55.25694274902344,107.95339965820312,288.3844299316406,161.4891815185547,337.4008483886719,80.58338165283203,19.79200553894043,26.30926513671875,98.32915496826172,56.41746139526367,38.52774429321289
6,14,Bbmaj7,Bb,26.0,27.00701904296875,32.70585632324219,146.9886474609375,61.38370895385742,96.41165161132812,300.0887145996094,40.14455795288086,5.619216442108154,20.51395606994629,100.2439956665039,53.10727310180664,14.126729011535645
7,14,Bdim7,B,27.0,180.3619842529297,90.17782592773438,353.7206115722656,202.6584014892578,238.64990234375,682.162109375,235.7147674560547,80.94084930419922,243.1835479736328,428.9122314453125,1029.5260009765625,684.2710571289062
8,15,Fmaj7,F,28.0,210.93109130859375,46.39059829711914,42.541160583496094,67.6301040649414,356.1066589355469,265.4049072265625,48.78813552856445,24.288957595825195,195.66990661621094,1265.9334716796875,298.9283752441406,117.47281646728516
9,15,Gmin7,G,29.0,122.8943099975586,62.1176643371582,105.87230682373047,68.6874008178711,245.53138732910156,444.6679992675781,114.84954071044922,177.2748565673828,305.4496765136719,1654.1207275390625,381.2851257324219,88.14453125
10,16,Amin7,A,30.0,405.5825500488281,93.04680633544922,81.32633209228516,77.11087799072266,259.8072814941406,144.35496520996094,132.84132385253906,217.0852813720703,65.1291275024414,121.78384399414062,265.4179992675781,105.22012329101562
11,16,D7,D,31.0,78.59009552001953,33.352176666259766,101.94534301757812,23.50177001953125,58.10551071166992,100.12210083007812,170.59539794921875,32.92868423461914,15.949225425720215,72.0705795288086,17.134754180908203,19.285985946655273
12,17,Fmaj7,F,32.0,2193.797607421875,341.7501525878906,73.14803314208984,264.74517822265625,1455.3870849609375,1144.5777587890625,224.7444610595703,149.75746154785156,171.7649688720703,281.283203125,67.54792022705078,397.9088439941406
13,18,A7,A,34.0,104.41223907470703,414.656494140625,85.87459564208984,145.9237060546875,800.560546875,174.70631408691406,71.83475494384766,274.97216796875,85.04631042480469,73.57122039794922,17.631271362304688,30.05023193359375
14,19,A7,A,36.0,104.55633544921875,408.5507507324219,70.46554565429688,135.90577697753906,816.6920776367188,156.6946563720703,53.84428024291992,273.66668701171875,80.70467376708984,69.42066192626953,15.627131462097168,29.373533248901367
15,20,D7,D,38.0,278.5107116699219,133.5602264404297,378.9031982421875,65.8204574584961,57.258182525634766,107.54010772705078,557.0219116210938,95.77486419677734,39.13908767700195,215.14501953125,50.59309768676758,61.63677978515625
16,21,D7,D,40.0,310.9544372558594,120.2938232421875,365.6259765625,55.593082427978516,21.574201583862305,101.07437896728516,557.6362915039062,91.29735565185547,36.5701904296875,220.9785919189453,51.064056396484375,63.22834777832031
17,22,G7,G,42.0,70.75529479980469,60.98284912109375,256.6792907714844,65.97261810302734,159.6309051513672,992.594970703125,197.59986877441406,155.916259765625,30.883996963500977,47.92976760864258,95.6041259765625,450.1986389160156
18,23,G7,G,44.0,68.23168182373047,56.88642501831055,254.2238006591797,65.36969757080078,161.4803466796875,1002.1006469726562,187.95945739746094,155.63035583496094,30.12799072265625,43.38136291503906,93.8988037109375,447.4364318847656
19,24,C7,C,46.0,516.2623291015625,76.8921127319336,55.52095031738281,154.8986358642578,895.1867065429688,233.73057556152344,73.4021987915039,326.6432800292969,75.95513153076172,37.982486724853516,188.15525817871094,158.33892822265625
20,25,C7,C,48.0,500.690185546875,69.60222625732422,21.73393440246582,144.85594177246094,898.7078247070312,163.2057342529297,59.6716194152832,334.7989501953125,76.9625015258789,35.608585357666016,191.75685119628906,148.92691040039062
21,26,Gmin7,G,50.0,65.0487289428711,94.84392547607422,326.7059326171875,89.57352447509766,305.2448425292969,1144.9161376953125,297.7212829589844,876.071044921875,408.954345703125,2218.373046875,4377.1416015625,619.4946899414062
22,27,C7,C,52.0,521.5001831054688,79.12142181396484,60.22695541381836,151.60560607910156,897.4542846679688,261.0786437988281,74.82491302490234,323.37213134765625,79.32706451416016,92.30010223388672,557.3150024414062,206.0359344482422
23,28,Gmin7,G,54.0,307.7101135253906,138.69749450683594,311.0169372558594,91.4720230102539,318.4903564453125,1185.632080078125,210.6417236328125,243.474365234375,294.5382995605469,2059.52978515625,3389.1953125,517.9165649414062
24,29,C7,C,56.0,538.4629516601562,108.43255615234375,65.47804260253906,166.0105743408203,1057.5494384765625,317.3650207519531,82.86212921142578,333.9723205566406,625.672607421875,4068.578857421875,1119.1265869140625,223.4468536376953
25,30,Fmaj7,F,58.0,482.2888488769531,118.09496307373047,199.57281494140625,659.8237915039062,627.9606323242188,395.4583435058594,271.7336120605469,1031.703369140625,301.0991516113281,350.6241760253906,103.84061431884766,120.74762725830078
26,30,F7,F,59.0,149.9132843017578,55.267669677734375,107.9686050415039,288.3594970703125,161.47091674804688,337.4036560058594,80.58023834228516,19.80052375793457,26.3262996673584,98.34820556640625,56.44820022583008,38.53501510620117
27,31,Bbmaj7,Bb,60.0,26.98255729675293,32.700984954833984,146.98020935058594,61.385623931884766,96.41506958007812,300.1166076660156,40.155120849609375,5.6223273277282715,20.509843826293945,100.24018096923828,53.12308120727539,14.136961936950684
