,Measure,WhenTheSunComesDown,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmaj7,C,0.0,614.0232543945312,151.57240295410156,78.6363754272461,247.19618225097656,1097.541748046875,220.7154998779297,103.34549713134766,437.374755859375,261.9483947753906,1209.2188720703125,286.8817443847656,636.0036010742188
1,1,Gb7,Gb,1.0,418.11083984375,506.3820495605469,82.31029510498047,151.34152221679688,872.0088500976562,371.0269470214844,327.0340881347656,214.4736785888672,112.74417877197266,104.56130981445312,458.3586120605469,163.04161071777344
2,2,Fmaj7,F,2.0,476.0153503417969,127.82418823242188,43.94435501098633,119.7628173828125,471.004150390625,257.9467468261719,119.38323211669922,121.00973510742188,129.56076049804688,254.14459228515625,83.42301177978516,138.12355041503906
3,2,Fmin7,F,2.6666666666666665,127.626953125,35.955196380615234,17.053667068481445,60.96437454223633,169.5683135986328,71.81755828857422,16.683740615844727,24.34800910949707,23.09180450439453,17.810461044311523,12.090413093566895,26.246339797973633
4,2,Bb7,Bb,3.333333333333333,131.9042205810547,40.68323516845703,71.73231506347656,190.4989776611328,116.7766342163086,102.79302215576172,27.198286056518555,34.756229400634766,58.39997482299805,32.3293342590332,20.213741302490234,32.203773498535156
5,3,Emin7,E,4.0,222.65126037597656,274.2546691894531,1421.1009521484375,545.9055786132812,1098.8909912109375,519.2439575195312,211.59954833984375,517.2064819335938,194.0979766845703,158.0001983642578,240.0471649169922,591.7077026367188
6,3,Amin7,A,5.0,647.2053833007812,169.84803771972656,137.81231689453125,254.8895721435547,904.7028198242188,254.53997802734375,125.24414825439453,524.9517822265625,277.85687255859375,539.4829711914062,168.8469696044922,421.811279296875
7,4,D7,D,6.0,339.92254638671875,162.08116149902344,269.2830810546875,184.4467315673828,150.56028747558594,170.7670135498047,534.0151977539062,161.9502410888672,100.539306640625,444.0851135253906,96.57752227783203,77.19994354248047
8,4,G7,G,6.666666666666668,118.02581787109375,49.247066497802734,102.58382415771484,64.2006607055664,94.51685333251953,199.44927978515625,190.0209503173828,88.98091888427734,31.132797241210938,69.98076629638672,39.69156265258789,108.86939239501953
9,4,Gb7,Gb,7.333333333333332,75.4845962524414,233.93434143066406,89.07247161865234,112.35326385498047,455.842529296875,416.8304138183594,291.7679138183594,114.53504180908203,115.48989868164062,149.98204040527344,255.05552673339844,97.71747589111328
10,5,Fmaj7,F,8.0,104.85282135009766,170.7190704345703,70.40267944335938,75.77826690673828,351.6199951171875,282.46966552734375,162.2976531982422,39.27559280395508,35.580020904541016,56.440765380859375,60.530765533447266,89.89441680908203
11,5,E7,E,9.0,317.8627624511719,90.37139129638672,115.61742401123047,112.0264892578125,444.5667419433594,219.26141357421875,75.71991729736328,92.92876434326172,70.45487976074219,57.46927261352539,30.014488220214844,112.16368865966797
12,6,Amin7,A,10.0,120.78765106201172,48.216060638427734,97.99063110351562,106.89958953857422,478.828369140625,139.97398376464844,37.32355880737305,67.0311050415039,115.18155670166016,67.6386947631836,39.914878845214844,148.62350463867188
13,6,D7,D,11.0,320.2049255371094,66.59845733642578,33.38380432128906,59.75050735473633,279.0473327636719,67.73382568359375,34.04766845703125,152.37562561035156,146.43263244628906,729.7887573242188,126.00399780273438,83.54126739501953
14,7,Dmin7,D,12.0,153.14834594726562,82.6275863647461,296.4651794433594,106.43022918701172,90.53323364257812,147.88291931152344,257.6319885253906,55.2269401550293,38.329532623291016,183.20143127441406,44.593021392822266,31.17035675048828
15,7,G7,G,13.0,256.4859313964844,86.40008544921875,181.1178436279297,68.95734405517578,182.08287048339844,344.8240966796875,105.55501556396484,101.2754135131836,39.85395431518555,102.12499237060547,41.696590423583984,89.0220718383789
16,8,Emin7,E,14.0,10.805647850036621,7.662813663482666,20.701383590698242,11.204255104064941,50.78274917602539,88.73621368408203,18.40440559387207,16.91376495361328,8.220192909240723,26.275625228881836,17.664501190185547,36.774112701416016
17,8,A7,A,14.5,57.50286865234375,29.797853469848633,112.25629425048828,57.64601516723633,194.6292724609375,85.7007064819336,50.617130279541016,112.0597915649414,29.08190155029297,28.33976936340332,46.71384811401367,187.77320861816406
18,8,Dmin7,D,15.0,28.967557907104492,105.17520141601562,59.473751068115234,61.19367599487305,125.67229461669922,45.784603118896484,58.287750244140625,294.2992858886719,80.50273895263672,135.4624481201172,46.55440902709961,57.97394943237305
19,8,G7,G,15.5,194.3669891357422,88.19344329833984,128.42726135253906,50.37554931640625,209.0406951904297,249.5936279296875,76.24058532714844,65.6819839477539,35.51762390136719,69.26697540283203,22.245941162109375,44.06047439575195
20,9,Cmaj7,C,16.0,432.7980651855469,187.43861389160156,333.46368408203125,311.56109619140625,548.6924438476562,998.1113891601562,509.1691589355469,1163.0238037109375,321.5320129394531,510.9176330566406,208.74920654296875,653.602783203125
21,9,Gb7,Gb,17.0,444.6981506347656,409.9346923828125,147.4986114501953,201.55821228027344,963.5514526367188,629.4819946289062,310.2950744628906,268.8606262207031,127.24050903320312,143.92665100097656,363.2200927734375,208.88720703125
22,10,Fmaj7,F,18.0,103.47565460205078,73.34953308105469,26.21746826171875,23.71918487548828,101.80408477783203,51.962459564208984,37.80210494995117,45.98405838012695,14.781570434570312,6.122347354888916,11.644495964050293,23.56138038635254
23,10,Fmin7,F,18.666666666666668,151.50234985351562,48.287418365478516,15.940640449523926,55.23520278930664,208.67994689941406,157.9414825439453,51.0008430480957,24.64171028137207,45.031429290771484,60.820980072021484,12.08202838897705,35.73558044433594
24,10,Bb7,Bb,19.33333333333333,288.6654357910156,104.8750228881836,162.22607421875,432.017333984375,237.42652893066406,197.02899169921875,90.76947784423828,132.12547302246094,235.9786834716797,140.41331481933594,50.65910339355469,75.83112335205078
25,11,Emin7,E,20.0,308.9561767578125,219.250244140625,662.0609130859375,490.5788879394531,591.9995727539062,1057.7286376953125,305.0433654785156,164.71778869628906,379.7816162109375,304.079345703125,564.9494018554688,173.3749237060547
26,11,Amin7,A,21.0,52.91215133666992,50.45195007324219,200.6564178466797,123.20630645751953,291.7696228027344,210.0507354736328,69.75988006591797,249.4345703125,92.42430877685547,19.80680274963379,29.99895477294922,101.14129638671875
27,12,D7,D,22.0,82.7779541015625,19.325918197631836,18.621824264526367,51.553226470947266,135.5557861328125,37.04792785644531,17.768278121948242,73.1872787475586,48.04771041870117,81.81307220458984,26.598546981811523,28.34284019470215
28,12,G7,G,22.66666666666667,246.7637176513672,65.76431274414062,102.95665740966797,42.737979888916016,62.39645767211914,69.36273193359375,206.51747131347656,62.80925369262695,20.59461784362793,80.38628387451172,20.77886199951172,38.85206604003906
29,12,Gb7,Gb,23.33333333333333,114.52338409423828,49.674774169921875,172.74493408203125,111.69873046875,117.33816528320312,468.9936828613281,275.9909973144531,188.45619201660156,64.90869140625,58.87568283081055,64.48956298828125,236.0607147216797
30,13,Fmaj7,F,24.0,152.3026580810547,421.0635681152344,156.7183837890625,161.97088623046875,729.9664916992188,774.9517211914062,418.7073669433594,118.13289642333984,99.41134643554688,153.1167449951172,341.8823547363281,199.861083984375
