,Measure,HeroTown,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G,G,0.0,119.27181243896484,119.64395904541016,677.5209350585938,138.02049255371094,49.094783782958984,70.21379089355469,204.23138427734375,1150.2132568359375,208.78033447265625,69.05802154541016,104.83578491210938,583.5249633789062
1,1,E,E,1.0,123.80490112304688,43.062992095947266,91.06625366210938,249.34584045410156,940.9002075195312,181.9182891845703,107.02771759033203,320.5275573730469,477.668701171875,87.7382583618164,92.38274383544922,514.3314208984375
2,2,F,F,2.0,2038.2005615234375,452.1702575683594,121.91368865966797,225.30650329589844,1234.9151611328125,3520.764404296875,599.6659545898438,264.9101867675781,396.8201599121094,1468.3739013671875,272.9114685058594,428.9446716308594
3,3,G5,G,4.0,37.20730972290039,107.74756622314453,646.7408447265625,110.16253662109375,42.43714904785156,72.38780975341797,88.7412338256836,434.0555725097656,79.98729705810547,42.13557434082031,20.933483123779297,47.55935287475586
4,3,E5,E,5.0,86.62146759033203,21.830339431762695,51.31578063964844,219.35003662109375,947.7221069335938,191.3936309814453,37.898441314697266,53.19694519042969,36.51112747192383,28.547029495239258,81.0062484741211,514.586181640625
5,4,F5,F,6.0,1950.9237060546875,311.8956298828125,67.18384552001953,162.5189666748047,1265.5421142578125,3648.321533203125,540.72314453125,98.24990844726562,51.44575500488281,76.7593994140625,77.6991195678711,386.2080383300781
6,5,G,G,8.0,120.39727020263672,117.48822021484375,636.2445068359375,120.53820037841797,44.73146057128906,69.18566131591797,108.7702407836914,428.2370910644531,83.75125122070312,60.68729019165039,99.75785064697266,571.5867309570312
7,5,E,E,9.0,119.44654083251953,39.059600830078125,70.8653793334961,254.1693115234375,955.70068359375,197.15045166015625,69.45513153076172,128.90806579589844,430.0608215332031,84.40182495117188,89.41028594970703,500.0419006347656
8,6,F,F,10.0,1959.7718505859375,422.724365234375,104.77057647705078,198.29066467285156,1324.8170166015625,3683.511474609375,589.6687622070312,183.14813232421875,333.4476623535156,1359.8326416015625,251.38812255859375,414.7555847167969
9,7,D7,D,12.0,248.10430908203125,168.0153350830078,559.0458374023438,114.5465316772461,62.03053283691406,151.8710479736328,527.2503051757812,103.37081909179688,51.30918502807617,203.5732421875,50.89683151245117,50.85598373413086
10,7,G,G,12.666666666666664,82.47692108154297,65.86287689208984,311.5626525878906,52.28836441040039,12.677223205566406,33.32960891723633,93.2316665649414,17.67766761779785,14.350335121154785,53.811614990234375,11.882564544677734,18.165647506713867
11,7,C,C,13.333333333333336,51.66717529296875,47.54576110839844,186.09825134277344,29.420949935913086,7.475546360015869,18.952219009399414,96.29204559326172,361.2787170410156,74.84574890136719,13.063831329345703,26.245506286621094,150.736083984375
12,8,Dmin,D,14.0,256.4941101074219,49.42671585083008,11.120803833007812,42.04701614379883,174.709716796875,35.98038864135742,23.790605545043945,90.87467193603516,21.8161563873291,5.926112651824951,10.02371883392334,61.59503173828125
13,8,Cdim,C,14.5,226.5274200439453,108.9251937866211,395.1035461425781,302.3993835449219,177.1844482421875,329.0617980957031,326.6492614746094,91.76880645751953,20.34800910949707,48.74173355102539,45.344940185546875,76.78002166748047
14,8,Emin,E,15.0,345.2874450683594,81.56684875488281,98.12490844726562,152.17176818847656,237.76300048828125,161.9077911376953,112.1720962524414,86.38362884521484,23.386167526245117,31.81328010559082,31.622697830200195,165.601806640625
15,8,C,C,15.5,179.2012481689453,49.60849380493164,31.96613121032715,129.00057983398438,210.92950439453125,80.81053161621094,86.51056671142578,97.4316177368164,25.15882682800293,9.810615539550781,10.000748634338379,54.653987884521484
16,9,D7,D,16.0,143.3997802734375,153.80860900878906,542.2596435546875,139.82838439941406,222.38385009765625,185.79017639160156,487.4754943847656,159.7230224609375,57.91083908081055,203.0592498779297,56.16184997558594,55.7845344543457
17,9,G,G,16.666666666666668,75.86156463623047,64.88321685791016,303.91485595703125,76.01957702636719,50.326236724853516,32.84446716308594,87.32980346679688,18.431169509887695,14.587860107421875,52.673221588134766,12.500859260559082,19.19751739501953
18,9,C,C,17.333333333333332,62.95394515991211,48.200653076171875,186.74717712402344,36.69438934326172,18.93491554260254,22.232587814331055,106.08698272705078,367.9442443847656,73.57426452636719,12.921616554260254,26.57293128967285,154.00015258789062
