,Measure,HeroTown,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
19,10,F#,F#,18.0,3143.684326171875,490.7901306152344,109.8010482788086,435.7752380371094,2290.47119140625,442.0087585449219,227.1324920654297,1047.7618408203125,262.6808776855469,58.9260139465332,77.17378997802734,685.3760375976562
20,11,G,G,20.0,156.55763244628906,311.59698486328125,746.3501586914062,143.7753143310547,61.52202224731445,104.09854125976562,374.336181640625,473.3194885253906,90.555419921875,91.29924774169922,266.01800537109375,612.8247680664062
21,11,E,E,21.0,131.14425659179688,80.6127700805664,238.5819854736328,274.3514709472656,974.3007202148438,200.7867431640625,115.79595184326172,140.738037109375,453.2757263183594,188.02671813964844,123.96945190429688,501.634765625
22,12,F,F,22.0,1863.7919921875,412.1390075683594,124.07318115234375,206.5845947265625,1325.597900390625,3661.81640625,662.1405639648438,376.4831848144531,358.2982177734375,1304.0035400390625,262.1767578125,404.3768005371094
23,13,G5,G,24.0,37.45998764038086,104.57845306396484,622.8892822265625,106.85635375976562,40.704811096191406,56.24979782104492,91.5575180053711,438.3347473144531,79.13136291503906,41.43448257446289,21.398603439331055,48.33961868286133
24,13,E5,E,25.0,91.23868560791016,48.948486328125,213.81556701660156,245.99964904785156,977.1234741210938,203.5937957763672,60.56049728393555,56.06111526489258,51.87388610839844,131.73289489746094,104.18144989013672,515.1187133789062
25,14,F5,F,26.0,2035.4166259765625,323.28448486328125,66.6416244506836,161.8628387451172,1267.4527587890625,3648.742431640625,540.7021484375,95.40017700195312,54.015621185302734,81.694091796875,80.65422058105469,399.43017578125
26,15,G,G,28.0,121.50045776367188,119.38288116455078,645.3980102539062,121.78447723388672,44.61891555786133,68.78360748291016,108.49713134765625,427.2964172363281,83.66576385498047,60.54990768432617,99.62226104736328,571.7765502929688
27,15,E,E,29.0,124.50597381591797,68.0105972290039,236.9901885986328,278.6510314941406,983.6482543945312,206.0086669921875,85.8221435546875,131.2920379638672,446.8577575683594,186.2504119873047,111.12816619873047,500.2936706542969
28,16,F,F,30.0,1932.8179931640625,420.7326965332031,114.52161407470703,201.73023986816406,1329.3248291015625,3687.713623046875,611.7484741210938,374.485595703125,358.3667907714844,1304.316650390625,244.63340759277344,410.4573669433594
29,17,D7,D,32.0,254.5945281982422,150.8180389404297,262.3306884765625,72.1150131225586,62.90531539916992,210.71063232421875,527.229736328125,110.0357894897461,71.04985809326172,226.3433380126953,60.78903579711914,53.320919036865234
30,17,G,G,32.666666666666664,70.9853286743164,24.55517578125,65.87760162353516,13.872803688049316,13.710253715515137,52.525177001953125,95.35213470458984,21.66193199157715,13.61811351776123,56.71656799316406,14.089473724365234,14.616312980651855
31,17,C,C,33.333333333333336,151.8881378173828,59.01405715942383,161.3599395751953,26.35377311706543,11.415555000305176,25.833417892456055,64.86344909667969,119.97740936279297,24.301713943481445,12.970368385314941,26.889299392700195,159.05392456054688
32,18,Dmin,D,34.0,91.80615234375,31.98011016845703,13.491093635559082,45.6044807434082,175.01719665527344,39.2032356262207,24.10737419128418,89.63562774658203,20.319822311401367,7.47216796875,10.155648231506348,39.29762649536133
33,18,Cdim,C,34.5,142.98362731933594,59.32508850097656,187.9981689453125,294.7284851074219,199.57916259765625,282.9805908203125,302.40997314453125,86.3564682006836,25.893951416015625,50.72169876098633,29.135671615600586,46.4566764831543
34,18,Emin,E,35.0,69.81558990478516,21.420188903808594,58.68954086303711,143.67141723632812,248.7921600341797,168.560546875,107.91947174072266,146.6377410888672,36.9129753112793,30.63722038269043,28.690126419067383,122.73926544189453
35,18,C,C,35.5,86.44428253173828,29.643516540527344,30.6920223236084,134.3038787841797,240.72743225097656,94.42596435546875,91.99544525146484,105.17230987548828,22.999008178710938,8.205357551574707,8.427055358886719,54.166568756103516
36,19,D7,D,36.0,144.31300354003906,146.9339141845703,299.986328125,104.92818450927734,218.4684295654297,167.60890197753906,476.3565368652344,148.16603088378906,68.28540802001953,208.17433166503906,61.9099006652832,55.75429153442383
37,19,G,G,36.66666666666666,62.82645034790039,23.989280700683594,68.13850402832031,41.95298385620117,50.61845016479492,51.257633209228516,89.55130004882812,23.18004608154297,14.233521461486816,55.48355484008789,14.36224365234375,14.515812873840332
38,19,C,C,37.333333333333336,184.20985412597656,63.37331008911133,162.9596405029297,33.74607849121094,23.889219284057617,34.6743049621582,74.39832305908203,130.5362548828125,24.287071228027344,12.984241485595703,27.2873592376709,164.52459716796875
39,20,F#,F#,38.0,1226.7938232421875,253.29315185546875,113.5036849975586,448.7951965332031,2283.34228515625,483.8011779785156,226.4485321044922,1007.4863891601562,247.9091796875,66.29082489013672,72.117919921875,427.9101257324219
40,21,F#,F#,40.0,992.4271850585938,5382.1826171875,1074.5068359375,340.1893005371094,634.0084838867188,1825.7396240234375,9375.828125,1550.75732421875,425.2273864746094,827.415771484375,4618.3779296875,752.9552612304688
41,23,D7,D,44.0,250.67523193359375,168.664306640625,555.74853515625,122.64801788330078,73.55229187011719,146.54556274414062,536.1876220703125,108.27529907226562,50.26483154296875,212.0192108154297,54.139949798583984,51.02528762817383
42,23,G7,G,44.66666666666666,93.54995727539062,67.42284393310547,311.2145690917969,51.58891677856445,8.994046211242676,25.933256149291992,95.61858367919922,16.61240005493164,14.257915496826172,53.85679244995117,12.736324310302734,19.655384063720703
43,23,C7,C,45.33333333333334,39.55491256713867,33.39238739013672,155.81846618652344,66.88319396972656,58.95930862426758,249.54063415527344,167.30865478515625,423.06884765625,97.65001678466797,41.71384048461914,35.03627395629883,136.51536560058594
44,24,C7,C,46.0,192.94529724121094,53.98667526245117,46.17311477661133,76.14823913574219,194.0291290283203,76.74866485595703,27.84271240234375,79.7206802368164,23.16399574279785,26.326507568359375,115.6767349243164,83.11700439453125
45,24,Dmin,D,46.4,90.57262420654297,57.966522216796875,258.1082763671875,79.08890533447266,111.92984008789062,164.11012268066406,46.012081146240234,45.76969528198242,28.16668701171875,55.58369827270508,55.029388427734375,51.07391357421875
46,24,D#dim,D#,46.8,139.1288299560547,44.34599685668945,94.1452407836914,124.49596405029297,266.0050964355469,149.0824737548828,127.17526245117188,113.25250244140625,48.9732780456543,35.06406784057617,37.657806396484375,47.60712814331055
47,24,C,C,47.2,65.69611358642578,36.54666519165039,55.408355712890625,90.1142578125,119.12517547607422,70.85029602050781,65.49202728271484,64.25782012939453,40.866485595703125,85.9436264038086,27.984418869018555,38.373558044433594
48,24,Amin7,A,47.6,53.5906982421875,31.43268394470215,29.496566772460938,88.74874877929688,97.85330200195312,51.96437454223633,39.88682556152344,59.22614669799805,52.855194091796875,172.8037567138672,30.223236083984375,18.098310470581055
49,25,D7,D,48.0,146.60775756835938,151.0381317138672,534.7146606445312,140.00079345703125,207.6017303466797,184.6183319091797,486.9858093261719,159.55572509765625,51.19746398925781,161.00624084472656,53.43641662597656,50.42132568359375
50,25,G7,G,48.66666666666666,72.96611785888672,65.170654296875,302.6927185058594,76.80614471435547,48.068843841552734,31.433618545532227,86.65734100341797,18.940757751464844,14.537428855895996,47.121273040771484,13.569745063781738,19.31342315673828
51,25,C7,C,49.33333333333334,40.96489334106445,33.24116516113281,155.88194274902344,70.85250091552734,61.43370056152344,246.24513244628906,167.90513610839844,425.1324462890625,98.43338012695312,43.80906295776367,36.96153259277344,136.71791076660156
52,26,C7,C,50.0,194.4599609375,53.377410888671875,44.41313552856445,83.61469268798828,202.13360595703125,78.09452819824219,28.12396812438965,80.20870971679688,23.400978088378906,26.297935485839844,114.97136688232422,83.30013275146484
53,26,B7,B,50.4,208.8706817626953,37.612098693847656,71.33921813964844,160.01805114746094,111.02806854248047,61.91778564453125,192.7456817626953,77.168701171875,31.48467445373535,59.89595413208008,67.22506713867188,303.4824523925781
54,26,Bb7,Bb,50.8,137.99891662597656,118.39127349853516,104.743408203125,110.32171630859375,162.79795837402344,132.7666778564453,130.4534912109375,121.252197265625,165.10963439941406,320.4323425292969,153.06996154785156,104.25760650634766
55,26,A7,A,51.2,52.49957275390625,79.80551147460938,35.80873107910156,123.73673248291016,119.7334213256836,76.2002182006836,55.48073196411133,56.74326705932617,52.9985466003418,127.41878509521484,83.8381576538086,40.2138786315918
56,26,A7,A,51.6,1086.6422119140625,2272.1630859375,1065.2218017578125,1813.3626708984375,3886.827392578125,2014.7923583984375,1014.5239868164062,2295.58642578125,2094.92041015625,8446.2998046875,1602.8284912109375,637.6194458007812
