,Measure,FlyingHome,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ab,Ab,0.0,552.29736328125,152.3319549560547,212.1157989501953,765.378662109375,224.53338623046875,42.53059005737305,143.34986877441406,252.013671875,481.5998229980469,113.49209594726562,76.65767669677734,311.61669921875
1,1,Ab7,Ab,1.0,502.4307861328125,154.2438507080078,218.55126953125,828.0287475585938,242.6561279296875,242.00987243652344,1090.3636474609375,401.1712341308594,489.1136474609375,110.28791046142578,60.972652435302734,120.43453216552734
2,2,Fmin7,F,2.0,639.3973388671875,180.9517059326172,244.4176483154297,879.3971557617188,403.7972717285156,417.1044006347656,346.5063781738281,284.72052001953125,526.7830810546875,166.99696350097656,203.51739501953125,354.2384338378906
3,2,E9,E,3.0,146.45445251464844,54.14780807495117,95.2038345336914,281.91455078125,97.19994354248047,201.36065673828125,139.21849060058594,73.25812530517578,69.5029067993164,53.72409439086914,36.704891204833984,71.72848510742188
4,3,Ab,Ab,4.0,1193.6553955078125,258.3187561035156,367.7729187011719,826.9945678710938,355.7724304199219,106.07968139648438,284.1720886230469,268.9665832519531,497.6698303222656,130.77781677246094,98.96031951904297,416.6575012207031
5,3,Db7,Db,5.0,356.2911376953125,534.5883178710938,180.40110778808594,353.3534240722656,298.86956787109375,1118.461669921875,235.92022705078125,143.28224182128906,650.1199340820312,134.0897979736328,132.2318878173828,690.61474609375
6,4,Ab,Ab,6.0,569.8095092773438,191.0149688720703,187.48712158203125,776.8466186523438,272.2550964355469,248.98243713378906,110.16470336914062,342.7586364746094,1429.9443359375,270.41278076171875,63.342193603515625,206.0642852783203
7,4,Eb7,Eb,7.0,95.48410034179688,32.465538024902344,39.196659088134766,193.95098876953125,36.892879486083984,35.106876373291016,25.514205932617188,16.784292221069336,11.66135311126709,2.521127939224243,6.981595993041992,36.685794830322266
8,5,Ab,Ab,8.0,885.697265625,272.9389953613281,206.0938720703125,649.716552734375,229.7664031982422,69.04533386230469,85.46712493896484,431.44580078125,503.7086181640625,136.17539978027344,254.73960876464844,199.81549072265625
9,5,Ab9,Ab,9.0,329.87347412109375,89.52152252197266,107.52535247802734,441.0027160644531,143.15025329589844,139.98948669433594,692.2872924804688,212.56939697265625,304.99298095703125,162.7849578857422,731.1520385742188,206.97113037109375
10,6,Fmin7,F,10.0,316.9850158691406,104.41619873046875,125.99246978759766,376.9642333984375,203.6566925048828,176.02098083496094,150.09835815429688,142.5082550048828,217.35069274902344,69.89957427978516,49.30317687988281,178.0067596435547
11,6,E9,E,10.666666666666666,221.5800323486328,52.26527404785156,44.04307174682617,140.80308532714844,68.71904754638672,59.39076614379883,21.839078903198242,63.9774055480957,31.4901123046875,18.44793128967285,14.063292503356934,41.946311950683594
12,6,Ab,Ab,11.333333333333336,69.51921844482422,40.62194061279297,154.29197692871094,168.32913208007812,127.17525482177734,126.03026580810547,316.89306640625,174.2974853515625,626.643798828125,178.87330627441406,251.4538116455078,225.1606903076172
13,7,Ab,Ab,12.0,890.1677856445312,224.47837829589844,256.69952392578125,663.6630859375,318.27435302734375,88.49365997314453,203.0994415283203,350.3837890625,501.6571960449219,114.12799072265625,66.97087860107422,251.01942443847656
14,7,Ab9,Ab,13.0,323.2488708496094,87.79669189453125,118.2620620727539,453.0314025878906,166.94593811035156,130.4519500732422,631.232421875,184.8801727294922,298.8947448730469,160.5616455078125,728.8148803710938,215.0751495361328
15,8,Fmin7,F,14.0,315.46893310546875,105.73246002197266,136.56748962402344,377.0331115722656,216.2669677734375,191.32423400878906,149.41587829589844,144.53790283203125,215.66815185546875,67.71726989746094,51.346405029296875,184.42677307128906
16,8,E9,E,14.666666666666664,223.20152282714844,52.64165115356445,44.60503005981445,142.60325622558594,71.5652847290039,54.329010009765625,20.046253204345703,62.84598922729492,31.0965576171875,18.527149200439453,14.36266040802002,43.945316314697266
