,Measure,ThatIsWhyYouAreOverweight,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Gmin7,G,0.0,83.14682006835938,113.63397979736328,335.5346374511719,130.88133239746094,221.8720245361328,866.4296264648438,423.9449157714844,491.1488952636719,142.45896911621094,249.95330810546875,582.020263671875,281.1429138183594
1,1,F,F,1.0,592.0999755859375,157.3263702392578,123.4408950805664,109.85411834716797,287.4606018066406,1135.7696533203125,302.9572448730469,94.05467987060547,94.30999755859375,476.4427795410156,138.91209411621094,274.7555236816406
2,2,C7,C,2.0,291.6549987792969,64.61092376708984,85.82233428955078,238.4208526611328,1480.8145751953125,881.5567016601562,190.57350158691406,590.5567016601562,162.2589874267578,154.70997619628906,462.1309814453125,153.07154846191406
3,3,Gmin7,G,4.0,89.10983276367188,115.82894134521484,341.2772521972656,136.62356567382812,258.2550354003906,892.6061401367188,425.9036865234375,500.6126708984375,146.08497619628906,273.6161193847656,617.4020385742188,274.3664855957031
4,3,F,F,5.0,558.5200805664062,153.34840393066406,122.9999008178711,109.14492797851562,286.2259216308594,1135.0228271484375,303.5273132324219,94.95730590820312,94.90665435791016,478.0530700683594,142.75856018066406,278.4435729980469
5,4,C7,C,6.0,291.5557556152344,64.64234161376953,85.80697631835938,237.13328552246094,1473.369140625,881.693115234375,190.71482849121094,590.3307495117188,162.06854248046875,155.08297729492188,465.4270324707031,153.52293395996094
6,5,Gmin7,G,8.0,89.10897827148438,115.82857513427734,341.279052734375,136.623046875,258.257080078125,892.607666015625,425.9011535644531,500.6136169433594,146.08612060546875,273.6170654296875,617.4022827148438,274.3646545410156
7,5,F,F,9.0,558.5208129882812,153.3492889404297,123.00033569335938,109.14557647705078,286.22650146484375,1135.02001953125,303.5270080566406,94.95772552490234,94.90613555908203,478.0537109375,142.7596893310547,278.44683837890625
8,6,C7,C,10.0,291.5555725097656,64.64261627197266,85.8096694946289,237.1342315673828,1473.37548828125,881.6957397460938,190.71522521972656,590.3292846679688,162.0687713623047,155.0835723876953,465.4300537109375,153.5227813720703
9,7,Gmin7,G,12.0,89.1091079711914,115.82919311523438,341.2801208496094,136.62371826171875,258.2575988769531,892.604736328125,425.9005126953125,500.6121520996094,146.0849151611328,273.6151428222656,617.4004516601562,274.36517333984375
10,7,F,F,13.0,558.5097045898438,153.34642028808594,123.00366973876953,109.14899444580078,286.2377014160156,1135.0252685546875,303.5309753417969,94.95784759521484,94.90070343017578,478.05224609375,142.76071166992188,278.44354248046875
11,8,C7,C,14.0,291.55792236328125,64.64253997802734,85.80804443359375,237.13377380371094,1473.37744140625,881.6924438476562,190.71449279785156,590.3302612304688,162.06822204589844,155.0826873779297,465.4288635253906,153.52439880371094
12,9,Gmin7,G,16.0,89.10961151123047,115.82836151123047,341.2770080566406,136.62274169921875,258.2572326660156,892.6084594726562,425.9015808105469,500.6126403808594,146.0848846435547,273.6142578125,617.400146484375,274.3636779785156
13,9,F,F,17.0,558.5221557617188,153.34950256347656,123.00057983398438,109.14523315429688,286.2268371582031,1135.0262451171875,303.5274963378906,94.95709228515625,94.90618133544922,478.0540466308594,142.75909423828125,278.4468688964844
14,10,C7,C,18.0,291.55816650390625,64.6429443359375,85.80844116210938,237.1347198486328,1473.3792724609375,881.6913452148438,190.7146759033203,590.327880859375,162.06996154785156,155.08131408691406,465.4273681640625,153.52284240722656
15,11,Gmin7,G,20.0,89.1091079711914,115.8289794921875,341.2798767089844,136.6237335205078,258.2579040527344,892.6083374023438,425.9023132324219,500.614501953125,146.08595275878906,273.61639404296875,617.3989868164062,274.364013671875
16,11,F,F,21.0,558.5198364257812,153.34913635253906,123.00155639648438,109.14575958251953,286.2255554199219,1135.0216064453125,303.52685546875,94.9571762084961,94.90607452392578,478.0519714355469,142.7598114013672,278.4458312988281
17,12,C7,C,22.0,291.5579528808594,64.6430892944336,85.80810546875,237.1336212158203,1473.3724365234375,881.694580078125,190.7151641845703,590.3268432617188,162.0686798095703,155.08290100097656,465.4274597167969,153.5236358642578
18,13,Gmin7,G,24.0,89.1088638305664,115.8285903930664,341.2776184082031,136.62356567382812,258.2577209472656,892.6045532226562,425.9017333984375,500.6131591796875,146.08482360839844,273.6150817871094,617.401611328125,274.3641662597656
19,13,F,F,25.0,558.5194702148438,153.3491668701172,123.00032806396484,109.14483642578125,286.2265319824219,1135.02294921875,303.5268249511719,94.9576416015625,94.90615844726562,478.0534362792969,142.75917053222656,278.4454650878906
20,14,C7,C,26.0,291.5577697753906,64.642578125,85.80779266357422,237.13401794433594,1473.3758544921875,881.6948852539062,190.7150421142578,590.3279418945312,162.06837463378906,155.08163452148438,465.4276123046875,153.52272033691406
21,15,Bb,Bb,28.0,20.17898941040039,38.910545349121094,205.6364288330078,42.840145111083984,86.19415283203125,350.7531433105469,62.560791015625,12.890730857849121,13.445503234863281,68.74422454833984,122.39881134033203,31.35304832458496
22,15,C,C,29.0,220.775390625,39.39462661743164,20.453292846679688,68.60157012939453,416.3436584472656,124.59329986572266,42.770294189453125,182.4811248779297,48.08156967163086,9.358587265014648,7.4598612785339355,44.343135833740234
23,16,Eb,Eb,30.0,42.93208312988281,20.04580307006836,81.2739486694336,358.5926208496094,119.63922882080078,44.63458251953125,32.607093811035156,156.86886596679688,25.841585159301758,27.401243209838867,142.9084014892578,35.175662994384766
24,16,D,D,31.0,15.006794929504395,42.52194595336914,200.04319763183594,105.80994415283203,35.57160186767578,73.40885162353516,308.3777770996094,54.7226448059082,21.226463317871094,125.8321304321289,35.527523040771484,7.5097737312316895
25,17,G,G,32.0,6.5561981201171875,10.36525821685791,31.46003532409668,9.042695045471191,2.7018117904663086,5.264598369598389,12.785204887390137,51.11638259887695,10.116386413574219,2.6298105716705322,7.7545623779296875,36.400333404541016
26,17,G,G,32.4,6.689298152923584,3.0925028324127197,8.636443138122559,5.992720127105713,4.405113697052002,3.8888120651245117,6.998451232910156,14.2601318359375,3.558804750442505,2.583406925201416,4.292195796966553,15.92462158203125
27,17,F#,F#,32.8,34.41279983520508,105.89286041259766,100.94242095947266,22.20594596862793,6.663642406463623,40.296390533447266,199.19972229003906,74.98426055908203,16.32050895690918,20.007116317749023,104.54434967041016,101.51260375976562
28,17,F,F,33.2,114.0844955444336,73.38186645507812,43.5574951171875,43.707340240478516,82.45069122314453,162.1898651123047,102.65597534179688,64.34160614013672,64.10967254638672,100.40222930908203,63.9826545715332,79.11217498779297
29,17,E,E,33.6,57.9101676940918,36.86157989501953,32.579429626464844,57.348419189453125,154.59219360351562,79.44746398925781,58.84159469604492,69.86882781982422,54.35221481323242,113.3401107788086,71.75625610351562,89.51949310302734
30,18,Amin7,A,34.0,334.5938415527344,110.50652313232422,114.01435089111328,259.6037902832031,1288.930419921875,915.8421020507812,414.9833679199219,735.9015502929688,357.197021484375,357.446533203125,154.69190979003906,332.5856018066406
31,19,Bb,Bb,36.0,20.144887924194336,40.212913513183594,206.3509063720703,45.09666061401367,88.32457733154297,352.985595703125,64.91377258300781,12.880596160888672,14.978401184082031,68.36851501464844,120.46380615234375,30.868913650512695
32,19,C,C,37.0,221.01585388183594,40.71131134033203,24.29113006591797,71.67815399169922,423.4026794433594,126.6707763671875,48.70591735839844,182.36279296875,48.516353607177734,9.049421310424805,7.7858123779296875,45.512386322021484
