,Measure,Boogie Woogie Bossa Nova,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ab7,Ab,0.0,178.7075958251953,57.19970703125,76.99685668945312,365.9064636230469,123.96359252929688,84.02033233642578,347.6802978515625,528.863037109375,3157.163818359375,501.0279846191406,33.65675735473633,51.287593841552734
1,2,Gb7,Gb,2.0,532.5689697265625,2035.8948974609375,520.387939453125,909.4898071289062,3568.051025390625,1710.2994384765625,1568.95458984375,339.838623046875,484.9384765625,915.22021484375,4126.0576171875,753.1641235351562
2,3,Emaj7,E,4.0,398.79541015625,194.017333984375,396.71630859375,2580.901611328125,3584.944091796875,780.9995727539062,410.2422790527344,578.0952758789062,1418.4642333984375,305.73095703125,548.3297119140625,1912.0396728515625
3,4,A7,A,6.0,443.0230712890625,1794.12841796875,472.0782775878906,726.9966430664062,3253.37109375,841.0355834960938,409.7314758300781,1684.79443359375,955.293701171875,1701.0596923828125,360.8575134277344,370.2936096191406
4,5,Db7,Db,8.0,923.4447631835938,1881.8643798828125,436.2437744140625,347.57958984375,815.397216796875,3887.940673828125,985.2977905273438,364.0983581542969,1439.7933349609375,339.5226135253906,509.1279296875,2980.6396484375
5,6,Eb7,Eb,10.0,421.1492919921875,2119.363525390625,1040.931884765625,3171.175537109375,655.2948608398438,279.3341064453125,315.7295227050781,1777.1517333984375,1934.9642333984375,609.2543334960938,1934.2705078125,554.4321899414062
6,7,Ebmin7,Eb,12.0,369.8460998535156,2160.179443359375,951.2409057617188,3030.9111328125,696.38330078125,765.20751953125,3594.087158203125,689.2101440429688,743.13623046875,4230.4560546875,2584.157958984375,339.0875549316406
7,8,Ab7,Ab,14.0,1816.6220703125,526.8717651367188,647.0802001953125,2563.2109375,837.9740600585938,780.7849731445312,3896.2548828125,1229.0380859375,1664.3162841796875,447.4463195800781,829.92626953125,951.1876831054688
8,9,Abmin7/Db,Ab,16.0,540.5475463867188,580.3882446289062,267.3774719238281,799.4934692382812,419.3016052246094,436.2701721191406,791.9066772460938,533.3907470703125,1913.0848388671875,4275.41552734375,1107.1309814453125,2136.2333984375
9,10,C#min7,C#,18.0,229.73854064941406,472.5055847167969,142.4425811767578,285.6324157714844,989.8417358398438,275.33245849609375,93.62808990478516,91.1567611694336,422.3031311035156,91.9761734008789,103.58106231689453,543.0946655273438
10,10,F#7,F#,19.0,40.29350662231445,111.09503936767578,34.45207977294922,61.93490982055664,227.59375,85.15149688720703,37.95419692993164,15.86767292022705,38.96548843383789,114.5679931640625,666.7987670898438,138.66368103027344
11,11,Bmaj7,B,20.0,471.6282043457031,697.1234741210938,753.2821655273438,2739.280517578125,1463.06005859375,1072.7696533203125,3970.9765625,723.4208374023438,231.9094696044922,389.4140319824219,2327.804443359375,2357.702880859375
12,12,Emaj13,E,22.0,741.5574340820312,2300.284912109375,1055.853759765625,3218.2451171875,1923.4521484375,1011.4125366210938,3854.484619140625,1186.3843994140625,2073.011474609375,1743.53759765625,818.19873046875,2258.17529296875
13,13,Bb7(#9),Bb,24.0,556.9752807617188,2175.089111328125,2679.853515625,750.015869140625,932.220458984375,3447.775634765625,887.8349609375,654.3560791015625,3258.741455078125,1219.4749755859375,2070.696533203125,480.8933410644531
14,14,Eb7,Eb,26.0,354.6642150878906,1839.9161376953125,1115.3544921875,3749.5322265625,743.775634765625,346.855712890625,562.6814575195312,1609.4415283203125,377.5799865722656,361.2080993652344,1878.1998291015625,461.0733947753906
15,15,Ab7,Ab,28.0,1729.0391845703125,507.2832336425781,600.9774169921875,2537.915771484375,959.0092163085938,761.057861328125,3649.784912109375,1251.0838623046875,2200.800048828125,4108.603515625,775.6694946289062,412.5601806640625
16,16,Gb7,Gb,30.0,153.9481201171875,623.3046875,137.77084350585938,241.95164489746094,1057.8262939453125,537.5057983398438,449.4310302734375,108.5097427368164,120.555908203125,187.01170349121094,568.4553833007812,154.9656524658203
17,16,G7,G,31.0,1168.6168212890625,1491.1500244140625,2751.741455078125,1640.9866943359375,3263.000244140625,10515.0693359375,4509.59716796875,3954.863037109375,762.1829223632812,654.0419921875,1134.2095947265625,4731.43603515625
