,Measure,Clockwise,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G,G,0.0,955.0249633789062,2313.584716796875,11966.2666015625,2393.453369140625,1883.9100341796875,2010.2972412109375,5991.73876953125,38747.17578125,6006.68701171875,1988.31689453125,7907.47705078125,3253.672119140625
1,4,Db13,Db,6.0,1167.1416015625,3086.7783203125,1587.2962646484375,4514.6123046875,1511.01708984375,3127.310546875,6124.025390625,2431.531494140625,2872.563232421875,1080.427978515625,3244.799072265625,3279.166748046875
2,6,D7(#9),D,10.0,190.45045471191406,88.86995697021484,203.3636932373047,114.1656723022461,187.5554656982422,381.5008850097656,226.82989501953125,70.43848419189453,73.29222869873047,195.9737548828125,68.86579132080078,70.61173248291016
3,7,G7,G,12.0,1996.0494384765625,661.6865234375,1457.0133056640625,674.2907104492188,846.5223999023438,3749.089111328125,1866.9156494140625,3076.819580078125,550.5567016601562,386.7042236328125,651.9968872070312,2197.356689453125
4,8,G7,G,14.0,2496.372314453125,650.9395751953125,1124.06005859375,644.429443359375,825.209716796875,3664.460693359375,1428.2432861328125,2009.0274658203125,403.3417663574219,308.67144775390625,539.9730834960938,2348.153076171875
5,9,G7,G,16.0,466.12548828125,603.4180297851562,2679.5830078125,824.801025390625,731.98583984375,3664.477783203125,1364.1180419921875,1637.7388916015625,349.6256103515625,324.8570861816406,446.7902526855469,1935.0179443359375
6,10,G7,G,18.0,466.5645751953125,349.2894592285156,1129.537109375,613.4661254882812,748.0433959960938,3653.33984375,1335.5831298828125,1632.8128662109375,339.9095458984375,287.381591796875,429.2180480957031,1937.1658935546875
7,11,C7,C,20.0,1729.5196533203125,376.2428283691406,371.5737609863281,983.6234741210938,4838.13037109375,922.358642578125,315.7622985839844,1462.5220947265625,362.1527404785156,341.2866516113281,1713.34130859375,841.1608276367188
8,12,C#dim7,C#,22.0,3868.1240234375,7881.43603515625,9111.1669921875,3135.573974609375,10643.1103515625,2609.932373046875,971.678955078125,4503.25634765625,1454.1126708984375,1205.8587646484375,5507.94775390625,2958.4365234375
9,14,Edim7,E,26.0,412.8895568847656,2166.588623046875,555.216064453125,775.2543334960938,3532.76953125,803.5606079101562,1070.2537841796875,4832.7705078125,833.1633911132812,364.7440490722656,1692.7608642578125,511.3642578125
10,15,Amin7,A,28.0,4444.1376953125,852.6953735351562,328.9378967285156,719.3623046875,3118.560791015625,990.9534301757812,495.961181640625,1738.1107177734375,738.4130859375,1742.93896484375,578.36865234375,908.108154296875
11,16,D7,D,30.0,8436.5439453125,1838.6256103515625,2075.626708984375,533.3014526367188,1244.4427490234375,1046.7288818359375,4029.360107421875,1965.7391357421875,445.3844909667969,1284.394775390625,596.9592895507812,1349.4375
12,17,G7,G,32.0,493.6942138671875,375.6077880859375,1180.012939453125,595.96533203125,893.2256469726562,3887.593505859375,1702.2769775390625,3667.851318359375,609.6357421875,471.0394287109375,531.3717651367188,2006.68798828125
13,18,Ab13,Ab,34.0,1218.0008544921875,2212.4990234375,1017.4369506835938,1669.2216796875,1200.6788330078125,3894.464599609375,2501.314697265625,528.3110961914062,519.2918701171875,725.2685546875,2263.925048828125,710.8877563476562
14,19,G7,G,36.0,488.894287109375,429.2334289550781,1271.1602783203125,771.5560913085938,890.0482788085938,4002.0556640625,1798.4149169921875,4010.794189453125,692.1517944335938,323.8519287109375,477.7038879394531,2004.2091064453125
15,20,G7,G,38.0,73.78178405761719,131.55113220214844,195.9150848388672,105.77706909179688,115.57949829101562,442.4927673339844,206.43772888183594,446.1409606933594,119.7695541381836,47.22574996948242,58.356021881103516,222.0729217529297
16,21,G7,G,40.0,496.4791259765625,411.2265930175781,1223.1011962890625,666.3574829101562,832.5923461914062,3699.1552734375,1664.6746826171875,4064.595703125,681.11181640625,309.7923278808594,465.9004211425781,2021.6983642578125
17,22,Db13,Db,42.0,96.98242950439453,216.65191650390625,192.57177734375,309.3564758300781,144.00392150878906,313.4879455566406,435.2962341308594,414.77685546875,229.3172149658203,87.34410858154297,205.35484313964844,251.76158142089844
18,23,C7,C,44.0,1675.3343505859375,471.7700500488281,416.1916809082031,1004.4882202148438,3912.6318359375,802.2892456054688,382.3042297363281,1570.2095947265625,374.1104736328125,346.6861267089844,1756.5045166015625,914.4638671875
19,24,C7,C,46.0,1770.6029052734375,382.2586364746094,299.46514892578125,863.217041015625,3861.952392578125,708.946533203125,304.1892395019531,1488.4886474609375,355.1921081542969,337.8855895996094,1701.1270751953125,786.9204711914062
20,25,G7,G,48.0,492.0876159667969,348.0831604003906,1077.334716796875,632.4335327148438,865.8591918945312,3762.486083984375,1422.8311767578125,1684.0380859375,344.6799621582031,285.53985595703125,421.4711608886719,1879.8731689453125
21,26,G7,G,50.0,465.4056091308594,340.3081359863281,1088.4088134765625,638.2340698242188,812.63037109375,3642.278076171875,1343.4376220703125,1641.8323974609375,342.5205383300781,290.9114074707031,438.1123046875,1936.2322998046875
22,27,Amin7,A,52.0,1711.1312255859375,391.133056640625,296.49749755859375,668.1206665039062,3139.322509765625,676.5267944335938,306.0159606933594,1537.23828125,693.3115234375,1672.1046142578125,375.4966735839844,609.2246704101562
23,28,D7,D,54.0,2368.5126953125,871.365966796875,1969.8323974609375,482.6339111328125,389.30859375,737.597412109375,3783.700927734375,702.960205078125,243.4529571533203,1227.6024169921875,282.95135498046875,397.9581604003906
24,29,G7,G,56.0,497.0487976074219,341.4709777832031,1064.481201171875,611.2786254882812,808.8679809570312,3715.419921875,1368.7451171875,1639.8626708984375,340.8428039550781,291.34503173828125,426.0379943847656,1921.9542236328125
25,30,D7,D,58.0,2104.039306640625,833.9353637695312,1922.8485107421875,410.3793640136719,252.0984344482422,831.3969116210938,4065.694091796875,718.277587890625,245.5234832763672,1262.24365234375,290.3801574707031,408.2232666015625
26,31,G7,G,60.0,491.4308166503906,340.94580078125,1071.40087890625,599.4551391601562,783.1920776367188,3745.541015625,1369.439453125,1651.3358154296875,342.21337890625,291.3875732421875,421.6278381347656,1898.0806884765625
27,32,G7,G,62.0,457.2061462402344,342.1718444824219,1090.3123779296875,605.1439819335938,756.1917114257812,3660.8515625,1376.8709716796875,1661.4202880859375,347.3541259765625,316.7874450683594,432.1991271972656,1936.0196533203125
28,33,G7,G,64.0,462.8797302246094,342.26904296875,1089.2103271484375,605.4478149414062,753.2354125976562,3651.4013671875,1371.2703857421875,1671.884765625,343.8148193359375,281.1684265136719,426.18896484375,1935.5679931640625
29,34,G7,G,66.0,152.55299377441406,120.7116470336914,345.613525390625,196.1719970703125,251.76214599609375,1073.3802490234375,456.7355651855469,475.9840087890625,116.0752944946289,86.79806518554688,138.81541442871094,550.1643676757812
30,34,Db13,Db,67.0,179.56349182128906,222.28392028808594,381.5525817871094,904.8555297851562,379.4236145019531,831.928466796875,1225.9888916015625,368.84716796875,575.6990356445312,256.5463562011719,652.6825561523438,650.5958862304688
31,35,C7,C,68.0,1555.0833740234375,364.265380859375,451.3115234375,1495.3382568359375,4056.885986328125,1114.6024169921875,740.7174682617188,1510.99951171875,383.2778015136719,351.6549377441406,1695.2493896484375,955.1036987304688
32,36,C7,C,70.0,1762.7320556640625,401.3363037109375,333.2079772949219,810.08251953125,3846.202880859375,717.804931640625,326.3116149902344,1530.3636474609375,351.5445861816406,342.0281066894531,1726.2552490234375,802.8182983398438
33,37,G7,G,72.0,489.5674133300781,348.2526550292969,1108.1279296875,689.7168579101562,886.15771484375,3691.748291015625,1357.524169921875,1682.8411865234375,345.1253356933594,279.2959289550781,424.6893005371094,1905.4071044921875
34,38,G7,G,74.0,469.7090759277344,342.376708984375,1081.108154296875,615.5455932617188,796.6558227539062,3670.08984375,1365.2891845703125,1638.58251953125,340.9537658691406,292.0510559082031,438.7522277832031,1934.95654296875
35,39,Amin7,A,76.0,1698.6669921875,387.9889221191406,294.4011535644531,679.8614501953125,3141.8271484375,675.2929077148438,309.9026794433594,1537.5272216796875,696.0593872070312,1672.0438232421875,375.25244140625,607.5374145507812
36,40,D7,D,78.0,2358.32958984375,870.0361938476562,1968.0521240234375,473.185546875,383.9894714355469,733.4601440429688,3765.443603515625,700.32958984375,243.47120666503906,1228.3775634765625,282.7492980957031,396.3265686035156
37,41,G7,G,80.0,496.7658386230469,341.3409118652344,1066.05615234375,614.6595458984375,811.2255859375,3710.767822265625,1366.54248046875,1640.23193359375,341.1085510253906,291.5263977050781,426.2068786621094,1922.6719970703125
38,42,D7,D,82.0,658.9237060546875,315.07781982421875,813.228515625,196.8444061279297,196.0674591064453,648.7084350585938,1375.2598876953125,248.83799743652344,97.84136199951172,453.1732482910156,145.08206176757812,303.18377685546875
