,Measure,MamboInn,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmin7,D,0.0,572.857177734375,254.14727783203125,567.4490356445312,158.47254943847656,358.6324157714844,1068.5238037109375,266.7923278808594,81.55662536621094,248.34844970703125,1495.0279541015625,261.9493103027344,107.5265121459961
1,1,G7,G,1.0,76.06953430175781,44.71829605102539,211.2836456298828,37.94358444213867,40.410762786865234,224.72166442871094,53.86216354370117,6.9225945472717285,15.459144592285156,121.82040405273438,26.5986328125,14.737003326416016
2,2,Cmaj7,C,2.0,575.5249633789062,182.8653564453125,203.76031494140625,273.4008483886719,1142.9276123046875,564.7035522460938,219.0178680419922,578.39453125,122.03946685791016,63.54446029663086,102.94327545166016,567.1149291992188
3,2,Amin7,A,3.0,371.6828918457031,106.03851318359375,66.865966796875,142.9334716796875,635.7245483398438,188.44386291503906,74.67774200439453,311.0043640136719,105.70511627197266,199.3787841796875,59.743221282958984,127.3856201171875
4,3,Dmin7,D,4.0,733.9032592773438,259.5859069824219,568.8482666015625,145.86561584472656,308.3028869628906,1057.7322998046875,291.96258544921875,289.7073669433594,149.91407775878906,458.7357177734375,109.67239379882812,142.35968017578125
5,3,G7,G,5.0,113.87653350830078,25.290006637573242,57.222293853759766,49.50264358520508,267.3601379394531,252.49143981933594,33.427711486816406,7.051974773406982,34.751182556152344,30.955106735229492,6.765134334564209,31.594324111938477
6,4,Cmaj7,C,6.0,2164.077880859375,542.7964477539062,596.9159545898438,813.6675415039062,3950.476318359375,1984.7640380859375,655.6361694335938,1937.5760498046875,431.2090148925781,198.1851043701172,360.7056579589844,2145.149658203125
7,5,Dmin7,D,8.0,670.34228515625,258.50177001953125,546.9669799804688,177.5604248046875,373.1225891113281,1069.6776123046875,268.0750427246094,80.87136840820312,251.4352569580078,1500.3023681640625,268.0284118652344,132.70211791992188
8,5,G7,G,9.0,96.5543441772461,45.91318130493164,200.02857971191406,38.349613189697266,47.56662368774414,233.826904296875,56.60799026489258,8.388629913330078,16.00018310546875,122.86009979248047,28.110084533691406,24.70781135559082
9,6,Cmaj7,C,10.0,574.48828125,183.0400848388672,204.04237365722656,275.1239929199219,1151.677001953125,565.8882446289062,219.83177185058594,582.9129028320312,122.86238861083984,63.82485580444336,103.10604095458984,567.7451171875
10,6,Amin7,A,11.0,371.6768798828125,106.01580810546875,66.83651733398438,142.90789794921875,635.8240356445312,188.46600341796875,74.68866729736328,310.97314453125,105.69830322265625,199.31040954589844,59.73409652709961,127.39066314697266
11,7,Dmin7,D,12.0,733.9100952148438,259.58270263671875,568.8453369140625,145.8677520751953,308.2939453125,1057.7335205078125,291.9650573730469,289.7080383300781,149.91348266601562,458.7388916015625,109.67431640625,142.3627166748047
12,7,G7,G,13.0,113.8810043334961,25.29009246826172,57.22224044799805,49.50490188598633,267.3628234863281,252.48724365234375,33.42583084106445,7.05211067199707,34.7514533996582,30.956817626953125,6.764904499053955,31.595748901367188
