,Measure,MamboInn,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
13,8,Cmaj7,C,14.0,2164.072998046875,542.7964477539062,596.9130249023438,813.6644897460938,3950.479248046875,1984.7674560546875,655.6362915039062,1937.5810546875,431.2090148925781,198.1829833984375,360.7042236328125,2145.1494140625
14,9,Fmin7,F,16.0,3195.911865234375,682.0369262695312,690.8969116210938,2659.830322265625,1374.3709716796875,1642.3248291015625,355.9163818359375,902.1653442382812,1692.8912353515625,390.179443359375,211.6426544189453,653.5557250976562
15,10,Bbmin7,Bb,18.0,519.241455078125,1716.3243408203125,405.0365905761719,297.9090881347656,717.9662475585938,3346.142333984375,639.4776611328125,713.3701171875,1428.0714111328125,700.5044555664062,1976.7066650390625,422.4486999511719
16,11,Ebmaj7,Eb,20.0,456.253662109375,1335.7117919921875,7471.353515625,10224.802734375,1867.5018310546875,1478.3671875,975.9127807617188,4272.29931640625,939.6637573242188,1916.2027587890625,11427.9794921875,2006.7032470703125
17,13,Amin7,A,24.0,1704.4652099609375,485.8785400390625,863.2905883789062,786.8142700195312,3137.779296875,603.6495361328125,354.4967346191406,1594.7366943359375,761.7725219726562,1833.3927001953125,410.3581848144531,553.1146850585938
18,14,D7,D,26.0,2677.175537109375,892.0735473632812,1887.9373779296875,461.6746826171875,350.1900634765625,730.4651489257812,3803.8955078125,729.997802734375,254.367431640625,1269.5743408203125,370.1422424316406,769.8423461914062
19,15,Dmin7,D,28.0,2174.014404296875,901.9119262695312,2775.51171875,583.706787109375,836.4227905273438,3631.878662109375,924.6583862304688,232.95347595214844,274.9833679199219,1485.54296875,338.5547790527344,365.7702331542969
20,16,G7,G,30.0,499.0785217285156,336.0929870605469,1034.768798828125,677.65576171875,1320.9405517578125,3780.8076171875,1379.8212890625,1675.4268798828125,409.412841796875,308.3468322753906,428.670654296875,1943.5335693359375
21,17,Dmin7,D,32.0,565.2947998046875,258.5585632324219,570.0073852539062,160.80303955078125,350.675537109375,1051.2913818359375,273.33197021484375,83.52588653564453,255.0165252685547,1523.63671875,270.1010437011719,120.56763458251953
22,17,G7,G,33.0,212.01123046875,187.20265197753906,719.0765991210938,260.6012878417969,265.1429748535156,1032.101806640625,461.806640625,475.54150390625,136.16055297851562,251.95799255371094,177.9305877685547,577.1702270507812
23,18,Cmaj7,C,34.0,597.358642578125,137.86959838867188,136.77650451660156,292.37548828125,1119.987548828125,411.432861328125,143.9287872314453,447.0509948730469,100.4773178100586,56.9307746887207,161.3919677734375,930.562744140625
24,18,Amin7,A,35.0,560.2977294921875,127.50838470458984,88.21627044677734,204.0225372314453,905.1151733398438,211.07118225097656,110.66448974609375,530.6069946289062,263.51312255859375,521.4570922851562,143.26768493652344,267.95794677734375
25,19,Dmin7,D,36.0,621.4622802734375,266.7565612792969,572.6608276367188,151.1559600830078,455.4489440917969,1110.775146484375,304.71905517578125,323.7601623535156,156.98597717285156,472.4729919433594,108.94287109375,146.39593505859375
26,19,G7,G,37.0,206.37962341308594,136.5518341064453,403.5749206542969,259.56658935546875,506.6346130371094,1075.5675048828125,446.4615783691406,495.5783386230469,158.0264129638672,149.41883850097656,150.66671752929688,559.874267578125
27,20,Cmaj7,C,38.0,2305.17578125,436.8488464355469,381.7664489746094,838.007080078125,3849.6513671875,1342.1282958984375,437.3604736328125,1531.9537353515625,362.1283874511719,172.89476013183594,570.286865234375,3632.981201171875
28,21,Dmin7,D,40.0,668.7435913085938,260.66180419921875,543.4556274414062,177.7581329345703,379.7154541015625,1086.7958984375,274.3336181640625,81.5301284790039,253.38275146484375,1510.1214599609375,272.1926574707031,151.13819885253906
29,21,G7,G,41.0,229.27239990234375,189.2437744140625,720.2567749023438,249.9628143310547,274.0912170410156,1033.8416748046875,454.8671569824219,472.1062316894531,135.09689331054688,249.0419464111328,178.72706604003906,581.1724853515625
30,22,Cmaj7,C,42.0,596.0272827148438,138.24009704589844,137.15167236328125,292.4573669433594,1119.0294189453125,411.2265930175781,145.4126434326172,452.2621154785156,101.37017059326172,56.40439224243164,160.58834838867188,926.3275756835938
31,22,Amin7,A,43.0,560.412109375,127.2800521850586,87.98583984375,204.3335723876953,905.3696899414062,211.1959686279297,108.5519790649414,528.6368408203125,263.2177734375,521.4258422851562,143.36387634277344,267.9992980957031
32,23,Dmin7,D,44.0,621.7105102539062,266.5367431640625,572.3873901367188,151.0645294189453,456.2514953613281,1109.8704833984375,303.6799621582031,323.9461669921875,157.0145263671875,472.7989501953125,109.0597915649414,146.35423278808594
33,23,G7,G,45.0,53.74954605102539,21.026111602783203,64.24655151367188,49.66384506225586,271.9013977050781,251.4164581298828,32.599609375,8.698254585266113,34.97612380981445,31.933616638183594,7.1975321769714355,22.92176055908203
34,24,Cmaj7,C,46.0,5900.71435546875,1385.4888916015625,1677.2325439453125,2311.11181640625,11785.8564453125,6057.42333984375,1818.3603515625,5563.078125,1264.7474365234375,529.59423828125,954.5223999023438,5736.41845703125
