,Measure,gonehome,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,8,C#7,C#,14.0,201.8922882080078,354.4503479003906,77.83111572265625,66.07575225830078,239.17401123046875,727.9765014648438,138.45730590820312,66.65098571777344,185.26829528808594,54.071533203125,107.9625015258789,441.0745849609375
1,8,C7,C,15.0,348.5602722167969,90.70914459228516,19.44629669189453,79.92469024658203,330.8273010253906,181.3707733154297,53.65977096557617,218.2605438232422,63.78672409057617,18.027238845825195,64.8128662109375,98.05736541748047
2,9,C#7,C#,16.0,126.85323333740234,54.9006233215332,13.75466537475586,40.70742416381836,168.49549865722656,379.896240234375,82.2062759399414,68.65291595458984,25.913835525512695,44.932010650634766,36.53614044189453,38.8607292175293
3,10,C7,C,18.0,1376.51953125,636.0862426757812,221.87974548339844,908.9365844726562,2603.7109375,1486.1378173828125,338.4073791503906,1051.807373046875,464.10693359375,286.3092346191406,1230.9376220703125,763.7384643554688
4,11,C#7,C#,20.0,702.8447265625,142.66241455078125,31.690298080444336,92.58514404296875,174.9939727783203,364.88623046875,96.6358871459961,270.2715759277344,77.15733337402344,53.281856536865234,41.819061279296875,113.4657211303711
5,12,C7,C,22.0,1215.3206787109375,570.29638671875,137.3650665283203,437.8608093261719,2477.421630859375,1460.7733154296875,295.3282165527344,956.4530639648438,439.0461730957031,254.89234924316406,981.532958984375,682.8284301757812
6,13,C#7,C#,24.0,86.1651611328125,37.696041107177734,9.365721702575684,28.30158805847168,105.70065307617188,349.1544189453125,75.22750091552734,57.11135482788086,24.51094627380371,42.60177230834961,25.1168270111084,19.510652542114258
7,14,C7,C,26.0,1378.3253173828125,633.9038696289062,220.93788146972656,905.7573852539062,2585.76171875,1486.4886474609375,338.3907165527344,1049.5823974609375,463.5242004394531,288.77301025390625,1246.397216796875,766.2490234375
8,15,C7,C,28.0,702.8547973632812,142.6638946533203,31.689590454101562,92.5810546875,174.9779052734375,364.8809509277344,96.63785552978516,270.27252197265625,77.15563201904297,53.2798957824707,41.82078170776367,113.468017578125
9,16,G7,G,30.0,300.5054016113281,104.89490509033203,215.38844299316406,193.7931671142578,440.0984802246094,723.1412963867188,249.0694122314453,446.0513000488281,126.82892608642578,170.3671112060547,896.9465942382812,529.3787231445312
10,16,C,C,31.0,1144.7545166015625,224.1096954345703,321.9370422363281,372.1256103515625,1996.6123046875,1126.1556396484375,351.8179626464844,1407.1512451171875,330.4019775390625,63.954341888427734,145.06675720214844,595.4614868164062
11,18,C7,C,34.0,6725.14892578125,1169.6812744140625,308.038818359375,1740.3206787109375,10109.7490234375,1813.33740234375,706.5692749023438,4302.87646484375,1144.2418212890625,677.6062622070312,3573.5517578125,2067.788818359375
