,Measure,Gibraltar,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Gmin9,G,0.0,343.565185546875,658.8749389648438,1161.7415771484375,375.3186950683594,849.9810180664062,3308.076416015625,2260.58056640625,6582.57177734375,1378.2513427734375,1780.96923828125,2167.38623046875,557.1912841796875
1,2,C13,C,2.0,754.43017578125,694.2186889648438,1779.58251953125,1247.8077392578125,2666.347412109375,3392.532470703125,1496.9798583984375,2118.396728515625,754.2522583007812,1832.8046875,2268.516845703125,639.7423095703125
2,3,Gmin7,G,4.0,323.0845031738281,575.5484008789062,1285.969482421875,374.7152099609375,843.6549682617188,3167.09765625,2214.949462890625,6448.49267578125,1216.7177734375,848.620361328125,2053.984130859375,529.4265747070312
3,4,C13,C,6.0,755.025146484375,694.9317016601562,1779.9349365234375,1251.1387939453125,2674.37451171875,3391.438232421875,1496.408203125,2119.142822265625,756.8883666992188,1858.0152587890625,2271.04931640625,639.5407104492188
4,5,Gmin7,G,8.0,323.9750671386719,576.338134765625,1281.6654052734375,391.6657409667969,832.1947631835938,3155.977294921875,2228.201904296875,6449.66259765625,1216.4561767578125,850.7564086914062,2052.189697265625,531.0432739257812
5,6,C13,C,10.0,755.0162963867188,694.9125366210938,1779.9334716796875,1251.140869140625,2674.496826171875,3391.696533203125,1496.4564208984375,2119.181884765625,756.933349609375,1858.0394287109375,2271.042236328125,639.52587890625
6,7,Gmin7,G,12.0,323.0895080566406,575.55224609375,1285.9796142578125,374.7181091308594,843.669921875,3167.100341796875,2214.934326171875,6448.478515625,1216.7125244140625,848.5928344726562,2053.97998046875,529.4243774414062
7,8,C13,C,14.0,766.166748046875,649.2276611328125,1719.2532958984375,1236.0126953125,2662.7861328125,3378.174072265625,1376.8663330078125,2383.63525390625,809.3952026367188,1864.6192626953125,2209.443115234375,620.7152099609375
8,9,Gmin7,G,16.0,203.82456970214844,322.51702880859375,1045.1531982421875,306.70587158203125,703.0390014648438,2963.129638671875,1048.548095703125,1610.5208740234375,390.2850646972656,728.3853149414062,1937.767578125,374.7394714355469
9,10,C13,C,18.0,720.3623046875,550.7943725585938,1132.5479736328125,899.5114135742188,2280.218994140625,3309.226806640625,1269.0113525390625,1960.3587646484375,701.3766479492188,1781.5152587890625,2209.20556640625,618.6998901367188
10,11,Gmin7,G,20.0,173.44281005859375,313.3228454589844,1045.037109375,304.6501770019531,698.018310546875,2960.55078125,1049.7962646484375,1618.0640869140625,394.4885559082031,737.374755859375,1940.2027587890625,369.5318298339844
11,12,C13,C,22.0,760.1619262695312,635.285400390625,1709.921875,1011.421875,2271.1357421875,3332.163330078125,1344.9775390625,2277.39013671875,775.3419799804688,1820.1793212890625,2210.317626953125,630.1666870117188
12,13,Gmin7,G,24.0,571.3970336914062,392.2132873535156,1048.6341552734375,339.4049987792969,851.985595703125,3081.236572265625,1090.813720703125,1817.5106201171875,724.6380004882812,2843.676513671875,3045.988037109375,529.2105102539062
