,Measure,Velocity,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Fmin7,F,2.0,401.0920104980469,103.49071502685547,182.28968811035156,926.4296264648438,233.1471710205078,189.59619140625,58.66465759277344,214.54283142089844,74.33079528808594,88.27655792236328,463.1977233886719,148.49844360351562
1,3,Fmin7,F,4.0,1560.4359130859375,334.3818054199219,417.3920593261719,2191.82421875,654.8485107421875,1111.291748046875,256.7892150878906,527.364501953125,177.68443298339844,136.73382568359375,123.16620635986328,278.9905700683594
2,5,Fmin7,F,8.0,211.50209045410156,59.08517837524414,106.22455596923828,492.6800537109375,155.93727111816406,417.3856506347656,93.93917083740234,279.3466491699219,1520.4940185546875,388.3058166503906,455.735595703125,109.33145904541016
3,6,Bbmin7,Bb,10.0,89.73177337646484,160.8857879638672,57.87924575805664,224.6481170654297,172.82508850097656,636.800048828125,133.2975311279297,456.9923400878906,2957.364501953125,618.5818481445312,628.7265014648438,91.88997650146484
4,7,Bbmin,Bb,12.0,94.88744354248047,159.63462829589844,49.39727783203125,122.91448211669922,168.07171630859375,836.91650390625,154.14051818847656,265.9754333496094,1547.931640625,378.8095703125,443.2417297363281,82.89163970947266
5,8,Bbmin7,Bb,14.0,83.83150482177734,154.49900817871094,56.78042984008789,192.02899169921875,170.4838104248047,631.9524536132812,133.0115203857422,451.8230285644531,2915.98046875,611.2914428710938,627.05322265625,94.65229034423828
6,9,Emin7,E,16.0,148.7679901123047,544.3423461914062,239.26329040527344,227.3861541748047,790.323974609375,274.1634216308594,210.2483673095703,1145.9119873046875,406.8388366699219,534.4386596679688,130.34304809570312,129.59461975097656
7,9,A7,A,17.0,448.5752868652344,279.817626953125,652.3090209960938,173.51902770996094,282.50634765625,673.2195434570312,146.63453674316406,66.32347869873047,50.06991195678711,161.15797424316406,35.513427734375,84.8647689819336
8,10,Dmin7,D,18.0,70.72046661376953,83.61441802978516,206.1820068359375,64.81619262695312,151.90342712402344,447.0054016113281,88.40941619873047,30.792213439941406,17.169727325439453,49.609317779541016,15.155567169189453,19.397476196289062
9,11,C7,C,20.0,275.0177917480469,247.137939453125,983.3595581054688,438.147705078125,446.1849365234375,151.50909423828125,452.2958984375,3077.8134765625,517.3407592773438,57.75893783569336,122.76102447509766,98.98229217529297
10,12,Cmin7,C,22.0,216.0212860107422,52.78814697265625,93.29550170898438,404.8223571777344,99.23604583740234,32.90298843383789,15.134963989257812,46.76578140258789,11.415030479431152,19.08616828918457,46.29550552368164,44.51704025268555
11,13,F7,F,24.0,185.62286376953125,47.49959945678711,87.14376068115234,413.0544128417969,127.43112182617188,146.7470245361328,27.50501823425293,27.91758155822754,18.935039520263672,21.268545150756836,13.388863563537598,37.93571090698242
12,14,Bb13,Bb,26.0,433.6980285644531,96.73574829101562,122.97222137451172,447.2693786621094,168.69212341308594,186.1633758544922,86.6190185546875,273.8684997558594,427.7556457519531,125.14766693115234,97.93871307373047,98.20397186279297
13,15,Bb13,Bb,28.0,179.7488250732422,55.778812408447266,114.00279998779297,417.4320983886719,141.31517028808594,222.20701599121094,160.17796325683594,104.66497802734375,69.65799713134766,61.71625900268555,99.29634857177734,67.15849304199219
