,Measure,Hang Up!,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Emin7,E,0.0,399.7344665527344,438.9248352050781,2388.671142578125,1108.093994140625,3877.482421875,728.8214721679688,492.5429992675781,2569.935302734375,1019.0841674804688,3411.697021484375,827.0587768554688,2039.7408447265625
1,2,Emin7,E,2.0,17562.845703125,42983.23828125,76170.8515625,38376.3359375,154020.953125,30743.166015625,16737.0546875,48277.56640625,32831.53515625,13633.1337890625,12135.3974609375,67567.5859375
2,18,B/C#,B,34.0,35.59475326538086,84.37265014648438,44.812103271484375,114.91783905029297,46.25950622558594,57.78592300415039,112.55731201171875,58.7238655090332,67.5517807006836,39.58283233642578,64.82678985595703,100.7348861694336
3,18,C/D,C,34.4,22.657440185546875,17.622764587402344,20.546586990356445,42.126102447509766,19.779272079467773,17.015867233276367,46.219669342041016,30.430145263671875,10.442975044250488,7.454906463623047,22.610153198242188,55.7833366394043
4,18,A7,A,34.8,49.27253341674805,23.331689834594727,28.188119888305664,25.497711181640625,104.76187896728516,24.009885787963867,29.705110549926758,115.48199462890625,40.00442886352539,8.973677635192871,6.395833492279053,24.077880859375
5,18,Gmaj7,G,35.2,36.78721237182617,63.19899368286133,25.51051902770996,34.23522186279297,112.63894653320312,54.1539192199707,20.201505661010742,76.27800750732422,54.07635498046875,87.25448608398438,197.7563018798828,58.94881057739258
6,18,Emin7,E,35.6,1242.7564697265625,1663.02880859375,3435.919921875,1568.9837646484375,4214.31591796875,2038.3345947265625,5533.27734375,4789.88037109375,1436.32861328125,4668.17626953125,4662.61474609375,4582.61865234375
7,20,Db9,Db,38.0,54.6651611328125,76.87532043457031,63.31988525390625,171.31800842285156,87.91620635986328,83.3604507446289,65.06356048583984,46.7951545715332,109.50101470947266,51.4158935546875,58.199710845947266,127.3589096069336
8,20,D9,D,38.4,22.111953735351562,21.294736862182617,35.9228515625,77.67027282714844,37.67338943481445,23.252601623535156,44.16061782836914,34.97468185424805,32.151432037353516,25.00539207458496,30.163612365722656,66.84258270263672
9,20,Eb9,Eb,38.8,46.01216506958008,23.32857322692871,34.8645133972168,52.003116607666016,97.69820404052734,38.514102935791016,63.20124435424805,136.3407440185547,55.33149337768555,57.63546371459961,29.445451736450195,27.390382766723633
10,20,Emin7,E,39.2,35.248897552490234,64.69467163085938,75.42631530761719,123.58688354492188,119.52688598632812,160.86024475097656,60.37239074707031,61.3031005859375,49.74161911010742,63.46995162963867,244.6725616455078,68.2651596069336
11,20,G9,G,39.6,1205.5084228515625,1858.98291015625,4338.14306640625,2484.711181640625,4791.1962890625,5007.09619140625,1909.1177978515625,3651.007568359375,1573.07470703125,4493.87841796875,5006.0400390625,3386.017333984375
12,22,Db9,Db,42.0,51.41229248046875,79.19373321533203,63.9013557434082,167.25062561035156,90.80233001708984,84.76318359375,62.56168746948242,45.643096923828125,106.86046600341797,50.04751968383789,54.524810791015625,110.2820816040039
13,22,D9,D,42.4,20.976343154907227,20.701515197753906,36.504737854003906,74.36193084716797,33.60965347290039,23.02370262145996,37.648277282714844,34.32938766479492,35.66305923461914,26.643884658813477,30.29244041442871,60.27773666381836
14,22,Eb9,Eb,42.8,45.472469329833984,23.261343002319336,36.47359848022461,53.26401901245117,102.84783172607422,41.680015563964844,64.4852523803711,136.31607055664062,52.55388259887695,53.579620361328125,27.584569931030273,26.0542049407959
15,22,Emin7,E,43.2,34.96883010864258,64.11719512939453,73.93094635009766,125.18094635009766,121.10125732421875,157.74942016601562,59.151031494140625,59.65423583984375,49.4620361328125,63.6075553894043,242.74388122558594,64.61038208007812
16,22,G9,G,43.6,1204.3265380859375,1856.4425048828125,4297.33984375,2483.578125,4789.76953125,4986.46630859375,1863.9664306640625,3681.853271484375,1583.6712646484375,4524.8701171875,5005.4541015625,3372.745849609375
17,24,Emin7,E,46.0,13481.7099609375,10899.89453125,49753.27734375,29031.232421875,86375.953125,19919.48046875,9928.0849609375,35246.97265625,10416.3359375,5856.884765625,5863.529296875,28529.291015625
18,34,Emin7,E,66.0,2281.583251953125,2395.447021484375,14266.35546875,6496.15087890625,25391.970703125,4180.87646484375,2024.01904296875,10125.0205078125,2534.1083984375,970.5016479492188,2045.70751953125,12923.3984375
19,38,Emin7,E,74.0,383.3656005859375,405.7767639160156,2313.4228515625,1011.3792114257812,3392.9169921875,619.8461303710938,335.070068359375,1496.6195068359375,366.7613525390625,177.79783630371094,328.8175048828125,1996.1219482421875
20,39,B/C#,B,76.0,34.90536117553711,84.61316680908203,47.78872299194336,119.96092987060547,51.619140625,56.18453598022461,111.4876937866211,60.85577392578125,67.69164276123047,39.42646026611328,64.99071502685547,101.54605865478516
21,39,C/D,C,76.4,22.46605682373047,17.650188446044922,20.41781234741211,42.97602844238281,21.770898818969727,17.150806427001953,46.139400482177734,31.499204635620117,10.765278816223145,7.566221714019775,22.70379066467285,54.75653076171875
22,39,A7,A,76.8,49.25461959838867,23.385072708129883,28.580612182617188,25.482629776000977,104.26871490478516,23.898775100708008,29.78139305114746,115.82470703125,40.14466857910156,8.98127269744873,6.377534866333008,23.99837303161621
23,39,Gmaj7,G,77.2,36.76264572143555,63.34950637817383,25.65360450744629,34.333133697509766,112.92652130126953,54.21529769897461,20.12352180480957,75.9233169555664,53.88710403442383,87.18682861328125,197.7900848388672,58.998931884765625
24,39,Emin7,E,77.6,1242.9754638671875,1663.4063720703125,3435.567626953125,1568.6046142578125,4214.15869140625,2037.78857421875,5532.43896484375,4790.86279296875,1436.4183349609375,4667.4716796875,4662.16064453125,4582.8623046875
25,41,B/C#,B,80.0,38.22422409057617,84.24230194091797,45.37630844116211,110.6875,44.84787368774414,59.159908294677734,112.96028900146484,60.48899459838867,68.0555648803711,39.9292106628418,66.11542510986328,113.96065521240234
26,41,C/D,C,80.4,23.526479721069336,19.334692001342773,22.797292709350586,42.650081634521484,21.39360809326172,19.215227127075195,53.06708908081055,31.689207077026367,10.258584976196289,7.620235919952393,25.781713485717773,64.69248962402344
27,41,A7,A,80.8,49.41709518432617,24.29142951965332,32.745243072509766,26.997568130493164,103.31610107421875,24.32680320739746,28.516565322875977,115.5820083618164,40.51792526245117,8.895790100097656,7.470181941986084,29.499032974243164
28,41,Gmaj7,G,81.2,37.74100875854492,63.74757766723633,25.531137466430664,33.94514846801758,112.0533447265625,54.52652359008789,21.62944984436035,75.8334732055664,53.415225982666016,87.0807876586914,197.46728515625,61.066314697265625
29,41,Emin7,E,81.6,1239.104248046875,1659.04638671875,3416.763427734375,1569.38330078125,4219.36474609375,2052.385009765625,5617.19140625,4809.82275390625,1436.3701171875,4662.03955078125,4658.23291015625,4559.02587890625
30,43,B/C#,B,84.0,38.2236213684082,84.24234008789062,45.376338958740234,110.68695831298828,44.84791946411133,59.160160064697266,112.96036529541016,60.48931884765625,68.05546569824219,39.92912673950195,66.11505889892578,113.95809936523438
31,43,C/D,C,84.4,23.52641487121582,19.334623336791992,22.797325134277344,42.65028762817383,21.39375877380371,19.21506690979004,53.06668472290039,31.689146041870117,10.258519172668457,7.620222568511963,25.782241821289062,64.69300842285156
32,43,A7,A,84.8,49.41727828979492,24.291528701782227,32.745670318603516,26.997629165649414,103.31604766845703,24.32672691345215,28.51662254333496,115.582275390625,40.518062591552734,8.895540237426758,7.470221042633057,29.4991397857666
33,43,Gmaj7,G,85.2,37.740970611572266,63.7480354309082,25.531068801879883,33.945045471191406,112.05331420898438,54.5271110534668,21.629728317260742,75.83362579345703,53.415225982666016,87.08051300048828,197.4668731689453,61.06626510620117
34,43,Emin7,E,85.6,3296.973388671875,4269.0205078125,10851.7587890625,4539.060546875,13894.8828125,5263.1435546875,13439.20703125,12053.7275390625,4013.825439453125,13419.25390625,10280.8857421875,12785.8837890625
35,46,B/C#,B,90.0,33.86283874511719,81.99825286865234,43.16328811645508,112.90145874023438,46.411373138427734,59.387020111083984,111.4664077758789,57.80971145629883,67.5281753540039,39.892276763916016,63.2404899597168,91.9654541015625
36,46,C/D,C,90.4,20.667001724243164,18.39650535583496,20.544551849365234,42.25540542602539,19.883569717407227,16.163179397583008,43.3664665222168,29.942245483398438,10.583683013916016,7.448846817016602,21.530874252319336,50.79843521118164
37,46,A7,A,90.8,49.70185470581055,25.25376319885254,26.998708724975586,25.25604248046875,105.38251495361328,24.66587257385254,32.08454513549805,116.37992095947266,40.307979583740234,9.00454044342041,6.023988246917725,21.55364990234375
38,46,Gmaj7,G,91.2,36.71047592163086,62.710567474365234,25.13669776916504,33.93013000488281,112.85430145263672,54.38950729370117,20.515199661254883,76.74024200439453,54.2349853515625,87.60660552978516,197.62730407714844,58.21989440917969
39,46,Emin7,E,91.6,1244.1781005859375,1663.4820556640625,3433.750732421875,1568.9853515625,4214.6064453125,2032.8419189453125,5490.759765625,4783.42236328125,1436.0748291015625,4665.49609375,4662.9013671875,4588.45751953125
40,48,Emin7,E,94.0,14895.9912109375,29973.505859375,60939.0625,27648.845703125,106524.2421875,21064.498046875,13916.1162109375,35040.15234375,21173.767578125,8654.8173828125,10123.4853515625,59568.9375
41,60,G9,G,118.0,52.336456298828125,55.33566665649414,104.99854278564453,70.1277084350586,96.69425201416016,335.9615478515625,147.0804901123047,145.3670654296875,53.944305419921875,134.8106689453125,70.20431518554688,160.08575439453125
42,61,F9,F,120.0,2098.68212890625,524.759521484375,918.9773559570312,3395.5654296875,1765.31884765625,1776.0797119140625,566.8189086914062,1575.5748291015625,676.1314086914062,1700.7369384765625,499.3586730957031,766.9889526367188
43,62,G9,G,122.0,536.0155639648438,480.4641418457031,1109.0814208984375,734.1388549804688,947.1431274414062,3887.928955078125,1408.2105712890625,1777.0533447265625,512.8680419921875,1248.0611572265625,588.9879760742188,1959.9833984375
44,63,F9,F,124.0,17893.966796875,4275.92822265625,6471.79345703125,26848.314453125,12329.2255859375,13687.5634765625,4376.33251953125,16379.79296875,6929.49853515625,12007.4951171875,2970.009521484375,4933.79296875
