,Measure,Recado Bossa Nova,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Gmin7,G,0.0,2203.591064453125,4550.19091796875,17731.416015625,4118.8876953125,10191.146484375,54717.04296875,14202.23046875,21153.638671875,4503.60791015625,8708.0869140625,24304.5703125,4492.59716796875
1,9,Gmin7,G,16.0,183.48724365234375,324.3255920410156,1219.550537109375,347.5722351074219,659.7324829101562,3012.943115234375,1387.4085693359375,4348.64794921875,855.4674682617188,699.2705078125,1929.7618408203125,391.478759765625
2,10,Gmin7,G,18.0,178.95782470703125,313.7978515625,1045.442626953125,295.3223571777344,622.6903076171875,2950.679443359375,1050.0513916015625,1639.349609375,396.1598815917969,737.5770874023438,1943.4776611328125,367.2525329589844
3,11,D7,D,20.0,2039.2662353515625,907.8218383789062,1980.2091064453125,404.4213562011719,243.9766082763672,781.991455078125,3719.236328125,867.1780395507812,336.4664001464844,1269.2725830078125,345.3299865722656,355.7290344238281
4,12,D7(#9),D,22.0,1769.68408203125,507.0205383300781,590.8956909179688,418.78564453125,1562.47607421875,4130.419921875,2322.897216796875,571.3776245117188,614.1145629882812,1913.8690185546875,470.802978515625,422.9939880371094
5,13,Dmin7(b5),D,24.0,2327.432861328125,806.156982421875,1897.2506103515625,434.6022033691406,776.0581665039062,3555.669189453125,877.2908325195312,210.31922912597656,242.7300567626953,1192.4742431640625,237.83648681640625,384.9446716308594
6,14,G7,G,26.0,288.6963195800781,257.1229248046875,946.2968139648438,384.1661682128906,396.321533203125,1749.7373046875,729.3233032226562,766.8010864257812,179.3882598876953,313.0833435058594,261.5161437988281,919.6036987304688
7,15,Cmin7,C,28.0,1743.3712158203125,491.1705322265625,927.3960571289062,3032.847412109375,949.94189453125,466.1050109863281,339.90380859375,1526.1534423828125,303.4664611816406,384.8296203613281,1957.6085205078125,780.2373657226562
8,16,Cmin7,C,30.0,1896.20263671875,454.2019958496094,842.5632934570312,3126.706787109375,922.3997192382812,239.11119079589844,287.85772705078125,1487.7303466796875,301.4757385253906,369.4850769042969,1952.6900634765625,787.4053344726562
9,17,Amin7,A,32.0,1794.5947265625,388.0769348144531,208.4959716796875,746.7118530273438,3051.981201171875,545.9364624023438,302.31634521484375,1585.06787109375,742.0883178710938,1658.8389892578125,374.378173828125,561.3231811523438
10,18,D7,D,34.0,2482.122802734375,879.8762817382812,1897.5894775390625,474.7735595703125,306.09735107421875,701.7901000976562,3782.280517578125,696.374267578125,244.7224578857422,1254.581298828125,289.3310852050781,410.8324890136719
11,19,Gmin7,G,36.0,256.3417663574219,618.8234252929688,3253.028564453125,649.32763671875,741.6698608398438,3072.1884765625,1145.2593994140625,1633.3470458984375,411.3373718261719,730.0700073242188,1986.9259033203125,393.0262145996094
12,20,Gmin7,G,38.0,182.87339782714844,318.0583190917969,1052.7685546875,295.7149353027344,629.9459838867188,2969.3486328125,1078.8829345703125,1639.98046875,400.484375,895.2180786132812,2738.1591796875,454.9188537597656
13,21,A7,A,40.0,442.9948425292969,1814.330078125,499.7964782714844,624.0892944335938,2820.567138671875,887.6077270507812,341.057373046875,1616.1795654296875,910.7431030273438,1670.0076904296875,328.7004089355469,251.7821807861328
14,22,A7,A,42.0,476.8399963378906,1806.1646728515625,489.1182861328125,634.8359985351562,2818.434814453125,900.78466796875,376.3788757324219,1712.7235107421875,970.1452026367188,2345.057373046875,4163.9970703125,829.159423828125
15,23,D7,D,44.0,2043.3150634765625,863.9046020507812,1921.0784912109375,453.5105895996094,333.2628479003906,707.2482299804688,3809.167724609375,703.833984375,327.6410217285156,1710.271484375,385.7137145996094,354.824951171875
16,24,D7(#9),D,46.0,25.43076515197754,23.071189880371094,33.70634078979492,7.642068386077881,13.67154312133789,14.61136245727539,48.28059768676758,8.899239540100098,2.5497541427612305,9.907877922058105,2.467569589614868,4.504184246063232
17,25,Gmin7,G,48.0,345.7376708984375,116.51400756835938,311.321044921875,130.33946228027344,266.8963317871094,992.7299194335938,888.6409301757812,3155.579345703125,559.7793579101562,156.21153259277344,194.00538635253906,128.00511169433594
18,26,Gmin7,G,50.0,203.62176513671875,320.6595764160156,1023.8265991210938,298.7687683105469,633.2083129882812,2878.1748046875,1041.8770751953125,1654.5333251953125,398.1976318359375,763.0343627929688,1979.921875,379.5760803222656
19,27,D7,D,52.0,1917.8758544921875,900.886962890625,1983.8221435546875,405.0921630859375,240.76148986816406,773.8871459960938,3666.809326171875,856.2045288085938,336.678955078125,1277.2552490234375,346.4007263183594,338.884033203125
20,28,D7,D,54.0,2096.7548828125,828.6083984375,1934.3575439453125,415.116943359375,244.8285675048828,742.7991333007812,3823.881103515625,689.6185913085938,238.34568786621094,1225.9287109375,276.6392517089844,349.9542236328125
21,29,Dmin7(b5),D,56.0,2099.977783203125,760.697998046875,1861.4892578125,420.8016052246094,785.231689453125,3592.568603515625,880.36865234375,201.06236267089844,241.92462158203125,1229.8743896484375,240.148681640625,346.6440124511719
22,30,G7,G,58.0,513.1636962890625,473.0616760253906,1898.7218017578125,729.7128295898438,781.6080932617188,3685.810791015625,1482.8875732421875,1650.1146240234375,361.2721252441406,517.0214233398438,492.1558532714844,2003.77392578125
23,31,Cmin7,C,60.0,1779.98291015625,449.82373046875,817.0960083007812,3022.424072265625,922.830078125,324.03521728515625,315.0778503417969,1501.705078125,304.1463317871094,381.51708984375,1954.8526611328125,794.6650390625
24,32,Cmin,C,62.0,1866.9921875,443.3553466796875,665.2737426757812,3059.7861328125,835.2568359375,190.02117919921875,271.9552001953125,1480.41455078125,232.2256622314453,93.56778717041016,156.8963623046875,483.1161804199219
25,33,Amin7,A,64.0,1797.0423583984375,389.5246887207031,212.4495391845703,746.1967163085938,3063.0712890625,558.3670043945312,294.1582336425781,1564.8861083984375,737.4811401367188,1662.4984130859375,388.6083679199219,573.9490356445312
26,34,D7,D,66.0,2373.130126953125,873.928955078125,1917.72216796875,607.927978515625,415.0397033691406,1207.87109375,3893.170166015625,721.8956909179688,261.084228515625,1299.8099365234375,305.8139343261719,401.0777282714844
27,35,Gmin7,G,68.0,644.0487060546875,381.9109191894531,1024.7509765625,330.90826416015625,717.7825317382812,3043.5263671875,1126.0718994140625,1816.51318359375,433.8367004394531,695.300048828125,1929.5443115234375,439.7963562011719
28,36,Gmin7,G,70.0,179.2503662109375,316.51080322265625,1055.0853271484375,296.58203125,630.311767578125,2998.210205078125,1081.0313720703125,1635.6343994140625,425.6382141113281,1208.6956787109375,3855.614990234375,613.3363037109375
29,37,Ab7(#9),Ab,72.0,2147.271240234375,498.6175842285156,694.165283203125,2824.561279296875,839.69580078125,865.9436645507812,3705.395751953125,1658.4266357421875,3941.336181640625,800.7853393554688,490.7464904785156,2255.184326171875
