,Measure,Smokin,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Emin7,E,0.0,123.84468841552734,196.79620361328125,1141.71044921875,394.4334716796875,998.0726928710938,208.3058319091797,130.1046600341797,449.4251708984375,115.25,153.32371520996094,119.4723892211914,556.3195190429688
1,1,A7,A,1.0,294.4841613769531,1146.8946533203125,449.540771484375,576.5266723632812,2693.247802734375,727.2117309570312,277.4432678222656,1209.1771240234375,622.6939697265625,1457.9725341796875,2972.171630859375,761.1651000976562
2,3,Dmin7,D,4.0,548.685302734375,247.3399658203125,548.7941284179688,141.03616333007812,308.0771484375,1093.2406005859375,279.20465087890625,66.80066680908203,100.90164947509766,610.0046997070312,1427.9564208984375,306.8064270019531
3,3,G7,G,5.0,508.7251281738281,341.27435302734375,947.0049438476562,461.7322998046875,699.3372192382812,3345.274658203125,1018.8134765625,1026.5189208984375,250.46575927734375,706.0859985351562,2970.775390625,1549.0841064453125
4,5,C9,C,8.0,551.0339965820312,252.4638214111328,896.6740112304688,391.0909423828125,1113.7880859375,304.9325866699219,122.18477630615234,443.51220703125,144.97616577148438,252.33045959472656,1353.1026611328125,385.5718994140625
5,5,F7,F,9.0,1716.43701171875,413.7730407714844,587.7177734375,2244.072998046875,2249.485595703125,1168.6636962890625,265.980224609375,470.3138427734375,389.9066467285156,1511.4686279296875,3221.9794921875,854.992919921875
6,7,Bbmaj7,Bb,12.0,531.10205078125,1337.51318359375,5361.34375,1500.4229736328125,2030.4847412109375,9202.78125,1990.1676025390625,418.5658874511719,849.0964965820312,5825.64013671875,14724.04296875,2258.695556640625
7,9,A7,A,16.0,461.1809387207031,1834.2374267578125,504.1477966308594,831.9440307617188,2820.025146484375,792.478271484375,371.0516662597656,2188.485595703125,4676.68798828125,2221.059326171875,353.5114440917969,279.2882385253906
8,10,Eb7,Eb,18.0,558.0839233398438,3272.477783203125,1207.477294921875,3112.455810546875,671.7723999023438,246.25946044921875,288.11077880859375,1573.4036865234375,559.3585815429688,416.3541564941406,2057.661865234375,480.3048095703125
9,11,Bb7,Bb,20.0,260.26824951171875,484.9190979003906,2056.619873046875,598.6148681640625,768.1041870117188,3158.526123046875,765.3159790039062,295.62982177734375,1395.5333251953125,923.5709838867188,1990.38232421875,361.860107421875
10,12,Fmin7,F,22.0,608.4307861328125,159.09007263183594,201.4990692138672,774.0022583007812,405.1396179199219,455.6282958984375,109.37413787841797,218.4270477294922,475.7854919433594,193.22271728515625,431.033203125,198.57130432128906
11,12,Bb7,Bb,23.0,207.6122589111328,200.60382080078125,646.7052001953125,419.2301940917969,292.68988037109375,1012.6435546875,263.2570495605469,112.05998992919922,479.8504333496094,302.9563293457031,585.8118896484375,150.4250030517578
12,13,Eb7,Eb,24.0,560.1480712890625,2989.508544921875,1348.4144287109375,3324.66796875,783.7423706054688,982.858642578125,400.70263671875,1615.46044921875,636.259765625,449.6701965332031,2097.9189453125,500.2480773925781
13,14,Ab7,Ab,26.0,1861.5050048828125,525.0368041992188,656.9437866210938,2517.136474609375,775.718994140625,829.8884887695312,3922.095703125,1263.01123046875,1585.0262451171875,317.6171875,241.5638427734375,396.6890869140625
14,15,Eb7,Eb,28.0,1169.0289306640625,5379.34375,2837.806396484375,9743.6220703125,1795.0205078125,639.3679809570312,1032.688720703125,4531.6396484375,1065.8907470703125,1208.0592041015625,6052.51904296875,1366.32958984375
15,17,F7,F,32.0,273.9473876953125,79.13639831542969,118.82735443115234,487.515380859375,288.77435302734375,297.2624816894531,80.20429229736328,65.55188751220703,99.14293670654297,258.07733154296875,79.6693344116211,76.76457214355469
16,17,Gb7,Gb,32.666666666666664,151.13467407226562,142.33238220214844,81.56194305419922,215.58575439453125,298.9637451171875,207.54144287109375,135.58319091796875,49.4367561340332,37.76737594604492,78.20221710205078,111.6735610961914,52.039398193359375
17,17,F7,F,33.333333333333336,2859.234619140625,1818.337890625,1066.2430419921875,4482.29931640625,3844.190673828125,2744.441650390625,1005.326416015625,572.0536499023438,727.329345703125,2167.05322265625,893.9851684570312,662.3218994140625
18,19,Bb7,Bb,36.0,1201.557373046875,2057.928955078125,9260.6025390625,2446.093505859375,3184.1513671875,15222.3046875,3333.407470703125,1108.0169677734375,5427.9697265625,4062.843994140625,11054.7255859375,1719.99560546875
