,Measure,AfterYou'veGone,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ebmaj7,Eb,0.0,220.2935333251953,444.8158264160156,2822.129638671875,3441.475830078125,638.6475219726562,282.09149169921875,561.736083984375,3351.5322265625,650.9169311523438,809.308349609375,4682.80419921875,849.8370971679688
1,2,Ebmin7,Eb,2.0,113.88573455810547,551.7867431640625,308.4389343261719,888.4920043945312,175.31109619140625,238.77630615234375,1039.9063720703125,215.7528533935547,53.57740783691406,104.78289794921875,567.5645141601562,103.89525604248047
2,2,Ab9,Ab,3.0,593.419189453125,240.44029235839844,435.2482604980469,859.5187377929688,262.7988586425781,296.1449279785156,1224.7344970703125,460.2640380859375,515.5428466796875,276.3932189941406,581.348876953125,217.16957092285156
3,3,Bbmaj7,Bb,4.0,531.2289428710938,977.562255859375,4818.421875,1717.0018310546875,928.351318359375,2918.102294921875,1181.697998046875,631.8714599609375,424.6220703125,1751.1171875,2140.6748046875,425.2253723144531
4,4,Dmin7,D,6.0,478.9430847167969,219.71946716308594,514.4193725585938,137.68846130371094,277.03131103515625,1099.7978515625,302.1897888183594,158.1039581298828,105.80399322509766,422.380859375,91.81098175048828,90.97418975830078
5,4,G9,G,7.0,47.10342025756836,39.149932861328125,77.040283203125,43.508907318115234,122.15432739257812,308.7960510253906,98.50016021728516,210.2283935546875,279.2086486816406,1661.2239990234375,267.4973449707031,50.525150299072266
6,5,C9,C,8.0,1743.8980712890625,733.9231567382812,2899.3359375,1285.978271484375,3993.401123046875,1683.5341796875,908.1423950195312,4300.84765625,933.9114379882812,755.1509399414062,1813.74072265625,1267.7921142578125
7,6,F9,F,10.0,2509.480224609375,601.343017578125,983.08984375,3388.939208984375,1871.4638671875,1530.6624755859375,871.9113159179688,4246.34521484375,1113.85791015625,1700.11572265625,473.2339782714844,725.3242797851562
8,7,Bbmaj7,Bb,12.0,274.156494140625,517.8784790039062,1957.56689453125,601.9208374023438,797.62548828125,2988.427734375,775.1177368164062,517.872802734375,373.9156799316406,1714.66796875,2046.60595703125,378.8203430175781
9,8,Bb7,Bb,14.0,288.9586486816406,485.4639587402344,2375.35888671875,588.50830078125,672.6788330078125,3290.54296875,867.5845336914062,312.3458557128906,1448.1708984375,1306.0045166015625,4948.31298828125,827.1253051757812
10,9,Ebmaj7,Eb,16.0,226.57716369628906,493.1457214355469,3114.703125,3477.7177734375,651.7427368164062,345.2644348144531,572.6739501953125,3309.560546875,663.9923095703125,822.7227172851562,4650.46142578125,847.3837280273438
11,10,Ebmin6,Eb,18.0,559.4096069335938,144.206298828125,256.2409973144531,888.6195678710938,180.9672393798828,232.81219482421875,1046.7274169921875,231.3997039794922,44.99234390258789,103.59639739990234,574.9004516601562,162.26019287109375
12,10,Ab9,Ab,19.0,534.6066284179688,178.80589294433594,434.0251159667969,858.2671508789062,262.7732238769531,317.29376220703125,1230.14208984375,462.7658996582031,518.834716796875,279.6480407714844,584.407958984375,203.60609436035156
13,11,Bbmaj7,Bb,20.0,664.2333984375,1001.8974609375,4846.77294921875,1721.234375,929.0381469726562,2901.481689453125,1175.894287109375,631.5907592773438,428.01416015625,1759.06396484375,2139.319580078125,444.9705810546875
14,12,Dmin7,D,22.0,482.0461730957031,220.14012145996094,514.3595581054688,137.66720581054688,278.17938232421875,1100.9019775390625,302.30743408203125,158.46942138671875,106.35576629638672,422.2794189453125,91.83148193359375,91.3175048828125
15,12,G9,G,23.0,198.33726501464844,191.60296630859375,435.7695007324219,243.7896728515625,358.6266174316406,1079.162841796875,494.4644470214844,643.989990234375,387.974609375,1709.14794921875,401.5269775390625,587.2766723632812
16,13,Cmin7,C,24.0,478.9707946777344,157.48158264160156,417.3818359375,1100.6002197265625,356.7547302246094,285.5372619628906,147.9978790283203,575.6895751953125,133.4991455078125,141.92724609375,579.8792724609375,285.8753356933594
17,13,G7,G,25.0,82.64002227783203,57.71083068847656,219.1604766845703,211.1332244873047,39.33980941772461,37.639076232910156,36.09035873413086,44.19163131713867,14.419146537780762,84.71537017822266,51.81449890136719,33.52479934692383
18,14,Cmin7,C,26.0,949.4515991210938,253.3712615966797,402.1427917480469,967.3660278320312,392.732177734375,508.69970703125,251.3759765625,748.2999877929688,159.3379669189453,157.73451232910156,633.8524169921875,523.013916015625
19,14,Ebmin7,Eb,27.0,188.6655731201172,569.1749267578125,437.2884826660156,1024.0220947265625,207.35569763183594,324.84344482421875,1063.9627685546875,250.03431701660156,60.1855354309082,111.93787384033203,555.3178100585938,143.44442749023438
20,15,Bbmaj7,Bb,28.0,271.93865966796875,798.5126953125,2074.702392578125,1260.2847900390625,851.6232299804688,3054.489501953125,1128.372802734375,240.00267028808594,425.3562316894531,1762.80517578125,2133.73828125,405.265625
21,16,Gmin7,G,30.0,351.4463806152344,1186.6405029296875,1453.3924560546875,366.702392578125,667.2925415039062,3091.790283203125,1133.4051513671875,1624.9093017578125,584.53662109375,1946.5946044921875,4858.66650390625,841.1793823242188
22,17,Bbmaj7,Bb,32.0,225.29718017578125,620.6200561523438,2377.011962890625,605.7369384765625,769.6651000976562,3270.9248046875,1015.48095703125,1862.267578125,608.8424682617188,1847.7098388671875,2577.012451171875,466.5899963378906
23,18,Cmin7,C,34.0,507.9726867675781,140.466796875,287.9464416503906,973.103515625,301.4197082519531,85.15491485595703,96.09076690673828,442.3472595214844,100.4778060913086,114.55916595458984,559.1576538085938,238.33795166015625
24,18,F7,F,35.0,964.6361694335938,212.6944580078125,280.14056396484375,1123.7889404296875,579.6859130859375,447.0519104003906,122.69223022460938,268.1197204589844,241.2687530517578,674.8194580078125,213.73667907714844,207.70745849609375
25,19,Bbmaj7,Bb,36.0,565.1843872070312,737.1421508789062,2839.8154296875,1363.5301513671875,1075.9549560546875,3607.60546875,842.4542846679688,205.53277587890625,328.7254333496094,2194.387451171875,4100.14453125,722.5709838867188
26,20,Bb7,Bb,38.0,440.1694641113281,771.2604370117188,3673.5634765625,897.9935913085938,1152.2061767578125,5643.634765625,1399.5787353515625,500.046142578125,2501.15380859375,1595.2869873046875,3576.080322265625,621.0377197265625
