,Measure,Whilemyladysleeps,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,C7,C,2.0,58154.23046875,11112.2509765625,5473.43212890625,4987.404296875,19108.046875,6999.20166015625,19259.322265625,120042.9609375,19149.26953125,9036.931640625,40924.06640625,20194.798828125
1,11,C7,C,20.0,127.951904296875,158.17063903808594,77.86661529541016,77.983642578125,188.0671844482422,405.6998291015625,143.60569763183594,573.0220336914062,181.69398498535156,53.846553802490234,55.57425308227539,51.75664138793945
2,11,Dbmaj7,Db,21.0,216.0763702392578,103.5638427734375,31.67578887939453,59.74760818481445,324.6002502441406,197.7619171142578,178.33888244628906,222.6715850830078,96.60567474365234,35.321014404296875,86.27237701416016,63.85146713256836
3,12,C7,C,22.0,162.01637268066406,110.69493865966797,67.99610900878906,64.24966430664062,179.9578399658203,340.5214538574219,94.68038940429688,130.20901489257812,413.9298400878906,111.5045394897461,230.15443420410156,103.767822265625
4,12,Dbmaj7,Db,23.0,303.7432861328125,117.04138946533203,342.2670593261719,119.82684326171875,387.4676513671875,158.83702087402344,88.78546142578125,383.1910400390625,139.18812561035156,52.0466423034668,69.61734771728516,153.3367462158203
5,13,Cmaj7,C,24.0,1036.3189697265625,384.2318115234375,849.4570922851562,234.0235595703125,513.3006591796875,1713.4150390625,425.7273254394531,331.6858825683594,179.10935974121094,591.5995483398438,152.26573181152344,214.06427001953125
6,14,Dmin7,D,26.0,553.3152465820312,139.40272521972656,302.4633483886719,107.46905517578125,213.8564910888672,415.5278625488281,135.7300567626953,194.7001190185547,78.52198791503906,95.465087890625,65.6072769165039,285.7660827636719
7,14,G7,G,27.0,62.53181838989258,16.990949630737305,39.8001823425293,53.764888763427734,230.3422088623047,109.83472442626953,42.63539123535156,112.32428741455078,34.34214401245117,14.996711730957031,32.73053741455078,91.38033294677734
8,15,Cmaj7,C,28.0,988.8057250976562,386.4231262207031,894.7178344726562,243.30186462402344,543.9443969726562,1686.9732666015625,407.7340393066406,119.80290985107422,135.48326110839844,594.7177124023438,140.3505859375,193.50535583496094
9,16,Dmin7,D,30.0,92.0780258178711,47.14675521850586,160.0859375,70.95346069335938,142.76817321777344,306.01885986328125,219.7648162841797,1216.8170166015625,204.62266540527344,23.91729736328125,72.19144439697266,176.08494567871094
