,Measure,FlyMeToTheMoon,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Amin7,A,0.0,707.2053833007812,134.94961547851562,41.976863861083984,92.26528930664062,322.5909729003906,66.0112533569336,55.77450180053711,341.7197265625,130.92884826660156,168.6737518310547,51.948760986328125,139.4288787841797
1,2,Dmin7,D,2.0,1444.75439453125,709.56298828125,2012.865234375,492.790771484375,1098.17919921875,4768.68017578125,1247.01806640625,2032.76611328125,548.0064086914062,1275.422607421875,256.7275085449219,281.9311218261719
2,3,G7,G,4.0,606.559814453125,366.2059020996094,1080.548095703125,666.5004272460938,782.9922485351562,3677.8583984375,1574.408203125,1706.748046875,353.9891052246094,292.7959289550781,568.9363403320312,2850.107666015625
3,4,Cmaj7,C,6.0,625.7390747070312,137.7666015625,93.46865844726562,293.8587341308594,1362.9425048828125,284.3937683105469,114.35366821289062,433.71142578125,99.94971466064453,51.6218147277832,109.636962890625,673.986083984375
4,4,C7,C,7.0,524.9163208007812,128.45706176757812,120.09923553466797,256.976318359375,1056.1102294921875,223.9514617919922,109.08940887451172,500.984619140625,127.33989715576172,110.51924896240234,512.5303344726562,263.12896728515625
5,5,Fmaj7,F,8.0,2066.537841796875,448.2289733886719,183.94219970703125,676.7301635742188,3446.088623046875,1698.8687744140625,330.3109130859375,513.8499145507812,1063.25048828125,4981.62255859375,950.850341796875,545.8515014648438
6,6,Bminor-seventh(b5),B,10.0,432.6728820800781,909.1936645507812,3749.864013671875,1058.1334228515625,564.4246826171875,823.1040649414062,4041.4326171875,707.387939453125,302.0303955078125,1306.4505615234375,622.7470092773438,1873.7574462890625
7,7,E7,E,12.0,479.9337463378906,419.6336669921875,2453.68505859375,1220.8614501953125,3456.7529296875,610.1317138671875,245.6083984375,533.4204711914062,3415.610107421875,858.8416137695312,386.1413269042969,1937.6170654296875
8,8,Amin7,A,14.0,1249.8651123046875,308.5714111328125,330.1346740722656,256.2117614746094,874.4904174804688,177.43882751464844,108.8231201171875,498.3628845214844,259.63421630859375,520.3982543945312,139.42428588867188,318.1179504394531
9,8,A7,A,15.0,311.2413024902344,580.110107421875,158.01747131347656,203.08473205566406,750.8693237304688,237.67283630371094,132.4545135498047,605.7247314453125,329.668212890625,499.331787109375,116.51558685302734,113.5252914428711
10,9,Dmin7,D,16.0,2406.64208984375,1516.5364990234375,4787.296875,896.5172729492188,1528.0341796875,3788.049560546875,863.7785034179688,334.3828430175781,575.6234741210938,3074.512451171875,553.7811889648438,435.262939453125
11,10,G7,G,18.0,600.80224609375,367.7041015625,1037.9910888671875,584.3573608398438,793.4224243164062,3664.40625,1357.6427001953125,1675.2755126953125,373.5122985839844,444.09423828125,445.6259765625,1933.4427490234375
12,11,Cmaj7,C,20.0,2118.078857421875,435.0584716796875,426.9422302246094,782.541259765625,3716.588134765625,785.2326049804688,730.9645385742188,4402.45947265625,809.6267700195312,168.91473388671875,367.2776184082031,2368.899658203125
