,Measure,SingASongOfSong,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,E,E,0.0,1597.6978759765625,307.00128173828125,511.4855651855469,3668.731201171875,15235.2548828125,2546.715087890625,782.01806640625,757.9168090820312,3849.185546875,811.4838256835938,1570.1900634765625,8965.2900390625
1,3,Cmaj7,C,4.0,21084.708984375,3467.201416015625,876.470947265625,2660.147216796875,13417.80859375,2284.2939453125,1415.8873291015625,7325.16748046875,1613.8798828125,633.8875732421875,1320.8785400390625,9037.1728515625
2,5,D7,D,8.0,8235.662109375,5247.67431640625,20787.27734375,3491.234619140625,1057.0919189453125,2289.300537109375,12007.9365234375,2196.423828125,1079.9552001953125,5692.400390625,1283.417236328125,1450.1094970703125
3,7,E,E,12.0,1603.1256103515625,321.5296325683594,562.9558715820312,3662.9501953125,15221.68359375,2563.76806640625,865.5469360351562,775.6071166992188,3852.9482421875,827.4189453125,1572.6326904296875,8965.8115234375
4,9,E,E,16.0,1036.3883056640625,248.8434295654297,305.0720520019531,2033.5601806640625,9988.412109375,1717.2657470703125,1156.6114501953125,925.5748901367188,4790.69677734375,1151.0428466796875,992.693115234375,5226.724609375
5,11,Cmaj7,C,20.0,6125.322265625,1064.7347412109375,451.6178894042969,2052.8974609375,10920.8486328125,1833.95849609375,876.7405395507812,4309.25927734375,1033.8116455078125,364.5559387207031,940.0971069335938,6340.556640625
6,13,D7,D,24.0,7918.69873046875,2513.625244140625,5461.20751953125,1174.30224609375,1413.4326171875,2153.99853515625,11204.0546875,2260.558349609375,808.5927734375,3544.197265625,1030.1856689453125,1338.7525634765625
7,15,E,E,28.0,1640.2115478515625,320.8431701660156,496.9439392089844,3329.376708984375,17485.7109375,2797.535888671875,946.189453125,1041.6783447265625,5974.11865234375,1107.4925537109375,1408.07958984375,8741.2333984375
8,18,E,E,34.0,1016.6408081054688,191.98046875,321.4325866699219,2060.395751953125,10454.1142578125,1748.72314453125,496.8769836425781,645.4251098632812,3763.161865234375,701.628662109375,851.9513549804688,5283.3837890625
9,20,Cmaj7,C,38.0,8646.265625,1464.9931640625,527.4237670898438,2127.587158203125,10973.7841796875,1847.17919921875,931.2064819335938,4861.06396484375,1166.2982177734375,397.6921691894531,969.970458984375,6722.73388671875
10,22,D7,D,42.0,8223.29296875,2808.712158203125,7542.384765625,1407.77587890625,673.0003051757812,1925.9376220703125,10619.478515625,1885.0023193359375,722.8383178710938,4125.85791015625,975.947998046875,1297.5333251953125
11,24,E,E,46.0,1669.6494140625,328.3350830078125,640.0734252929688,3510.895751953125,18270.845703125,2997.560302734375,943.474853515625,1071.9337158203125,6209.37744140625,1189.1373291015625,1424.77392578125,8846.2080078125
12,27,E,E,52.0,1037.556884765625,249.17787170410156,301.5704650878906,2027.7152099609375,9979.38671875,1715.3172607421875,1151.395751953125,925.7479858398438,4793.91552734375,1147.8651123046875,993.810546875,5248.89794921875
13,29,Cmaj7,C,56.0,6129.224609375,1066.7735595703125,452.320068359375,2052.7744140625,10920.07421875,1832.970703125,873.9586791992188,4310.076171875,1034.0302734375,364.5015563964844,940.0741577148438,6340.86962890625
14,31,D7,D,60.0,7918.7890625,2513.88720703125,5462.23583984375,1174.507080078125,1413.5465087890625,2155.129150390625,11209.8291015625,2261.400634765625,808.9325561523438,3546.0791015625,1030.4334716796875,1338.752685546875
15,33,E,E,64.0,1000.5512084960938,200.2788543701172,297.33746337890625,1948.0789794921875,9938.29296875,1627.78369140625,563.2153930664062,633.706787109375,3606.013671875,670.2554321289062,847.6820678710938,5238.0947265625
16,35,C#min11,C#,68.0,574.8474731445312,747.1749877929688,860.9851684570312,3421.689453125,2486.5595703125,1149.460205078125,4020.978515625,1243.14501953125,1989.2685546875,491.6336669921875,650.0385131835938,2346.661376953125
17,36,Bmaj7/D#,B,70.0,993.2689819335938,569.8046264648438,2091.040771484375,9865.5458984375,1882.7781982421875,2074.14990234375,11048.6455078125,1910.6136474609375,344.5365295410156,1010.5771484375,6185.24951171875,6097.92578125
18,38,C#min7,C#,74.0,691.1171875,1697.1331787109375,427.59814453125,890.6244506835938,3654.462890625,909.3486328125,246.3754425048828,267.543212890625,1409.1300048828125,296.5441589355469,321.5769958496094,1753.0679931640625
19,39,Bmajor(09),B,76.0,2134.322021484375,6303.7421875,2718.691162109375,10043.12890625,1786.80908203125,1955.2591552734375,11109.9775390625,1890.9366455078125,364.0621337890625,309.84393310546875,1739.0740966796875,7835.265625
20,41,C#min11,C#,80.0,569.9137573242188,766.37451171875,864.0370483398438,3462.4423828125,2502.249755859375,1173.4224853515625,4136.17626953125,1259.673095703125,1975.9964599609375,489.2984924316406,643.7971801757812,2297.666748046875
