,Measure,Blues for PK,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Bb7,Bb,2.0,395.759033203125,1759.5623779296875,1206.2264404296875,2278.960205078125,948.2092895507812,2972.431396484375,694.4631958007812,451.9001770019531,980.8678588867188,5386.56787109375,35688.14453125,5243.8095703125
1,6,Eb9,Eb,10.0,177.3008575439453,211.16786193847656,195.48095703125,387.3829650878906,344.2492980957031,1623.53173828125,323.2869567871094,457.3018798828125,2497.159912109375,1728.5660400390625,8458.6318359375,1262.2257080078125
2,8,Bb7,Bb,14.0,89.81863403320312,132.0802764892578,560.8764038085938,378.8985290527344,183.23597717285156,539.3740234375,134.58778381347656,832.1929321289062,5904.73291015625,1042.391357421875,473.6092224121094,96.64044952392578
3,10,F9,F,18.0,1234.1331787109375,2087.58740234375,1301.4951171875,1545.279296875,911.3600463867188,3334.795654296875,922.947509765625,1766.3154296875,549.0794067382812,638.8965454101562,1935.6099853515625,531.5458374023438
4,11,Eb9,Eb,20.0,935.0697631835938,610.547607421875,2210.743896484375,1092.1031494140625,739.597900390625,2994.238525390625,819.717529296875,398.3785400390625,1368.8631591796875,1011.171142578125,2748.341796875,568.3110961914062
5,12,Bb7,Bb,22.0,64.08138275146484,168.2423095703125,316.7140197753906,175.15733337402344,171.4316864013672,870.484130859375,125.69649505615234,25.08558464050293,57.2436408996582,37.24173355102539,30.749229431152344,16.187379837036133
6,15,Bb7,Bb,28.0,227.02134704589844,424.4684753417969,1971.6134033203125,476.87548828125,625.918701171875,2918.747802734375,767.3181762695312,284.1471862792969,1417.5567626953125,899.6995239257812,1956.1043701171875,350.81201171875
7,16,Bb7,Bb,30.0,225.44476318359375,422.9156494140625,1973.6407470703125,474.7199401855469,628.509033203125,2916.428466796875,767.1314086914062,284.1028137207031,1414.5279541015625,897.6906127929688,1953.8583984375,350.4985046386719
8,17,Bb7,Bb,32.0,226.05015563964844,422.7784729003906,1968.9478759765625,474.8092956542969,626.8233032226562,2916.399658203125,767.4575805664062,284.6902770996094,1417.8553466796875,898.096435546875,1952.52978515625,350.4023132324219
9,18,Bb7,Bb,34.0,486.8446350097656,1893.8916015625,1069.206787109375,1323.858154296875,840.673828125,3158.966064453125,902.7335815429688,1725.9403076171875,557.2460327148438,631.2210083007812,1929.37744140625,404.4841003417969
10,19,Eb9,Eb,36.0,481.3966369628906,1909.9210205078125,1252.992431640625,1368.3984375,834.9749145507812,3153.359375,900.013671875,1724.2332763671875,560.190185546875,628.4048461914062,1928.3804931640625,402.585205078125
11,20,Eb9,Eb,38.0,236.40480041503906,459.9728088378906,2083.879150390625,566.8731079101562,640.21435546875,2922.882568359375,747.4989624023438,277.3500671386719,1375.486328125,877.926025390625,1920.9613037109375,350.6777038574219
12,21,Bb7,Bb,40.0,227.93017578125,434.9341125488281,2001.77978515625,484.21533203125,627.6990356445312,2918.132568359375,767.7406616210938,284.4734802246094,1423.1434326171875,901.5570678710938,1972.01904296875,354.4018249511719
13,22,Bb7,Bb,42.0,2085.7421875,511.5721130371094,781.2310180664062,3378.129638671875,1758.0860595703125,1733.0408935546875,531.900634765625,1581.9171142578125,689.75146484375,1757.341796875,479.4139099121094,608.5653076171875
14,23,F9,F,44.0,535.93701171875,1945.8984375,1295.793701171875,1477.6187744140625,897.552001953125,3375.787109375,911.6537475585938,1771.17236328125,568.4517211914062,637.7050170898438,1932.4730224609375,425.1787414550781
15,24,Eb9,Eb,46.0,244.66029357910156,460.3723449707031,2081.83251953125,590.397216796875,625.9035034179688,2903.889892578125,747.3922729492188,279.40130615234375,1380.341796875,880.9307250976562,1920.7020263671875,352.3304748535156
16,25,Bb7,Bb,48.0,579.4356079101562,145.8441162109375,238.22496032714844,1096.78955078125,559.3651123046875,465.1763916015625,119.8172607421875,157.8805389404297,196.166015625,543.4999389648438,197.8026580810547,156.7179412841797
17,25,Cmin7,C,49.0,249.2041015625,373.738037109375,616.3949584960938,510.3998107910156,352.2672119140625,1127.6925048828125,317.2702941894531,258.6894226074219,479.4696960449219,310.2629089355469,703.3593139648438,197.81964111328125
18,26,F7,F,50.0,5.186862945556641,5.41548490524292,4.7930216789245605,11.078369140625,12.255248069763184,39.82387161254883,9.509324073791504,2.1554558277130127,4.188507556915283,3.913158416748047,2.914130210876465,1.6680899858474731
19,26,Eb9,Eb,50.66666666666666,0.011916724033653736,0.025844881311058998,0.06476954370737076,0.10557431727647781,0.02881682850420475,0.022831080481410027,0.015614171512424946,0.012942872010171413,0.012835963629186153,0.026569737121462822,0.05258164927363396,0.012088694609701633
20,26,Bb7,Bb,51.33333333333334,9.003419876307817e-08,4.4990306946601777e-07,4.19493062508991e-08,2.7853930273380456e-10,1.7589178724630727e-10,1.6228908494841932e-10,2.9821387026451873e-10,4.069570636033859e-08,2.184042955377663e-07,2.177736213582193e-08,2.3814208938155446e-10,5.728953422767802e-10
