,Measure,Selma,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,G7,G,2.0,177.7735137939453,124.15896606445312,543.275390625,176.9062042236328,390.4222412109375,311.1376647949219,95.16486358642578,143.44883728027344,50.37082290649414,88.52838134765625,184.85845947265625,201.36582946777344
1,3,C9,C,4.0,266.8054504394531,93.01354217529297,136.8773651123047,96.1411361694336,395.7121276855469,457.3975830078125,204.47315979003906,95.52230072021484,74.0804443359375,191.09654235839844,81.09844207763672,94.27506256103516
2,4,D7(#9),D,6.0,120.73580932617188,85.36587524414062,301.7694396972656,135.19703674316406,192.16595458984375,603.6372680664062,616.7490844726562,2494.353759765625,403.5882263183594,64.60633850097656,68.47711944580078,207.4442901611328
3,5,G7,G,8.0,203.82322692871094,104.60303497314453,341.5845947265625,135.1390838623047,221.38279724121094,610.9620971679688,658.3661499023438,3103.25390625,571.5414428710938,314.838134765625,668.1708984375,263.8209533691406
4,6,D7(#9),D,10.0,126.2518081665039,94.25127410888672,353.435791015625,136.07354736328125,166.1835479736328,600.2650146484375,614.5582275390625,2440.831298828125,396.9666442871094,64.12813568115234,60.152652740478516,219.10182189941406
5,7,G7,G,12.0,83.9881820678711,136.1648712158203,668.1151733398438,179.332275390625,158.27061462402344,629.7310791015625,263.1861877441406,163.4252471923828,60.84737014770508,231.76275634765625,118.96305084228516,286.0611877441406
6,8,G7,G,14.0,527.2702026367188,182.6829376220703,535.8142700195312,343.1448974609375,1141.7322998046875,289.0450439453125,111.08220672607422,431.5153503417969,132.3452911376953,130.30587768554688,499.9565734863281,306.2362365722656
7,8,C9,C,15.0,422.4053649902344,84.1041488647461,64.25562286376953,92.6756820678711,429.8251647949219,257.1439208984375,64.8260498046875,179.91949462890625,86.57138061523438,153.02113342285156,256.0859375,111.94414520263672
8,9,Fmaj7,F,16.0,143.0165557861328,277.2986755371094,256.36053466796875,189.9300079345703,509.9314880371094,159.84983825683594,123.89739227294922,604.5939331054688,194.31056213378906,259.60797119140625,156.89662170410156,176.81471252441406
9,9,E7(#9),E,16.666666666666668,214.74485778808594,116.96414184570312,101.82080078125,102.3450927734375,403.6984558105469,559.552978515625,253.2491912841797,133.47677612304688,92.4124526977539,198.23646545410156,49.53861618041992,106.57341766357422
10,9,A7,A,17.333333333333332,46.1598014831543,39.06991195678711,119.53451538085938,40.61270523071289,92.84015655517578,162.2881622314453,67.8958969116211,28.219430923461914,15.415852546691895,14.524909973144531,9.203383445739746,21.72618293762207
11,10,D7(#9),D,18.0,132.6265106201172,129.893798828125,311.5260314941406,154.38099670410156,264.4092712402344,624.2764892578125,609.6349487304688,2445.50390625,400.7366027832031,66.40473175048828,71.79264068603516,227.9248504638672
12,11,G7,G,20.0,206.95030212402344,118.57549285888672,344.3747863769531,139.68399047851562,241.984619140625,615.2109985351562,658.4456176757812,3132.091064453125,578.4656982421875,322.9992370605469,729.453125,269.9119567871094
