,Measure,IDWNOBY,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Emin7,E,1.5,273.06011962890625,130.855712890625,643.8143310546875,211.582763671875,431.0731201171875,116.53478240966797,82.7680435180664,135.42369079589844,63.51164627075195,66.71917724609375,234.78663635253906,1548.28466796875
1,3,A7,A,3.0,270.6029968261719,293.9653015136719,783.302001953125,221.97911071777344,390.2474060058594,108.2290267944336,81.62139129638672,107.9053726196289,70.15784454345703,86.95288848876953,216.5832061767578,1383.1839599609375
2,4,Emin7,E,4.5,276.0243835449219,139.2823944091797,646.4122924804688,213.24127197265625,443.0207214355469,121.4153823852539,83.52545928955078,135.84471130371094,64.97748565673828,67.51174926757812,238.3871307373047,1567.5086669921875
3,5,A7,A,6.0,270.5631408691406,293.8226318359375,783.26806640625,221.9704132080078,390.31494140625,108.2643814086914,81.61530303955078,107.85990142822266,70.1445083618164,86.9674072265625,216.5752716064453,1383.1646728515625
4,6,Emin7,E,7.5,276.02496337890625,139.2838897705078,646.4131469726562,213.23992919921875,443.0165100097656,121.41494750976562,83.52497863769531,135.84461975097656,64.97738647460938,67.51136016845703,238.38726806640625,1567.5086669921875
5,7,A7,A,9.0,803.56103515625,1018.48291015625,3533.927001953125,818.48681640625,1381.2435302734375,325.5482177734375,226.12351989746094,281.0229797363281,219.89512634277344,245.15733337402344,645.8024291992188,4267.83349609375
6,9,Emin7,E,12.0,53.807464599609375,36.74169921875,56.6828498840332,91.61581420898438,372.83837890625,70.80045318603516,26.600013732910156,101.93627166748047,32.484378814697266,39.2369499206543,38.73379135131836,200.20050048828125
7,10,A7,A,13.5,41.75010299682617,171.78016662597656,158.7494659423828,105.85363006591797,363.9505615234375,75.51961517333984,33.32880401611328,85.7384033203125,35.2821044921875,73.7361068725586,20.630151748657227,29.128799438476562
8,11,Emin7,E,15.0,21.89812660217285,37.967403411865234,58.65205764770508,89.8244400024414,379.9686584472656,73.17865753173828,20.39620590209961,88.75655364990234,27.02118492126465,17.63723373413086,18.86805534362793,79.83721923828125
9,12,A7,A,16.5,41.93465042114258,155.9824676513672,56.53082275390625,104.54093170166016,479.4915466308594,96.98828125,21.489328384399414,95.72134399414062,51.73490524291992,27.2534236907959,9.108298301696777,32.38296890258789
10,13,Emin7,E,18.0,54.17573165893555,41.24800109863281,58.571231842041016,92.95947265625,381.7191467285156,74.25719451904297,27.132476806640625,102.24359130859375,33.566123962402344,39.53032302856445,39.409461975097656,199.44764709472656
11,14,A7,A,19.5,41.71194076538086,171.6033477783203,158.70497131347656,105.86273193359375,364.0550537109375,75.5521469116211,33.327030181884766,85.70673370361328,35.273345947265625,73.7576675415039,20.63098907470703,29.114442825317383
12,15,Emin7,E,21.0,21.897926330566406,37.96908187866211,58.65251159667969,89.82408905029297,379.9648132324219,73.17830657958984,20.396493911743164,88.7568359375,27.021215438842773,17.63736915588379,18.868391036987305,79.83638763427734
13,16,A7,A,22.5,41.93478012084961,155.9822235107422,56.53129196166992,104.5401382446289,479.489990234375,96.98797607421875,21.488929748535156,95.7196273803711,51.734615325927734,27.25337791442871,9.108168601989746,32.38328170776367
14,17,Emin7,E,24.0,54.84364318847656,31.751985549926758,62.4935302734375,93.77023315429688,370.1962585449219,92.85916137695312,36.704410552978516,99.0169448852539,27.70013427734375,31.890920639038086,41.222896575927734,212.2235107421875
15,18,G7,G,25.5,51.1644172668457,87.74575805664062,144.79986572265625,90.69197845458984,484.1619873046875,523.3839721679688,83.13742065429688,51.273502349853516,61.94304275512695,36.985103607177734,39.781715393066406,206.08848571777344
16,19,A7,A,27.0,47.74211502075195,169.18365478515625,131.2870330810547,130.4962158203125,679.81396484375,202.225341796875,47.5064811706543,160.3851318359375,102.99517822265625,66.6100845336914,30.706815719604492,54.92924499511719
17,20,Bb7,Bb,28.5,29.907485961914062,41.20621871948242,135.2038116455078,66.94026947021484,281.0260925292969,471.2917785644531,72.17150115966797,33.1075553894043,76.4371566772461,31.60581398010254,34.506019592285156,36.35213088989258
18,21,C9,C,30.0,219.7749786376953,61.73154830932617,57.957637786865234,91.96292114257812,380.5366516113281,126.2916030883789,41.982765197753906,96.22818756103516,33.71212387084961,45.10081481933594,82.20787811279297,171.49951171875
19,22,F#min7,F#,31.5,57.245357513427734,95.73387908935547,92.7060775756836,389.1151123046875,171.00474548339844,111.09747314453125,447.28955078125,88.94744110107422,40.07337951660156,132.0112762451172,73.23047637939453,214.73057556152344
20,22,B7,B,32.25,48.55126953125,58.53010177612305,257.1941833496094,236.93157958984375,411.04296875,108.87191009521484,169.03782653808594,193.23118591308594,52.36448669433594,35.7759895324707,44.908809661865234,191.38829040527344
21,23,Emin7,E,33.0,31.71816062927246,27.188072204589844,77.55699920654297,216.97901916503906,401.6809997558594,89.79859161376953,67.76652526855469,88.93314361572266,25.28717803955078,22.685041427612305,27.069387435913086,109.3842544555664
22,24,Emin7,E,34.5,28.32671546936035,23.464523315429688,70.63251495361328,133.03628540039062,510.3515625,113.05622100830078,44.96586990356445,92.96286010742188,42.19362258911133,17.70085906982422,19.92474937438965,97.48412322998047
23,25,Emin7,E,36.0,21.194093704223633,29.971778869628906,52.68791198730469,92.34586334228516,368.6454162597656,78.71046447753906,31.721128463745117,89.31534576416016,26.301513671875,18.316682815551758,16.02469825744629,66.1014404296875
24,26,A7,A,37.5,36.93241882324219,152.36618041992188,50.84193420410156,83.47502899169922,345.1230773925781,69.83921813964844,27.55756950378418,84.57030487060547,27.58269500732422,19.506250381469727,8.10521411895752,22.65399169921875
25,27,Emin7,E,39.0,20.9803466796875,36.67756652832031,56.09172058105469,87.32674407958984,380.5163269042969,75.87476348876953,22.926599502563477,89.56829071044922,27.11585235595703,18.3078670501709,17.14727210998535,71.21361541748047
26,28,A7,A,40.5,37.42972183227539,152.19137573242188,47.75020980834961,84.23990631103516,347.5781555175781,66.01870727539062,20.296222686767578,83.83332061767578,26.99226188659668,20.05732536315918,7.757124423980713,23.354276657104492
27,29,Emin7,E,42.0,20.703569412231445,37.20809555053711,57.41799545288086,90.10663604736328,381.5818176269531,73.46975708007812,21.12315559387207,89.57919311523438,26.945459365844727,17.50391960144043,17.769987106323242,73.60397338867188
28,30,A7,A,43.5,37.306819915771484,152.2342071533203,48.23190689086914,86.09503936767578,347.9915466308594,66.1733627319336,19.09132957458496,83.69615936279297,27.054048538208008,20.20853614807129,7.721520900726318,24.544679641723633
29,31,Emin7,E,45.0,21.49700164794922,37.66124725341797,58.055904388427734,90.88837432861328,380.3752746582031,72.96971893310547,20.48147964477539,88.77800750732422,26.9644775390625,17.56666374206543,18.42337417602539,77.57959747314453
30,32,A7,A,46.5,36.68507766723633,150.95738220214844,35.907588958740234,82.72594451904297,348.260986328125,65.81107330322266,18.32985496520996,83.49590301513672,26.650686264038086,19.294599533081055,7.176982402801514,24.540618896484375
31,33,Emin,E,48.0,21.067684173583984,23.39400291442871,21.173425674438477,84.78497314453125,370.8262634277344,92.68450927734375,30.325056076049805,83.43273162841797,21.8328914642334,17.996164321899414,22.74593162536621,90.10965728759766
32,34,G9,G,49.5,37.96990203857422,48.81203079223633,112.89945220947266,37.72199249267578,109.15166473388672,435.9942626953125,79.45374298095703,48.21101760864258,22.367002487182617,60.05986404418945,43.97311782836914,187.5631866455078
33,35,A7,A,51.0,35.30587387084961,157.34140014648438,74.35906219482422,84.27025604248047,334.2265319824219,122.54592895507812,28.972557067871094,73.69219207763672,38.225894927978516,30.13868522644043,20.88702964782715,29.65065574645996
