,Measure,Dangerous Curves A,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,G13,G,2.0,2410.18505859375,750.187744140625,1111.7843017578125,725.5785522460938,1306.6256103515625,3796.318603515625,1486.2708740234375,1923.97412109375,627.8253173828125,1320.122802734375,630.6709594726562,2254.923583984375
1,3,C7,C,4.0,1617.90380859375,349.140380859375,320.6349792480469,758.572509765625,3730.140380859375,752.6962280273438,285.0678405761719,1450.0748291015625,398.2903747558594,346.4681701660156,1705.8394775390625,788.9703979492188
2,4,G13,G,6.0,2733.197509765625,800.4608764648438,1123.0592041015625,790.2384643554688,1443.93408203125,3819.947509765625,1487.4754638671875,1891.4288330078125,605.5646362304688,1316.3966064453125,628.706298828125,2244.852294921875
3,5,C7,C,8.0,1627.6180419921875,351.3387756347656,321.8654479980469,760.5514526367188,3739.418701171875,755.067626953125,286.544677734375,1461.1510009765625,400.0121765136719,345.6156311035156,1701.2078857421875,792.442626953125
4,6,G13,G,10.0,2733.224609375,800.4622192382812,1123.0540771484375,790.2553100585938,1443.9439697265625,3819.958740234375,1487.4893798828125,1891.453125,605.5643920898438,1316.379638671875,628.7002563476562,2244.85693359375
5,7,C7,C,12.0,1627.61767578125,351.3381652832031,321.8629150390625,760.5470581054688,3739.40234375,755.0653686523438,286.5445251464844,1461.1451416015625,400.012939453125,345.6168212890625,1701.2076416015625,792.44287109375
6,8,G13,G,14.0,2733.222900390625,800.462646484375,1123.059814453125,790.2576293945312,1443.9478759765625,3819.956787109375,1487.4871826171875,1891.4552001953125,605.5663452148438,1316.3763427734375,628.7007446289062,2244.855224609375
7,9,C7,C,16.0,1627.6181640625,351.3384094238281,321.8640441894531,760.549072265625,3739.410400390625,755.0682983398438,286.5446472167969,1461.1456298828125,400.0132751464844,345.6175231933594,1701.2113037109375,792.44482421875
8,10,G13,G,18.0,2733.3349609375,800.57080078125,1123.1519775390625,790.5117797851562,1444.5848388671875,3823.459716796875,1488.4140625,1891.4637451171875,605.6395874023438,1317.24267578125,628.9219360351562,2244.7294921875
9,11,C7,C,20.0,1919.5667724609375,403.2085266113281,321.9049987792969,758.9299926757812,3751.062744140625,758.686279296875,287.6015930175781,1469.28369140625,399.5890197753906,347.9179992675781,1718.7879638671875,834.09033203125
10,12,G13,G,22.0,2746.4482421875,804.3142700195312,1136.284423828125,778.6002807617188,1428.515625,3932.880615234375,1547.89111328125,1888.9715576171875,634.6775512695312,2065.337890625,5911.51904296875,2998.110107421875
11,13,C7,C,24.0,1627.8345947265625,351.4872741699219,322.7605285644531,760.9097290039062,3739.774169921875,755.275146484375,288.8690490722656,1473.8492431640625,402.2230224609375,345.3464050292969,1699.7569580078125,792.51513671875
12,14,G13,G,26.0,2746.570556640625,804.3588256835938,1136.4647216796875,778.6546020507812,1428.8238525390625,3932.724853515625,1547.5048828125,1888.9434814453125,634.1913452148438,2070.290771484375,5953.53369140625,3004.679443359375
13,15,C7,C,28.0,1627.82958984375,351.4813232421875,322.7510681152344,760.9189453125,3739.7685546875,755.2782592773438,288.8728942871094,1473.8748779296875,402.2220458984375,345.3546447753906,1699.82373046875,792.5331420898438
14,16,G13,G,30.0,25599.6796875,6757.2578125,11434.6064453125,6204.06689453125,11651.5625,37857.71484375,14504.8603515625,33957.546875,7528.80419921875,15521.6669921875,36714.62890625,25781.384765625
15,21,C7,C,40.0,1710.2572021484375,363.9721984863281,271.40093994140625,771.791259765625,3756.452392578125,663.4879760742188,281.4813537597656,1501.1065673828125,403.2703552246094,333.5771179199219,1684.1434326171875,749.5496215820312
16,22,G13,G,42.0,2746.644287109375,802.447509765625,1125.5230712890625,772.8589477539062,1420.8037109375,3898.989013671875,1548.1639404296875,1892.6700439453125,633.2715454101562,2060.80810546875,5953.830078125,3026.521240234375
17,23,C7,C,44.0,1627.8262939453125,351.4853515625,322.74554443359375,760.912353515625,3739.781982421875,755.269287109375,288.8726806640625,1473.8841552734375,402.2301330566406,345.3630065917969,1699.83837890625,792.5171508789062
18,24,G13,G,46.0,8115.40234375,2202.567138671875,3372.426513671875,2067.648681640625,3777.284423828125,11435.5654296875,4599.42236328125,9448.7119140625,2277.665283203125,5307.94482421875,13478.4140625,8237.1376953125
