,Measure,BlueBossa,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin7,C,0.0,2424.775146484375,649.5662231445312,1520.0755615234375,4838.85986328125,1459.1361083984375,431.3267822265625,1520.3367919921875,10194.05859375,1768.7537841796875,555.6980590820312,2760.98046875,1127.436767578125
1,3,Fmin7,F,4.0,202.10069274902344,59.21274948120117,80.69918060302734,345.798828125,156.5933837890625,121.04346466064453,48.56428909301758,285.6959533691406,1627.287109375,376.0623474121094,546.6177978515625,115.7708740234375
2,4,Bb7,Bb,6.0,116.76346588134766,73.3078842163086,238.9344940185547,309.2864074707031,182.99021911621094,640.9189453125,156.76116943359375,73.81739044189453,170.7560577392578,142.25791931152344,191.0848388671875,56.497859954833984
3,5,Dmin7(b5),D,8.0,171.6730499267578,92.63427734375,233.9660186767578,98.41301727294922,153.69175720214844,619.5911254882812,148.78106689453125,33.686485290527344,68.41039276123047,152.7003631591797,43.85990905761719,34.778751373291016
4,6,G7(#5),G,10.0,150.29640197753906,75.22135925292969,181.01243591308594,101.30792999267578,144.8535919189453,627.1809692382812,213.09559631347656,149.41943359375,53.021453857421875,359.5616455078125,2102.394775390625,484.2153015136719
5,7,Cmin7,C,12.0,2463.037841796875,691.166259765625,1717.576171875,4894.59619140625,1580.1756591796875,1064.5235595703125,1500.013671875,9014.9560546875,1752.1444091796875,640.7062377929688,2865.931640625,1491.3458251953125
6,9,Ebmin7,Eb,16.0,492.0212097167969,2767.258056640625,1450.6412353515625,5024.47998046875,931.895751953125,1028.1497802734375,5131.59814453125,1038.9556884765625,269.1834716796875,487.6642150878906,2784.746826171875,538.7409057617188
7,11,Ab7,Ab,20.0,158.6811981201172,82.1685562133789,78.4631576538086,256.00360107421875,93.84232330322266,144.4844207763672,714.0250854492188,183.74371337890625,171.12522888183594,54.9885139465332,73.5660400390625,50.096649169921875
8,12,Dbmaj7,Db,22.0,4013.8232421875,3060.749267578125,758.086669921875,1403.2916259765625,1315.07861328125,5686.05712890625,1349.5762939453125,1629.9580078125,10013.6123046875,1858.3385009765625,1523.1971435546875,814.7482299804688
9,14,Dmin7(b5),D,26.0,187.56500244140625,95.49866485595703,177.7380828857422,159.51502990722656,134.25718688964844,387.1445617675781,121.1294937133789,273.8005065917969,1689.1761474609375,427.3704833984375,249.33714294433594,69.80316925048828
10,15,G7(#5),G,28.0,118.22369384765625,72.70919036865234,193.2815704345703,165.7380828857422,151.99078369140625,557.2661743164062,235.63885498046875,627.8146362304688,1495.8316650390625,313.9844665527344,262.69403076171875,210.8329315185547
11,16,Cmin7,C,30.0,161.81558227539062,69.05207061767578,188.48023986816406,320.76263427734375,140.6079559326172,257.2881774902344,88.47445678710938,175.84869384765625,43.4495735168457,46.70683670043945,192.7161102294922,199.6829833984375
12,17,Dmin7(b5),D,32.0,16.047849655151367,6.399265289306641,22.3427677154541,69.39419555664062,16.96763038635254,15.748557090759277,6.905868053436279,9.308226585388184,1.7493354082107544,3.185791015625,9.006996154785156,10.219414710998535
13,17,G7(#5),G,33.0,2222.12890625,882.8605346679688,2564.115478515625,1015.4724731445312,1252.8316650390625,6185.45947265625,1742.1026611328125,1749.12841796875,530.0571899414062,1396.8671875,647.2677001953125,2200.90966796875
