,Measure,HeHadAHat,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmin11,F,0.0,64.35713958740234,28.713272094726562,51.65970230102539,83.90972137451172,62.9937744140625,40.16423416137695,23.758779525756836,72.58402252197266,141.4746551513672,52.0826416015625,59.5805778503418,45.987247467041016
1,1,Bbmin11,Bb,0.3333333333333333,63.15494918823242,20.229703903198242,37.580413818359375,58.456790924072266,34.040653228759766,18.47405433654785,19.3428955078125,40.1135139465332,55.28266525268555,42.485652923583984,119.02474212646484,45.5378532409668
2,1,Ebmin11,Eb,0.6666666666666666,44.98151779174805,25.909414291381836,28.73834991455078,56.6529426574707,30.443452835083008,31.407739639282227,23.60652732849121,46.68367385864258,48.00028610229492,27.51230812072754,101.1225357055664,28.9906005859375
3,1,Abmin11,Ab,1.0,62.009185791015625,60.378543853759766,74.84812927246094,104.70486450195312,92.4198226928711,262.8960876464844,237.3082733154297,84.53290557861328,55.34928894042969,56.253173828125,220.2797393798828,141.75697326660156
4,1,Dbmin11,Db,1.3333333333333333,53.676727294921875,44.9626579284668,48.41568374633789,91.5292739868164,52.75040817260742,114.47894287109375,84.97859954833984,42.12825012207031,70.04744720458984,48.19435501098633,128.98609924316406,76.45983123779297
5,1,Gbmin11,Gb,1.6666666666666663,52.15597152709961,20.82740020751953,30.193374633789062,87.13348388671875,35.29175567626953,69.72589874267578,111.31842041015625,38.34639358520508,40.66874694824219,38.8436164855957,130.1566925048828,80.06968688964844
6,2,Bmin11,B,2.0,89.32931518554688,105.78559112548828,98.88488006591797,170.95306396484375,181.6027069091797,229.3370361328125,186.3871612548828,48.662628173828125,75.5489273071289,119.11212158203125,222.1730194091797,184.4803009033203
7,2,Ebmin11,Eb,2.4,42.030296325683594,57.894775390625,33.8443489074707,63.6669921875,171.9130859375,125.2906265258789,71.7396240234375,24.591970443725586,35.46726989746094,72.88956451416016,228.7997283935547,94.68421173095703
8,2,Abmin11,Ab,2.8,31.070302963256836,72.89116668701172,32.52570724487305,87.56259155273438,97.02398681640625,176.21849060058594,110.50240325927734,30.875930786132812,38.191734313964844,67.45380401611328,257.5857849121094,70.94513702392578
9,2,Dmin11,D,3.2,74.58494567871094,120.72869873046875,69.2337646484375,127.09127807617188,92.35379791259766,114.35193634033203,205.97760009765625,61.84920120239258,67.03912353515625,51.00079345703125,193.5219268798828,132.4002227783203
10,2,Gbmin11,Gb,3.6,103.71963500976562,68.91570281982422,63.72476577758789,111.4200439453125,122.0587158203125,155.05538940429688,109.62174224853516,87.3958511352539,52.28474426269531,102.20037078857422,241.8988037109375,87.0400390625
11,3,Fmin11,F,4.0,104.2613525390625,86.48242950439453,105.6824722290039,108.8966064453125,127.51041412353516,96.4276351928711,79.26419067382812,98.52484893798828,221.7572784423828,109.37992095947266,138.3975067138672,108.36145782470703
12,3,Bbmin11,Bb,4.333333333333333,61.561767578125,44.2402458190918,52.868038177490234,83.8508529663086,77.47136688232422,46.80949020385742,53.4052619934082,65.4901351928711,107.9567642211914,48.25492858886719,100.6092300415039,54.96174240112305
13,3,Ebmin11,Eb,4.666666666666667,48.5845947265625,35.26924133300781,39.09883499145508,81.65543365478516,57.50190353393555,36.67586135864258,22.06505584716797,58.79703903198242,57.3570442199707,30.50306510925293,106.6516342163086,31.18804931640625
14,3,Abmin11,Ab,5.0,61.302974700927734,57.34788131713867,68.9177017211914,115.20046997070312,113.06595611572266,264.8962097167969,240.7438507080078,83.92681884765625,54.191097259521484,56.98356628417969,222.62757873535156,147.443603515625
15,3,Dbmin11,Db,5.333333333333333,57.17533874511719,46.393985748291016,51.359832763671875,103.58507537841797,52.8657341003418,103.41259765625,92.09114837646484,47.29188537597656,71.2338638305664,46.26808547973633,127.49264526367188,81.77930450439453
16,3,Gbmin11,Gb,5.666666666666666,48.27925109863281,20.241384506225586,29.336057662963867,85.8096694946289,40.07609939575195,71.0533447265625,116.57766723632812,39.692169189453125,41.62590408325195,38.39449691772461,128.53187561035156,75.86505126953125
