,Measure,WaynesThang,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Emin7,E,0.0,4290.86962890625,4163.38232421875,20891.466796875,17759.4453125,85508.125,14620.2900390625,3854.142822265625,12890.4052734375,6330.12890625,6862.955078125,4678.87451171875,23927.2734375
1,5,Cmaj7,C,8.0,48220.78515625,9341.0009765625,9130.0849609375,7580.005859375,33995.59375,6115.96923828125,5394.68896484375,14328.2763671875,4548.83935546875,7070.650390625,5701.533203125,31481.8203125
2,9,B7,B,16.0,8861.8544921875,3938.043701171875,10240.3603515625,33573.87890625,6923.20703125,7102.466796875,31508.6875,8141.12548828125,3857.526123046875,14406.6865234375,11979.9638671875,50220.80859375
3,13,Emin7,E,24.0,5437.23876953125,5587.66943359375,27421.501953125,21613.564453125,104851.21875,16141.1630859375,4324.6689453125,13599.32421875,7454.330078125,10556.4150390625,6220.537109375,31125.283203125
