,Measure,Root Down,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,3,G7,G,4.0,2345.38818359375,1796.9642333984375,6623.79248046875,2990.1025390625,3540.528076171875,19125.138671875,8261.0849609375,13945.3203125,2492.517333984375,3052.501708984375,9581.900390625,11486.0302734375
1,6,C7,C,10.0,5254.6650390625,1204.31640625,1552.642578125,2430.593994140625,11614.9404296875,3124.415283203125,2350.729248046875,6882.24072265625,1618.0882568359375,1774.16748046875,7926.63671875,3861.770751953125
2,8,G7,G,14.0,1222.3594970703125,891.8016967773438,3061.009033203125,1595.1337890625,2120.310546875,10836.4365234375,3616.367919921875,5050.93115234375,972.9252319335938,774.0368041992188,1191.2197265625,5508.02099609375
3,10,Bb7(#9),Bb,18.0,72.56285858154297,297.9014587402344,380.5859069824219,117.78490447998047,134.20167541503906,391.1325988769531,180.09117126464844,444.6043395996094,305.6385192871094,155.06272888183594,257.4891662597656,81.49564361572266
4,10,B7(#9),B,18.666666666666668,13.955702781677246,55.68934631347656,81.5499038696289,20.5589599609375,32.12607955932617,141.10122680664062,65.17298889160156,253.75209045410156,65.84668731689453,17.987524032592773,29.658729553222656,15.328103065490723
5,10,C7(#9),C,19.33333333333333,53.337127685546875,70.8426742553711,227.8450469970703,292.4208068847656,98.69734954833984,101.84579467773438,306.1675720214844,180.3365478515625,45.935882568359375,80.75074768066406,59.52289962768555,160.3969268798828
6,11,C#7(#9),C#,20.0,208.4070587158203,80.60102081298828,97.1830825805664,364.4383850097656,528.6389770507812,193.0957489013672,234.9911346435547,601.3010864257812,151.6208038330078,67.97404479980469,187.9138641357422,182.9266357421875
7,11,D7(#9),D,21.0,663.1716918945312,433.1800231933594,305.3723449707031,191.01332092285156,582.7385864257812,1257.6312255859375,898.94873046875,1680.3167724609375,482.5498962402344,654.3314819335938,210.1457061767578,195.61376953125
8,12,Eb7(#9),Eb,22.0,127.72341918945312,325.92950439453125,191.70147705078125,172.2919158935547,118.47860717773438,325.8047180175781,645.97314453125,309.5265197753906,102.46839141845703,114.76741790771484,296.697021484375,88.09587860107422
9,12,E7(#9),E,22.66666666666667,75.7681655883789,101.2386703491211,188.49761962890625,195.57078552246094,105.9366226196289,104.08936309814453,180.53233337402344,197.0084228515625,115.61104583740234,63.331512451171875,95.01477813720703,127.73440551757812
10,12,F7(#9),F,23.33333333333333,41.777069091796875,47.907562255859375,140.38079833984375,124.13463592529297,81.86397552490234,39.721378326416016,84.7733383178711,87.1064453125,54.4964599609375,36.613399505615234,39.91762924194336,95.78496551513672
11,13,F#7(#9),F#,24.0,243.1683349609375,124.30266571044922,194.2884979248047,583.3192749023438,369.1139831542969,265.4786071777344,108.71237182617188,89.7306900024414,129.0642852783203,154.60003662109375,96.70187377929688,115.86302947998047
12,13,G7(#9),G,25.0,201.157958984375,275.9070739746094,391.3009948730469,342.1878662109375,685.0276489257812,983.64697265625,788.8814086914062,542.8435668945312,184.9462890625,239.11859130859375,688.0681762695312,704.0226440429688
13,14,G7,G,26.0,2230.716796875,1899.4105224609375,5924.890625,3423.0400390625,4198.22412109375,18617.3359375,6732.23828125,7565.94580078125,1475.5240478515625,1442.7381591796875,2348.654052734375,9594.71484375
14,17,F7,F,32.0,0.6719807982444763,0.9586053490638733,1.7930383682250977,1.5343559980392456,1.2556887865066528,3.679835557937622,1.11892831325531,0.3022192418575287,0.16538004577159882,0.5847765803337097,0.9729757308959961,1.9731197357177734
15,17,F#7,F#,33.0,3216.468017578125,5135.0087890625,1761.6693115234375,6011.42333984375,10946.1748046875,5824.62841796875,4252.81201171875,972.3085327148438,1101.8858642578125,1926.044921875,4627.51220703125,1305.2939453125
