,Measure,batida,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,D,D,0.0,4773.80615234375,13964.4306640625,74472.1640625,12583.1494140625,4388.1201171875,10975.75,63457.08203125,40960.2578125,14508.3505859375,59885.296875,10608.2197265625,4317.83642578125
1,9,Gmaj7,G,16.0,584.3545532226562,531.6494750976562,1582.62109375,485.3279724121094,145.20838928222656,461.8182067871094,2766.3935546875,1339.60595703125,266.4603271484375,270.9600524902344,314.3281555175781,1270.934814453125
2,10,G7,G,18.0,226.76881408691406,154.2285919189453,548.9415283203125,316.9569396972656,530.5597534179688,2679.976318359375,694.6509399414062,870.601318359375,210.68907165527344,167.66761779785156,255.17724609375,1177.58349609375
3,11,Cmaj7,C,20.0,1312.0084228515625,250.4994659423828,119.55506134033203,473.5918273925781,2747.380126953125,525.3323364257812,261.25152587890625,980.3335571289062,261.9205322265625,76.89228057861328,226.84461975097656,1233.8419189453125
4,12,F7,F,22.0,1409.22412109375,353.95068359375,589.7802124023438,2319.508544921875,984.8473510742188,943.9127807617188,238.71556091308594,250.0599822998047,205.6938018798828,641.3013916015625,202.04364013671875,296.0811462402344
5,13,Bmin7,B,24.0,91.30987548828125,131.1508331298828,603.1637573242188,229.9249725341797,68.29907989501953,164.44862365722656,827.8392944335938,133.3174285888672,51.95782470703125,191.03466796875,120.38208770751953,405.9118957519531
6,13,Bbmaj7,Bb,25.0,28.89130973815918,49.5218391418457,274.8171081542969,69.82598114013672,83.08867645263672,370.46240234375,197.44732666015625,528.4462280273438,110.6042709350586,179.99383544921875,151.65611267089844,92.30144500732422
7,14,Abmin7,Ab,26.0,76.77659606933594,111.95426177978516,630.0051879882812,611.908447265625,106.62395477294922,210.83522033691406,829.1559448242188,175.0860137939453,294.5003356933594,88.42096710205078,110.12109375,393.056640625
8,14,Abmaj7,Ab,27.0,573.2008666992188,236.2801055908203,754.776123046875,878.0211791992188,261.10308837890625,106.51317596435547,204.58441162109375,635.01318359375,527.9979858398438,136.4021453857422,74.06049346923828,235.5884552001953
9,15,Gmaj7,G,28.0,1613.0262451171875,1059.3184814453125,4392.69287109375,3394.0419921875,1376.90283203125,1663.1085205078125,8605.5791015625,6239.72314453125,1341.0882568359375,1836.5621337890625,1169.1572265625,3874.404052734375
