,Measure,Mr,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Eb7,Eb,0.0,234.7734375,1192.1480712890625,658.7244873046875,1930.2806396484375,499.1771240234375,195.10498046875,187.49359130859375,939.17919921875,518.8912963867188,2495.614990234375,2643.801513671875,452.5369567871094
1,2,Ab7,Ab,1.5,1114.1043701171875,344.1642761230469,414.3433837890625,1806.7823486328125,515.1536865234375,427.9021911621094,2188.546630859375,877.9773559570312,1159.931884765625,275.4276428222656,179.1449432373047,254.2080078125
2,3,Eb7,Eb,3.0,317.6039123535156,1214.7666015625,708.062255859375,1932.7711181640625,411.4303283691406,264.5838317871094,267.9194641113281,996.4348754882812,240.31251525878906,433.2425231933594,2535.077880859375,500.4197692871094
3,4,Bb7,Bb,4.5,170.96022033691406,305.2103576660156,1261.5919189453125,414.2845153808594,401.045654296875,1797.9881591796875,505.9302978515625,218.76185607910156,935.2164916992188,586.7485961914062,1254.11083984375,238.31224060058594
4,5,Eb7,Eb,6.0,249.9247589111328,1202.4852294921875,739.1293334960938,1941.9271240234375,521.8573608398438,329.75762939453125,227.1685028076172,946.3831176757812,561.90185546875,2550.685791015625,2629.654296875,451.5539855957031
5,6,Ab7,Ab,7.5,1111.6004638671875,352.1556396484375,449.5057678222656,1807.96484375,521.0554809570312,452.8371276855469,2170.62744140625,881.025146484375,1154.398681640625,280.50274658203125,182.19947814941406,251.61163330078125
6,7,Eb7,Eb,9.0,923.3298950195312,3650.392333984375,1890.0723876953125,5456.3310546875,1102.979736328125,722.361083984375,748.6820678710938,2968.182861328125,666.633544921875,1284.7509765625,7914.09912109375,1464.82275390625
7,9,Ab7,Ab,12.0,1101.9708251953125,322.3455505371094,413.4282531738281,1693.4442138671875,514.6200561523438,503.3054504394531,2402.275634765625,840.0663452148438,1014.5584106445312,212.75733947753906,188.4381103515625,257.0769348144531
8,10,Ebmin7,Eb,13.5,375.3582458496094,1816.0396728515625,682.2373657226562,1755.9395751953125,353.9066162109375,486.0954895019531,1984.115234375,392.085693359375,251.43870544433594,412.3397216796875,2349.15185546875,394.2149353027344
9,11,Ab7,Ab,15.0,3522.111572265625,890.88330078125,1151.3272705078125,5288.0244140625,1504.0595703125,1360.066162109375,6300.40869140625,2420.31298828125,6287.01123046875,1843.3973388671875,4998.37646484375,1397.2789306640625
10,13,Eb7,Eb,18.0,679.2221069335938,4097.7001953125,1144.0601806640625,1990.2161865234375,428.6219787597656,203.7528076171875,217.0813751220703,1004.1250610351562,351.9047546386719,319.19122314453125,1445.4473876953125,389.5140686035156
11,14,Fmin7,F,19.5,1318.0701904296875,412.4459228515625,462.0042724609375,1875.6884765625,797.7432250976562,868.2537231445312,240.59564208984375,497.3823547363281,1051.859375,262.3372497558594,199.16017150878906,316.04498291015625
12,15,Gbmaj7,Gb,21.0,499.2269592285156,1384.6134033203125,639.2571411132812,309.60968017578125,459.345703125,1984.0992431640625,1299.0865478515625,241.6354217529297,257.87127685546875,416.8935241699219,1230.7679443359375,272.6138916015625
13,16,C7,C,22.5,1182.2467041015625,366.7240295410156,247.22560119628906,499.9907531738281,2397.280029296875,704.0292358398438,352.5223083496094,935.3666381835938,321.1361999511719,511.0864562988281,2831.176513671875,766.412841796875
14,17,F7,F,24.0,5111.19873046875,1159.3697509765625,1351.7757568359375,6552.318359375,3879.175537109375,3463.083740234375,1135.43212890625,1137.8287353515625,933.9909057617188,2974.347412109375,907.1118774414062,1863.2750244140625
15,19,E7,E,27.0,902.3659057617188,755.263671875,4134.390625,2060.2177734375,6927.08056640625,1601.80322265625,810.3146362304688,523.5490112304688,2458.74853515625,1537.4095458984375,7426.27490234375,4760.75390625
16,21,Eb7,Eb,30.0,231.1076202392578,1152.8143310546875,655.48828125,1952.3897705078125,555.1268310546875,209.79322814941406,190.59950256347656,937.7987670898438,523.6080322265625,2469.94677734375,2559.880615234375,442.8297424316406
17,22,Cmin7,C,31.5,1112.555908203125,293.7332458496094,539.4426879882812,1978.93359375,666.3259887695312,579.8779907226562,272.7518310546875,951.1533203125,203.6565399169922,304.9090576171875,1205.823486328125,466.98583984375
18,23,F7,F,33.0,1250.2779541015625,297.9957275390625,459.5885314941406,2213.32373046875,1151.4202880859375,1201.4632568359375,279.5278015136719,304.1949157714844,354.4029541015625,1134.711181640625,327.6208190917969,306.5084533691406
19,24,Bb7,Bb,34.5,268.1556396484375,330.982666015625,1320.408447265625,875.71533203125,495.4058837890625,1722.1898193359375,623.5441284179688,285.4252624511719,961.82666015625,805.520263671875,1893.7626953125,319.8002624511719
20,25,Eb7,Eb,36.0,936.3113403320312,4530.8056640625,2618.401123046875,8120.66845703125,1676.5313720703125,978.648681640625,738.1881713867188,3784.93359375,892.759521484375,797.182373046875,4407.68701171875,994.348876953125
