,Measure,MoBetterII,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,223.91355895996094,428.3160400390625,2009.8953857421875,481.265869140625,650.8786010742188,2983.028076171875,759.0820922851562,279.4906311035156,1408.9371337890625,889.566650390625,1948.1331787109375,350.61962890625
1,2,F7,F,2.0,2079.360107421875,456.6479797363281,668.5911254882812,3313.385009765625,1674.6011962890625,1648.1619873046875,329.1394348144531,366.7779541015625,519.8778686523438,1701.18701171875,432.3880920410156,474.7313232421875
2,3,F7,F,4.0,2097.177734375,466.0116271972656,660.6691284179688,3237.000732421875,1590.1636962890625,1310.5196533203125,282.8235168457031,360.5983581542969,519.2944946289062,1677.6416015625,419.9747009277344,470.6711730957031
3,4,Bb7,Bb,6.0,92.80834197998047,144.36009216308594,619.9021606445312,190.50726318359375,238.0526580810547,891.1931762695312,245.47662353515625,102.66961669921875,475.4339294433594,307.9681701660156,569.43994140625,127.19097900390625
4,4,Amin7,A,7.0,521.8414916992188,140.3788604736328,145.3394775390625,231.7356719970703,905.328125,365.9510803222656,123.96663665771484,487.7599792480469,277.2411193847656,540.8040161132812,141.04531860351562,179.65235900878906
5,5,Gmin7,G,8.0,451.4504089355469,376.70751953125,1079.775634765625,360.8374938964844,1175.5416259765625,3019.770751953125,1066.054443359375,1947.171875,441.3549499511719,741.8796997070312,1958.63330078125,437.3883056640625
6,6,F,F,10.0,459.88720703125,134.49630737304688,49.8759765625,58.1020622253418,333.6999816894531,1073.7572021484375,201.9729766845703,147.0718231201172,215.0505828857422,1230.67724609375,210.8878936767578,87.31558227539062
7,6,Bb7,Bb,11.0,124.52458953857422,155.7416534423828,583.9573364257812,161.8775634765625,207.40777587890625,795.622802734375,238.63385009765625,107.41439056396484,530.3233032226562,576.9374389648438,605.5116577148438,129.5467529296875
8,7,F7,F,12.0,556.5454711914062,140.0546112060547,280.95068359375,1017.8067016601562,574.9614868164062,536.6771850585938,129.96685791015625,127.93450927734375,212.4425811767578,548.9866333007812,155.66835021972656,142.73956298828125
9,7,F7/A,F,13.0,477.7956237792969,133.82701110839844,322.8995361328125,1122.9781494140625,654.0360107421875,1324.5682373046875,410.2456970214844,1415.2955322265625,414.6546325683594,615.281005859375,167.078369140625,129.56263732910156
10,8,Bb7,Bb,14.0,186.17254638671875,300.1553039550781,1364.182861328125,536.7771606445312,346.1348876953125,988.9595336914062,274.8761901855469,121.8332290649414,484.75732421875,330.6881408691406,578.5359497070312,142.90948486328125
11,8,Amin9,A,15.0,655.2683715820312,160.34523010253906,177.9500732421875,312.617431640625,927.5693969726562,381.3366394042969,142.27955627441406,475.6690673828125,266.6022644042969,554.8937377929688,207.17054748535156,646.3448486328125
12,9,Gmin13,G,16.0,2413.848388671875,765.355712890625,1037.987548828125,469.4325866699219,1886.5655517578125,3184.546142578125,1174.1856689453125,2150.138916015625,697.0278930664062,1692.1480712890625,2130.052490234375,858.865966796875
13,10,G7,G,18.0,176.27723693847656,225.52467346191406,1091.4849853515625,314.2259216308594,346.4684143066406,1291.1197509765625,491.4319763183594,471.1251525878906,130.18626403808594,117.03304290771484,157.22323608398438,581.928955078125
14,10,G7(#9),G,19.0,157.11000061035156,126.79522705078125,370.4446105957031,212.433837890625,284.4891052246094,1027.2021484375,428.2987365722656,492.173583984375,146.80950927734375,185.4217987060547,599.502197265625,606.1068725585938
15,11,C7,C,20.0,1817.1043701171875,421.4438171386719,499.8719787597656,856.7594604492188,3829.03125,1358.27734375,393.0587158203125,1560.0762939453125,423.2177734375,349.4858703613281,1687.609375,965.8057250976562
16,12,F7,F,22.0,618.8370971679688,190.1100311279297,501.4450378417969,1052.7127685546875,577.7496337890625,472.18505859375,113.15686798095703,150.4460906982422,205.70030212402344,559.1482543945312,153.1486053466797,172.6392059326172
17,12,Bb9,Bb,23.0,112.43523406982422,28.233957290649414,36.05195617675781,187.5609588623047,71.03279876708984,67.90485382080078,12.577644348144531,7.0828986167907715,6.87352991104126,11.900040626525879,6.04316520690918,30.17582130432129
18,13,F7,F,24.0,1410.1998291015625,456.0545654296875,1181.7659912109375,3378.302978515625,1723.1759033203125,1772.8726806640625,415.8231506347656,473.11669921875,878.0751342773438,1755.0093994140625,708.907958984375,393.2018737792969
19,14,F7,F,26.0,1890.2779541015625,425.6876220703125,699.1072387695312,3253.277587890625,1693.9140625,1881.8695068359375,393.2529296875,672.8347778320312,589.6227416992188,1764.4244384765625,449.8481140136719,439.554931640625
20,15,F7,F,28.0,612.6785278320312,149.82321166992188,231.3896026611328,983.565673828125,524.82958984375,371.7499084472656,98.5630874633789,117.25106048583984,189.117919921875,531.4238891601562,149.7747039794922,157.5713348388672
21,15,Bb7,Bb,29.0,205.57569885253906,207.1774139404297,655.2001342773438,417.3290100097656,313.0630187988281,988.83837890625,263.1352844238281,110.2435531616211,474.92626953125,289.3755187988281,565.7774047851562,144.74839782714844
22,16,F7,F,30.0,2143.619384765625,483.5397644042969,854.157958984375,3279.910400390625,1693.8900146484375,1863.060546875,368.2895812988281,369.1653137207031,585.3845825195312,1715.0531005859375,447.5914306640625,481.6866760253906
23,17,Bb7,Bb,32.0,92.92340850830078,142.4964599609375,609.5736694335938,189.27391052246094,245.36151123046875,913.1773071289062,251.4007568359375,102.93584442138672,474.3064880371094,310.56158447265625,573.1544189453125,127.93270111083984
