,Measure,For Mods Only,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C#7,C#,0.0,530.8182373046875,947.7688598632812,272.1827087402344,488.6114501953125,376.0279541015625,1351.5977783203125,682.6038208007812,966.8140258789062,6166.88427734375,1049.25146484375,292.6532287597656,1601.9639892578125
1,3,C#7,C#,4.0,284.0329284667969,664.1707153320312,146.02857971191406,90.57451629638672,280.7057189941406,1493.2059326171875,264.0238952636719,91.068603515625,442.6634826660156,114.2782974243164,115.09058380126953,629.3081665039062
2,5,C#7,C#,8.0,1554.4217529296875,4527.17822265625,900.2865600585938,428.8981628417969,1393.1376953125,7740.30859375,1406.96923828125,467.1519775390625,2413.87548828125,606.4092407226562,640.5623779296875,3602.315185546875
3,8,F#7,F#,14.0,319.0914001464844,1610.9893798828125,348.8544006347656,389.5348815917969,2185.020263671875,995.0175170898438,890.4472045898438,238.92999267578125,637.0726928710938,320.4979553222656,714.4879760742188,230.68275451660156
4,10,C#7,C#,18.0,508.8841857910156,1656.3873291015625,388.5829162597656,322.1903381347656,1363.4554443359375,1717.6597900390625,1327.8199462890625,372.3340759277344,925.248291015625,255.91636657714844,305.8790588378906,1049.89306640625
5,12,G#7,G#,22.0,76.4407958984375,452.6817932128906,88.40145111083984,58.55986404418945,338.0577087402344,168.12693786621094,21.690343856811523,24.37638282775879,230.2092742919922,58.92160415649414,11.175984382629395,26.448156356811523
6,13,F#7,F#,24.0,300.5589294433594,70.7128677368164,113.28494262695312,654.1829833984375,101.36800384521484,80.68721771240234,372.5854187011719,71.57024383544922,31.95511817932129,7.403434753417969,12.193196296691895,54.66416549682617
7,14,C#,C#,26.0,945.3896484375,3167.632080078125,710.0653686523438,878.1393432617188,2120.802001953125,2098.527099609375,1771.2762451171875,411.6974182128906,1173.4737548828125,336.5702819824219,382.7486572265625,1675.70361328125
8,16,C#7,C#,30.0,507.3768310546875,1843.1123046875,384.9894104003906,301.9223937988281,1332.467529296875,1812.3790283203125,333.12615966796875,203.00439453125,1380.1895751953125,363.6996154785156,157.69215393066406,700.5111694335938
9,18,F#7,F#,34.0,172.796630859375,788.0314331054688,173.22462463378906,234.8796844482422,1192.8392333984375,786.3323364257812,531.2577514648438,115.63775634765625,161.43618774414062,194.0,645.4520874023438,153.36851501464844
10,20,C#7,C#,38.0,285.02069091796875,658.1220092773438,149.40370178222656,110.62728118896484,358.5938415527344,1319.114501953125,283.7358093261719,96.3956298828125,427.9991455078125,113.18065643310547,121.28026580810547,632.8648071289062
11,22,F#7,F#,42.0,171.68544006347656,784.1887817382812,172.33543395996094,232.5133819580078,1195.3311767578125,791.0117797851562,530.6575317382812,116.0732650756836,160.9672088623047,194.07672119140625,647.9580688476562,152.98622131347656
12,24,G#7,G#,46.0,5.304530143737793,33.12790298461914,6.220817565917969,6.660770893096924,32.7838020324707,16.5333309173584,13.422175407409668,2.5385305881500244,2.7185866832733154,0.9715632796287537,2.083320140838623,1.8898011445999146
13,25,C#7,C#,48.0,8779.1005859375,8277.6103515625,4928.87158203125,24623.4453125,7200.61572265625,17083.939453125,9801.412109375,2696.32373046875,6327.966796875,1506.6441650390625,2126.962646484375,8692.0625
14,29,G#,G#,56.0,58.703975677490234,229.881103515625,121.4466552734375,58.81705856323242,69.42754364013672,394.5704650878906,2191.4482421875,1142.2779541015625,315.5625915527344,156.95542907714844,403.235595703125,77.0534439086914
