,Measure,Mean GreansII,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,F7,F,2.0,418.0260925292969,1942.224609375,1074.6578369140625,3566.318603515625,704.8706665039062,264.6122131347656,314.73931884765625,1694.97021484375,700.9303588867188,420.1763610839844,1958.3160400390625,473.6811828613281
1,3,Eb7,Eb,4.0,747.5297241210938,1500.76904296875,348.1078186035156,313.3990173339844,767.571533203125,3823.591552734375,764.5542602539062,284.02099609375,1283.720947265625,312.091064453125,391.5260925292969,1990.4471435546875
2,4,Db7,Db,6.0,1895.2412109375,474.5248107910156,556.0755615234375,940.2567749023438,3950.8056640625,1006.9928588867188,371.2430419921875,1624.6165771484375,680.4928588867188,1405.2647705078125,5867.013671875,1385.755859375
3,5,C7,C,8.0,806.183837890625,1574.8079833984375,384.5674743652344,302.087646484375,817.8544311523438,3887.250244140625,774.9142456054688,281.7257385253906,1288.9066162109375,312.436767578125,367.3463439941406,1960.8848876953125
4,6,Db7,Db,10.0,1818.6756591796875,403.8336486816406,292.4913330078125,805.4464721679688,4061.739990234375,830.7988891601562,290.1639099121094,1497.1761474609375,516.8515014648438,704.2112426757812,1734.89111328125,817.8269653320312
5,7,C7,C,12.0,2098.08642578125,491.0173034667969,680.6188354492188,3300.811279296875,1722.7904052734375,1334.826904296875,292.4457702636719,391.5946350097656,523.2792358398438,1661.6820068359375,510.1210632324219,476.1204833984375
6,8,F7,F,14.0,77.7234878540039,18.35727882385254,18.333894729614258,65.52591705322266,176.6808319091797,48.99932861328125,15.772416114807129,42.15450668334961,11.345946311950684,7.48077392578125,32.01005554199219,25.446434020996094
7,8,Cdominant(#9),C,15.0,1621.87890625,384.9906005859375,306.2164001464844,1749.12744140625,1952.7943115234375,825.0283203125,145.53819274902344,396.6823425292969,112.87448120117188,124.69847869873047,524.4580688476562,385.1084289550781
8,16,Bb7,Bb,30.0,113.58809661865234,36.536075592041016,43.57120132446289,186.65228271484375,70.76834869384766,95.12579345703125,17.602731704711914,10.489812850952148,30.62202262878418,18.138696670532227,4.391063690185547,21.87809944152832
9,16,Fdominant(#9),F,31.0,24224.03125,11432.1962890625,41982.83984375,56636.23828125,24866.365234375,87064.0390625,18493.822265625,27745.564453125,136757.796875,103220.4765625,250099.015625,39610.46484375
