,Measure,ColdDuckTimeII,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,10,Bb7,Bb,18.0,327.79364013671875,952.75537109375,1762.9398193359375,434.9134216308594,590.5114135742188,2941.474365234375,788.1350708007812,342.0685119628906,1613.2860107421875,3119.23046875,16216.73046875,2434.822021484375
1,12,Bb7,Bb,22.0,336.48284912109375,982.9542846679688,1897.2110595703125,717.326416015625,678.8939819335938,3141.922119140625,811.4778442382812,363.2919616699219,1605.35498046875,3130.998779296875,16356.7099609375,2462.514404296875
2,14,Bb7,Bb,26.0,332.9913024902344,970.624267578125,1854.3485107421875,450.2471618652344,625.2893676757812,3146.409912109375,806.2847290039062,331.0099792480469,1589.1551513671875,3138.240966796875,16393.7734375,2458.75830078125
3,16,Bb7,Bb,30.0,336.4821472167969,982.9447631835938,1897.2098388671875,717.3262329101562,678.8931884765625,3141.924072265625,811.4761352539062,363.2873840332031,1605.3509521484375,3130.998291015625,16356.7021484375,2462.512451171875
4,18,Gbmaj7,Gb,34.0,36.780242919921875,84.76384735107422,76.67671966552734,23.184783935546875,42.53124237060547,279.7578430175781,86.50808715820312,42.14535140991211,146.60865783691406,870.699951171875,5295.6201171875,796.9335327148438
5,19,Abmaj13,Ab,36.0,38.91722869873047,185.70513916015625,50.6375617980957,19.90159034729004,85.05264282226562,488.20751953125,249.5086669921875,33.26779556274414,17.008968353271484,78.71334075927734,440.0355529785156,72.91590881347656
6,20,Bb,Bb,38.0,59.02042770385742,169.3434600830078,129.83436584472656,214.27394104003906,141.86691284179688,488.6871643066406,140.98269653320312,76.5263671875,87.75444793701172,99.24749755859375,467.6335144042969,92.82552337646484
7,21,Eb,Eb,40.0,924.6005859375,2607.21044921875,9433.7529296875,11683.3203125,5038.2421875,12022.875,3138.543212890625,4495.28466796875,1792.1898193359375,4845.09521484375,23572.138671875,3894.656982421875
8,24,Bb7,Bb,46.0,334.0716857910156,966.745849609375,1847.4329833984375,766.9724731445312,667.0350341796875,2994.376708984375,804.87939453125,384.9890441894531,1631.9619140625,3110.4072265625,16141.4951171875,2432.269287109375
9,26,Bb,Bb,50.0,257.4373779296875,932.0617065429688,1800.4320068359375,414.9974670410156,595.5573120117188,3055.479248046875,724.1163940429688,170.0614776611328,620.8836669921875,2967.9189453125,16301.2041015625,2417.5283203125
10,28,Bb7,Bb,54.0,336.5807189941406,983.1950073242188,1896.79833984375,718.1755981445312,679.7318115234375,3142.3349609375,812.5648803710938,370.0354309082031,1618.111328125,3137.917236328125,16374.1416015625,2465.2021484375
11,30,Gbmaj7,Gb,58.0,43.31660842895508,81.76859283447266,68.85438537597656,90.55709838867188,57.70623779296875,213.8395538330078,74.86035919189453,254.73033142089844,1607.0567626953125,821.581787109375,3778.601806640625,566.4060668945312
12,31,Abmaj7,Ab,60.0,41.616153717041016,181.27854919433594,47.12350845336914,22.30048370361328,83.1610107421875,477.3311462402344,245.27293395996094,34.9430046081543,20.11680030822754,76.91046905517578,433.1141357421875,72.10250091552734
13,32,Bb7,Bb,62.0,180.253662109375,62.89667892456055,96.744384765625,407.2529602050781,84.44702911376953,85.22712707519531,32.353973388671875,53.99967956542969,23.240419387817383,74.52113342285156,437.7684326171875,101.66571807861328
14,33,Eb,Eb,64.0,63.03619384765625,65.25399780273438,206.19862365722656,110.61962890625,85.3984375,296.6197814941406,91.19152069091797,51.323604583740234,153.1522216796875,143.1128387451172,502.486083984375,98.54510498046875
15,34,Eb9,Eb,66.0,41.39585876464844,153.1834716796875,174.64549255371094,412.3974609375,137.92149353027344,336.7304382324219,77.8918228149414,66.76074981689453,102.09349822998047,373.4094543457031,2398.01416015625,356.0610046386719
16,35,Eb9,Eb,68.0,37.660064697265625,156.38111877441406,130.6012420654297,275.24847412109375,124.64229583740234,444.7988586425781,86.86822509765625,53.826053619384766,23.084985733032227,22.4538631439209,30.23760223388672,15.336930274963379
17,36,Bb7,Bb,70.0,413.1089172363281,1349.8077392578125,2176.760986328125,1212.2891845703125,950.0956420898438,4459.72265625,1025.1207275390625,365.0978088378906,1360.091796875,1119.2630615234375,3126.515869140625,555.9246215820312
18,38,Gbmaj7,Gb,74.0,4.811351776123047,19.909399032592773,25.441261291503906,9.889827728271484,13.924681663513184,68.29988861083984,15.168187141418457,3.221458673477173,5.544549465179443,5.130163192749023,7.067989826202393,2.60298752784729
19,39,F7(#9),F,76.0,40.51927947998047,177.89788818359375,43.40737533569336,25.860267639160156,85.39751434326172,462.3531494140625,238.4976348876953,30.055931091308594,17.321266174316406,17.927637100219727,21.102537155151367,8.25105094909668
20,40,Bbmin11,Bb,78.0,244.574462890625,79.89932250976562,92.05184936523438,420.3126525878906,140.43692016601562,193.9383544921875,43.6545295715332,21.386634826660156,52.382137298583984,25.609590530395508,10.362393379211426,46.69245910644531
21,41,Bb7,Bb,80.0,257.4797058105469,89.4780044555664,118.96142578125,435.8760681152344,112.7416000366211,180.71319580078125,49.07930374145508,42.8884162902832,56.359798431396484,45.44736099243164,108.0933837890625,91.8770751953125
22,42,Eb9,Eb,82.0,603.861328125,2154.2919921875,1395.3963623046875,1726.5682373046875,1063.4056396484375,4101.92041015625,1005.3429565429688,1485.0592041015625,923.2980346679688,1658.5194091796875,8875.4873046875,1421.2015380859375
23,44,Bb7,Bb,86.0,27.27544403076172,54.64389419555664,92.14995574951172,105.73413848876953,72.84622955322266,353.8235778808594,81.05032348632812,11.856669425964355,17.788999557495117,75.37322998046875,31.08643341064453,9.22281551361084
24,45,Bb7,Bb,88.0,8.850554466247559,30.4012451171875,111.5810775756836,31.76263427734375,74.49235534667969,430.9418029785156,78.63231658935547,12.455780982971191,43.993804931640625,22.33600425720215,50.20780944824219,10.67458724975586
25,46,Cmin11,C,90.0,693.116943359375,1100.7601318359375,1592.3902587890625,1754.5626220703125,1169.2203369140625,3916.092529296875,1285.008544921875,1637.3594970703125,838.53515625,1788.5941162109375,8860.201171875,1497.6973876953125
26,48,Gb9,Gb,94.0,21.957433700561523,76.60184478759766,66.27820587158203,27.89299964904785,40.72014617919922,145.5406494140625,40.452884674072266,12.932011604309082,50.933101654052734,306.7573547363281,1986.2799072265625,299.2510681152344
27,49,F7(#9),F,96.0,118.90612030029297,661.2615356445312,140.65541076660156,129.97488403320312,470.8096923828125,256.2361755371094,214.82745361328125,67.60662078857422,319.5456848144531,369.1949462890625,1974.4381103515625,310.8606262207031
28,50,Bb,Bb,98.0,297.61517333984375,519.6168823242188,172.837646484375,443.5278015136719,187.0825958251953,210.41944885253906,49.04446029663086,38.70484924316406,244.8165740966797,78.0701675415039,34.69283676147461,57.72968673706055
29,51,Bb7,Bb,100.0,41.19961166381836,35.10989761352539,119.44783782958984,67.1550521850586,93.64749908447266,438.44189453125,80.48332977294922,8.974613189697266,14.92513656616211,18.28597068786621,39.779869079589844,13.171738624572754
30,52,Bb7,Bb,102.0,15.643294334411621,28.06464195251465,112.85244750976562,42.44478988647461,77.91175842285156,431.4002380371094,81.92674255371094,13.633805274963379,47.76230239868164,19.714372634887695,21.11210823059082,7.280873775482178
31,53,Bb7,Bb,104.0,208.24859619140625,376.2684631347656,1821.3468017578125,458.5541076660156,700.335693359375,3433.0791015625,805.2288208007812,265.5444030761719,1209.03173828125,745.978271484375,1557.0013427734375,281.7186584472656
32,55,Bb7,Bb,108.0,185.0118865966797,345.457275390625,1661.4732666015625,397.1087341308594,536.9772338867188,2549.798828125,614.1708374023438,227.54896545410156,1090.66015625,703.31591796875,1523.7432861328125,271.6091613769531
33,57,Eb9,Eb,112.0,375.095703125,1524.8614501953125,1079.0943603515625,1030.5537109375,698.9580688476562,2736.085693359375,711.2802124023438,1329.201416015625,460.7015075683594,484.2093200683594,1496.7139892578125,316.7388000488281
34,59,Bb7,Bb,116.0,199.78562927246094,412.304443359375,1609.4957275390625,421.0892333984375,541.2263793945312,2556.770263671875,620.012939453125,232.2047882080078,1091.9251708984375,704.9202270507812,1541.23095703125,278.7698974609375
35,61,Gbmaj7,Gb,120.0,3.731264114379883,13.752461433410645,24.984825134277344,6.0588531494140625,13.153621673583984,68.05786895751953,14.91915225982666,2.6363449096679688,4.257256507873535,4.9878034591674805,7.542395114898682,2.3745152950286865
36,62,Abmaj7,Ab,122.0,39.483158111572266,177.13035583496094,43.12419509887695,21.7999324798584,81.04557800292969,459.7859802246094,239.07850646972656,34.034461975097656,15.130107879638672,12.954017639160156,18.871498107910156,8.085803985595703
37,63,Bb7,Bb,124.0,52.05134582519531,18.52817726135254,31.560537338256836,118.0195541381836,24.715360641479492,16.00872802734375,7.3723578453063965,16.03961944580078,6.340259552001953,3.3235065937042236,3.8064849376678467,11.80117130279541
38,63,Eb,Eb,125.0,497.3128356933594,723.5199584960938,3186.322021484375,5073.25,1768.1590576171875,4841.74560546875,1301.9349365234375,2431.197021484375,1562.2357177734375,1300.8289794921875,4584.82861328125,1032.4364013671875
