,Measure,MyMama,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,3,Bb7,Bb,4.0,996.4011840820312,1017.201171875,3177.700927734375,777.3655395507812,617.6571655273438,3278.906005859375,3295.357421875,18444.150390625,3541.451416015625,4462.76123046875,23641.03125,3685.5087890625
1,7,Ab7,Ab,12.0,57.747772216796875,82.24043273925781,278.812255859375,376.0332336425781,87.54983520507812,146.57781982421875,542.4566040039062,3481.337890625,597.3613891601562,194.6932830810547,1043.6160888671875,193.10455322265625
2,8,Eb7,Eb,14.0,564.406005859375,2392.66650390625,1414.0269775390625,2490.05908203125,946.3827514648438,2541.497314453125,909.300537109375,2284.57568359375,772.1744995117188,780.1685180664062,3045.052978515625,627.4038696289062
3,9,Bb7,Bb,16.0,4.723235607147217,11.847869873046875,38.67912673950195,24.27872657775879,15.65285873413086,49.8975715637207,84.89253997802734,553.8906860351562,96.19820404052734,5.5124993324279785,4.705471038818359,7.754265308380127
4,9,Eb7,Eb,16.666666666666668,45.159603118896484,89.21094512939453,261.1517028808594,73.45500183105469,85.30136108398438,382.6597900390625,126.34835052490234,111.4477310180664,247.5377197265625,176.8870849609375,451.8708190917969,77.17427062988281
5,9,Eb9,Eb,17.333333333333332,5.538915157318115,21.679380416870117,77.27857208251953,27.129053115844727,28.620195388793945,122.07149505615234,94.31258392333984,386.113037109375,97.21927642822266,67.2298355102539,393.4436950683594,62.361572265625
6,10,Bb7,Bb,18.0,563.3904418945312,2352.046142578125,1404.9007568359375,2516.142822265625,942.8353881835938,2534.250244140625,888.9124145507812,2266.473388671875,774.4563598632812,779.158203125,3048.554443359375,628.6001586914062
7,11,Bb7,Bb,20.0,2.352977991104126,9.512219429016113,9.926813125610352,14.024970054626465,14.636996269226074,49.51612854003906,7.840358257293701,3.8443896770477295,6.807411193847656,2.370950698852539,1.8766838312149048,1.3645766973495483
8,11,Eb7,Eb,20.666666666666668,74.37467193603516,50.008480072021484,104.6321792602539,401.6182861328125,77.61919403076172,118.0259780883789,536.656982421875,162.5972137451172,296.8185729980469,56.00539779663086,68.54090118408203,246.9485626220703
9,11,Eb9,Eb,21.33333333333333,14.692130088806152,11.111152648925781,34.34077835083008,114.56769561767578,24.410486221313477,21.428922653198242,103.34857940673828,28.464269638061523,26.041824340820312,11.292119026184082,23.240678787231445,65.85160064697266
10,12,Bb7,Bb,22.0,59.10579299926758,115.39337921142578,172.34521484375,583.0214233398438,163.7430877685547,281.726318359375,434.4136047363281,140.21414184570312,187.7062530517578,232.53570556640625,1181.383544921875,317.23760986328125
11,13,Abmin7,Ab,24.0,62.63618469238281,296.2640075683594,87.5738754272461,129.67958068847656,96.87677001953125,395.647216796875,164.28811645507812,33.495216369628906,49.93012619018555,32.207496643066406,128.5306854248047,86.23760986328125
12,14,Bbmin7,Bb,26.0,77.07010650634766,117.48900604248047,127.24475860595703,463.7999267578125,154.6582489013672,292.23712158203125,426.8240661621094,435.9378662109375,2302.666748046875,547.4995727539062,1096.877685546875,302.0960388183594
13,15,Bmaj7,B,28.0,1331.6531982421875,605.1807861328125,251.7726593017578,588.5275268554688,2272.6689453125,745.93310546875,370.97119140625,1152.4097900390625,605.9923706054688,1280.5550537109375,310.83819580078125,466.638916015625
14,16,Bbmin7,Bb,30.0,29.30103302001953,31.63860511779785,53.348697662353516,197.31988525390625,86.48403930664062,68.03646850585938,97.67874145507812,37.66880416870117,15.818354606628418,12.037215232849121,33.73308563232422,45.74441146850586
15,16,Amin7,A,31.0,77.50611877441406,226.51307678222656,56.33011245727539,62.01773452758789,108.84261322021484,502.3540344238281,110.86719512939453,109.88327026367188,678.2094116210938,323.24578857421875,1006.7162475585938,201.6281280517578
16,17,Abmin7,Ab,32.0,76.96517181396484,281.35565185546875,77.0076675415039,140.6265411376953,140.5996856689453,386.9036560058594,166.38992309570312,35.72523880004883,47.68754959106445,32.24998092651367,128.80984497070312,88.03170776367188
17,18,Bbmin7,Bb,34.0,73.83568572998047,88.7886962890625,162.3509063720703,465.3848571777344,164.0963134765625,295.2142028808594,432.6692810058594,422.456298828125,2223.797119140625,547.4860229492188,1131.91552734375,311.576171875
18,19,Bmaj7,B,36.0,29.040090560913086,58.549808502197266,331.2555236816406,123.92105865478516,106.33078002929688,453.9565124511719,522.3456420898438,3050.209228515625,554.9558715820312,210.24476623535156,1045.0469970703125,208.08892822265625
19,20,Bb7,Bb,38.0,444.1113586425781,261.7106628417969,139.0544891357422,56.60505676269531,119.91944122314453,386.895751953125,87.96956634521484,178.65533447265625,103.61331176757812,241.8526153564453,1354.676513671875,277.64349365234375
