,Measure,DonTojo,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G,G,0.0,2997.490234375,1864.4005126953125,10453.5673828125,1878.78369140625,582.6826782226562,743.7152709960938,2467.229248046875,15297.0234375,2599.702880859375,775.2793579101562,2035.0986328125,9895.5751953125
1,4,C7,C,6.0,3011.230224609375,578.2330932617188,327.1986389160156,854.493408203125,3939.684814453125,721.67626953125,333.6509704589844,1875.9686279296875,512.4533081054688,570.0068969726562,2907.771484375,1114.8477783203125
2,5,Bb7,Bb,8.0,241.6382293701172,421.4739990234375,1986.2637939453125,526.6753540039062,724.475341796875,2983.3681640625,769.3451538085938,297.3151550292969,1414.2071533203125,879.9484252929688,1859.70361328125,340.6184387207031
3,6,C7,C,10.0,3023.459716796875,576.0194091796875,351.975830078125,843.6580200195312,3978.586669921875,816.7470703125,338.4685363769531,1874.5863037109375,525.7797241210938,568.7890014648438,2889.27734375,1120.5447998046875
4,7,Bb7,Bb,12.0,242.05458068847656,430.4567565917969,2048.50634765625,540.0390625,730.100341796875,3011.342529296875,789.9561157226562,522.8289184570312,1450.5594482421875,874.9457397460938,1839.0155029296875,339.8894958496094
5,8,C7,C,14.0,3020.481689453125,578.5166625976562,348.5562438964844,837.8582153320312,3985.939697265625,814.783935546875,336.5188293457031,1876.7113037109375,519.02587890625,426.9497985839844,2177.64794921875,1048.6982421875
6,9,Bb7,Bb,16.0,242.1504364013672,429.3871154785156,2033.2275390625,536.0245971679688,730.6858520507812,3009.342529296875,766.6298828125,296.1255187988281,1410.8878173828125,881.3309936523438,1871.7752685546875,342.6299743652344
7,10,C7,C,18.0,1822.61083984375,400.4618225097656,351.9304504394531,779.3528442382812,3916.460205078125,923.4823608398438,382.3956298828125,1816.4189453125,494.79150390625,603.8687744140625,3504.839599609375,1070.9476318359375
8,11,Bb7,Bb,20.0,242.26280212402344,430.0876159667969,2033.1448974609375,535.4744262695312,731.2783813476562,3007.326904296875,767.3845825195312,299.1507873535156,1409.87939453125,879.9819946289062,1857.3670654296875,340.05804443359375
9,12,C7,C,22.0,3023.414794921875,576.0338134765625,352.7101745605469,843.5645141601562,3978.603515625,816.7470703125,338.4364013671875,1874.51416015625,525.7787475585938,568.7692260742188,2889.263427734375,1120.4329833984375
10,13,Bb7,Bb,24.0,242.069091796875,429.3023681640625,2032.88623046875,535.9485473632812,730.5043334960938,3008.7294921875,766.4282836914062,296.09503173828125,1410.6422119140625,878.8369750976562,1856.5626220703125,339.9558410644531
11,14,C7,C,26.0,3023.414794921875,576.0338745117188,352.7075500488281,843.5629272460938,3978.601318359375,816.7465209960938,338.4405212402344,1874.5494384765625,525.7869262695312,568.7522583007812,2889.149169921875,1120.4217529296875
12,15,Bb7,Bb,28.0,242.0513916015625,430.8221130371094,2050.30224609375,540.3356323242188,730.0979614257812,3011.3564453125,789.965087890625,522.8359985351562,1450.5780029296875,874.94775390625,1838.96875,339.8357238769531
13,16,C7,C,30.0,3020.454345703125,578.5414428710938,348.6820373535156,837.8618774414062,3985.921142578125,814.7598266601562,336.51055908203125,1876.68505859375,519.0216064453125,426.9332580566406,2177.576904296875,1048.6893310546875
14,17,Bb7,Bb,32.0,242.1510772705078,429.37060546875,2033.12158203125,536.0072021484375,730.6834106445312,3009.343017578125,766.6396484375,296.1273498535156,1410.8900146484375,881.331787109375,1871.7757568359375,342.63232421875
15,18,C7,C,34.0,1822.6033935546875,400.4618225097656,351.9305725097656,779.3556518554688,3916.47265625,923.4862670898438,382.3972473144531,1816.4237060546875,494.7906494140625,603.8681640625,3504.8388671875,1070.9527587890625
16,19,Bb7,Bb,36.0,242.26475524902344,430.0871276855469,2033.14208984375,535.4741821289062,731.2753295898438,3007.310791015625,767.3818969726562,299.1511535644531,1409.8817138671875,879.9855346679688,1857.3634033203125,340.05712890625
17,20,Bbdim7,Bb,38.0,423.1761779785156,1760.22705078125,610.2498779296875,751.5000610351562,3695.302490234375,1503.6923828125,714.7700805664062,3833.725830078125,922.27099609375,556.418212890625,2008.390625,576.2161254882812
18,21,Gmin7,G,40.0,1747.0284423828125,772.78369140625,1387.2833251953125,537.9525756835938,959.5126953125,2314.176513671875,2433.699951171875,14279.9013671875,2538.533447265625,3093.418212890625,19405.892578125,3145.390869140625
19,24,Bbdim7,Bb,46.0,417.0774230957031,1748.2459716796875,574.6403198242188,757.485107421875,3634.2138671875,1335.730224609375,688.688232421875,3810.214111328125,896.8527221679688,552.1660766601562,2012.3231201171875,576.164794921875
20,25,D7,D,48.0,2277.8544921875,940.10498046875,1796.94384765625,576.9295654296875,774.2781372070312,1216.57275390625,3148.478515625,13190.8193359375,2330.585205078125,3496.231201171875,20380.986328125,3359.732666015625
21,28,C7,C,54.0,3054.263671875,584.7512817382812,321.5691833496094,840.5827026367188,3940.705078125,715.5526733398438,360.0359191894531,1880.1639404296875,504.7021179199219,410.3807373046875,2062.200927734375,1022.8070678710938
22,29,Bb7,Bb,56.0,243.20350646972656,427.05859375,2009.81640625,533.6767578125,727.2767944335938,2977.7607421875,773.1298217773438,300.1155090332031,1413.7254638671875,862.3023071289062,1855.0667724609375,339.81292724609375
23,30,C7,C,58.0,3024.217529296875,576.3937377929688,352.7774353027344,842.94384765625,3978.828369140625,818.2815551757812,339.3398742675781,1871.6044921875,526.187744140625,568.2952270507812,2887.760009765625,1122.1417236328125
24,31,Bb7,Bb,60.0,242.2480926513672,430.432861328125,2050.819091796875,540.0581665039062,729.638671875,3012.609130859375,791.6741333007812,522.690185546875,1451.2281494140625,878.7985229492188,1839.4635009765625,339.98248291015625
25,32,C7,C,62.0,3021.614501953125,578.7333984375,348.7012634277344,838.094970703125,3985.865966796875,814.4240112304688,337.0723571777344,1877.6812744140625,519.1074829101562,427.54052734375,2177.9013671875,1048.8013916015625
26,33,Bb7,Bb,64.0,242.2873992919922,429.5578918457031,2033.0843505859375,535.9457397460938,730.686279296875,3009.2431640625,766.2732543945312,295.9752197265625,1410.5511474609375,880.7420043945312,1871.6988525390625,342.6693420410156
27,34,C7,C,66.0,1822.7178955078125,400.3948974609375,351.8695983886719,779.26220703125,3916.635986328125,923.679931640625,382.4530944824219,1816.0380859375,494.81982421875,603.8967895507812,3504.697265625,1071.1029052734375
28,35,Bb7,Bb,68.0,4176.50927734375,5951.00146484375,30585.470703125,7133.009765625,11934.2333984375,49054.30859375,10592.2275390625,6394.80029296875,16196.5927734375,10063.0947265625,22969.234375,6774.78369140625
