,Measure,Boogie Stop Shuffle,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bbmin7,Bb,0.0,603.4889526367188,2013.78662109375,583.75,295.6178894042969,746.22412109375,3226.181884765625,606.8208618164062,318.7458801269531,1428.45458984375,1244.5167236328125,4983.78173828125,809.1564331054688
1,2,Bbmin7,Bb,2.0,605.4850463867188,1995.986328125,586.0066528320312,295.3840637207031,725.2988891601562,3150.638916015625,600.2376098632812,323.2022705078125,1444.4228515625,1244.1395263671875,4972.19287109375,810.28662109375
2,3,Bbmin7,Bb,4.0,605.4622192382812,1995.9248046875,586.0133056640625,295.3939514160156,725.3743286132812,3150.820068359375,600.2509155273438,323.1990661621094,1444.3929443359375,1244.1375732421875,4972.1982421875,810.286865234375
3,4,Bbmin7,Bb,6.0,550.5761108398438,1924.2696533203125,507.7169189453125,705.9522094726562,722.7745971679688,3177.538330078125,636.1213989257812,375.7652893066406,1371.88671875,709.9116821289062,2033.05029296875,423.3435974121094
4,5,Ebmin7,Eb,8.0,365.7941589355469,2154.28076171875,1026.2789306640625,3430.606201171875,614.9158325195312,861.2992553710938,3656.4296875,730.660888671875,183.8822021484375,335.499267578125,1925.8304443359375,342.1922912597656
5,6,Ebmin7,Eb,10.0,368.74169921875,2179.128662109375,1028.787353515625,3338.405517578125,600.1505737304688,814.865234375,3674.6982421875,745.11767578125,172.97987365722656,357.7970275878906,2010.0538330078125,351.7410888671875
6,7,Bbmin7,Bb,12.0,575.2022705078125,1884.9876708984375,570.9672241210938,347.5531005859375,768.0971069335938,3240.193115234375,661.3038940429688,334.3014221191406,1444.8634033203125,1213.4931640625,4975.64697265625,799.26513671875
7,8,Bmin7,B,14.0,414.277587890625,829.9099731445312,2079.5283203125,1240.1240234375,328.8236389160156,902.3526000976562,4207.31201171875,821.1045532226562,295.9463195800781,1277.1871337890625,717.160888671875,1909.1197509765625
8,9,Fmin7,F,16.0,2226.908203125,556.88134765625,626.6058959960938,2617.745849609375,1194.2769775390625,1560.9642333984375,416.0544128417969,736.8610229492188,1704.2596435546875,504.2559814453125,316.64495849609375,572.4267578125
9,10,Ebmin7,Eb,18.0,378.2837219238281,1900.578125,1021.4413452148438,3586.017578125,695.9201049804688,832.2931518554688,3719.022216796875,759.9501953125,191.35520935058594,351.1253967285156,2005.7779541015625,383.1703796386719
10,11,Bbmin7,Bb,20.0,1034.4073486328125,4252.92626953125,882.3303833007812,349.3481750488281,771.5327758789062,3238.7734375,648.1851196289062,326.8632507324219,1412.1553955078125,1210.12158203125,4973.57666015625,825.781005859375
11,12,Bbmin7,Bb,22.0,1034.36181640625,3966.5546875,864.4558715820312,348.0373840332031,712.7029418945312,3212.759033203125,632.2034912109375,349.1553039550781,1586.9310302734375,1308.0765380859375,5362.25830078125,864.6273803710938
12,13,Bbmin7,Bb,24.0,531.0382690429688,1799.5281982421875,392.1086120605469,232.74412536621094,653.9608764648438,3122.751953125,576.0873413085938,258.732177734375,1362.940673828125,725.760986328125,2009.291015625,389.1886291503906
13,14,Bbmin7,Bb,26.0,2796.758056640625,11792.12109375,2320.418701171875,1154.1173095703125,3933.714599609375,17523.91796875,3794.658935546875,1332.7265625,6290.91455078125,4152.4423828125,16188.8720703125,2790.984619140625
14,17,Ebmin7,Eb,32.0,32.05036544799805,170.8494873046875,99.9532699584961,272.02496337890625,59.53281784057617,85.86055755615234,312.9028015136719,60.34190368652344,17.352041244506836,33.50088882446289,163.58468627929688,34.2158317565918
15,18,Ebmin7,Eb,34.0,309.8959045410156,1799.1170654296875,925.2880249023438,3043.513427734375,547.720703125,663.9832153320312,3172.857177734375,575.7573852539062,145.77040100097656,336.5012512207031,1973.2154541015625,328.7265625
16,19,Bbmin7,Bb,36.0,480.05908203125,1587.8568115234375,349.3619689941406,279.6583557128906,690.087646484375,3195.819580078125,640.5149536132812,258.0030517578125,1329.7711181640625,688.6431274414062,1871.8724365234375,373.3360595703125
17,20,Bbmin7,Bb,38.0,497.71826171875,1646.5404052734375,390.2940673828125,274.2914123535156,634.8681030273438,3123.052001953125,608.3302001953125,258.7967834472656,1363.19970703125,710.7708129882812,1935.2998046875,383.0647277832031
18,21,Fmin7,F,40.0,2159.69091796875,601.7110595703125,689.006591796875,2856.660888671875,1280.1148681640625,1692.1788330078125,759.84716796875,822.9111938476562,1653.0372314453125,406.9186096191406,302.1281433105469,505.2571716308594
19,22,Ebmin7,Eb,42.0,419.9060363769531,2201.488525390625,1054.8526611328125,3507.923828125,705.775146484375,741.8052368164062,3255.0361328125,686.53271484375,221.23809814453125,364.937255859375,2022.3726806640625,357.6556701660156
20,23,Bbmin7,Bb,44.0,891.803466796875,1662.2677001953125,458.915283203125,796.3219604492188,819.6990356445312,3189.2685546875,690.6464233398438,501.2767639160156,1358.017333984375,651.1683959960938,1926.3214111328125,457.4786071777344
