,Measure,InnerCityBlues,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,4,Ebmin7,Eb,6.0,4315.93212890625,23040.763671875,12184.4287109375,48741.828125,8267.4560546875,9913.5498046875,48925.89453125,12760.13671875,33200.80859375,15209.0390625,67260.21875,10460.2900390625
1,12,Ab7,Ab,22.0,7762.783203125,2404.287841796875,2811.209716796875,13544.6875,4129.18115234375,3871.996337890625,20366.978515625,6806.20166015625,16238.3642578125,3059.528076171875,1756.2696533203125,1792.28515625
2,16,Ebmin7,Eb,30.0,17491.958984375,106282.0234375,35969.46875,115877.75,21166.642578125,20211.033203125,84247.21875,29128.962890625,53333.296875,17406.671875,50062.51171875,11252.6025390625
3,28,Ab7,Ab,54.0,8875.123046875,8652.6513671875,4004.384765625,14917.9130859375,4676.28662109375,4290.44970703125,17988.880859375,6407.201171875,14402.8369140625,11990.09375,20253.296875,4525.1904296875
4,32,Ebmin7,Eb,62.0,5112.33740234375,30775.275390625,11415.8359375,36488.01171875,6536.40380859375,7272.392578125,29810.662109375,6999.251953125,5064.2666015625,9538.2099609375,59243.04296875,9441.896484375
