,Measure,MysticBrew,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dbmaj7,Db,0.0,1074.7801513671875,2963.655517578125,552.26708984375,192.53407287597656,367.2081298828125,1396.0306396484375,263.36175537109375,132.6227569580078,489.728759765625,123.72289276123047,90.5978775024414,161.50540161132812
1,1,Csus,C,1.0,1673.5277099609375,342.2851867675781,78.32101440429688,64.83493041992188,310.7023620605469,1013.6677856445312,257.3448486328125,492.6816101074219,152.17477416992188,63.82722091674805,57.148372650146484,393.6353454589844
2,2,F7,F,2.0,385.1697692871094,105.59868621826172,226.21046447753906,1001.271240234375,594.5098876953125,1289.3729248046875,263.9435729980469,301.6018981933594,216.2644500732422,557.8411254882812,160.4390411376953,113.19034576416016
3,2,Bb7,Bb,3.0,365.0316162109375,143.35455322265625,419.07470703125,280.95574951171875,220.87982177734375,648.3784790039062,153.906005859375,54.449066162109375,194.75921630859375,272.11480712890625,1139.7947998046875,294.67767333984375
4,3,Ab,Ab,4.0,629.1973266601562,175.2280731201172,222.70420837402344,649.5623779296875,259.9777526855469,191.16583251953125,187.09381103515625,714.1461791992188,1696.31884765625,304.8259582519531,78.53235626220703,173.60137939453125
5,3,Gbmaj7,Gb,5.0,150.41041564941406,406.2433166503906,138.1865234375,319.93792724609375,191.22987365722656,798.6478881835938,1145.8270263671875,174.1755828857422,62.578765869140625,114.43006134033203,363.9354248046875,124.43020629882812
6,4,Dbmaj7,Db,6.0,653.3876342773438,613.1422729492188,185.7526397705078,187.73406982421875,420.4717102050781,1332.2618408203125,333.2008361816406,159.06248474121094,449.6686096191406,129.35670471191406,82.90151977539062,115.89404296875
7,4,C7sus(07),C,7.0,270.3536071777344,171.7598876953125,161.74794006347656,106.77318572998047,254.4150848388672,581.1504516601562,239.50074768066406,540.4630126953125,165.55027770996094,66.43364715576172,118.10150909423828,546.5497436523438
8,5,F7,F,8.0,521.4722900390625,154.45455932617188,302.8687744140625,1038.5972900390625,585.163818359375,458.2784729003906,137.3079376220703,143.8158416748047,198.2464599609375,532.9934692382812,154.15469360351562,178.2504119873047
9,5,Bb7,Bb,9.0,169.9959716796875,192.9959716796875,652.4685668945312,419.2502746582031,320.745849609375,1024.0452880859375,271.3666076660156,108.28250885009766,465.767822265625,293.3792724609375,570.43212890625,142.8112335205078
10,6,Ab,Ab,10.0,543.3269653320312,161.04296875,261.80535888671875,755.6669311523438,288.91009521484375,259.0533447265625,82.05862426757812,253.47206115722656,709.064697265625,174.65834045410156,60.788116455078125,130.9384002685547
11,6,Gbmaj7,Gb,11.0,255.97222900390625,621.2418823242188,168.2804718017578,316.089111328125,271.72772216796875,1039.7196044921875,566.22119140625,151.01043701171875,122.20648956298828,224.13226318359375,584.6734008789062,140.9364776611328
12,7,Dbmaj7,Db,12.0,827.7455444335938,686.9208374023438,182.93638610839844,361.5027160644531,337.4129943847656,1245.8194580078125,301.6614074707031,147.8057098388672,427.6441345214844,95.14266967773438,82.60813903808594,135.7775421142578
13,7,C7sus(07),C,13.0,562.7989501953125,187.60035705566406,119.47089385986328,77.00139617919922,170.7220458984375,643.6802368164062,233.26475524902344,370.5967712402344,117.61170196533203,93.89266967773438,308.73712158203125,514.5579833984375
14,8,Ab,Ab,14.0,525.3988647460938,165.45716857910156,214.26670837402344,783.9220581054688,262.8590393066406,138.53961181640625,105.00762176513672,302.1999206542969,587.8499145507812,292.74560546875,1093.0872802734375,321.3965759277344
15,8,Gbmaj7,Gb,15.0,644.3851928710938,1611.31298828125,543.4740600585938,1340.7962646484375,702.06884765625,2888.345947265625,1371.33154296875,182.1201629638672,128.5502471923828,279.1645202636719,699.6452026367188,277.79052734375
16,10,Dbmaj7,Db,18.0,675.1890258789062,604.776611328125,147.3516845703125,101.88643646240234,257.4892272949219,1131.994384765625,219.3026885986328,102.5689926147461,410.3205871582031,89.2044677734375,56.53541946411133,107.50348663330078
17,10,C7sus(07),C,19.0,310.38720703125,189.0927276611328,183.2206573486328,99.65528106689453,256.63134765625,579.1861572265625,231.2969970703125,562.0606689453125,173.1785430908203,66.77489471435547,118.62352752685547,548.1484985351562
18,11,F7,F,20.0,527.8513793945312,154.1427001953125,292.0567932128906,1036.4525146484375,582.733642578125,458.5348815917969,139.16539001464844,148.4544219970703,195.04957580566406,535.8177490234375,157.53761291503906,179.80194091796875
19,11,Bb7,Bb,21.0,171.5711669921875,191.7064208984375,648.4054565429688,419.8143310546875,320.6875915527344,1021.3822631835938,268.8158874511719,108.61370086669922,466.4077453613281,294.2749938964844,572.5819702148438,143.6049041748047
20,12,Ab,Ab,22.0,541.1508178710938,155.4819793701172,251.6549072265625,737.119140625,277.7438049316406,244.9735870361328,77.7633056640625,230.1261444091797,535.2728881835938,123.84466552734375,55.492462158203125,129.85191345214844
21,12,Gbmaj7,Gb,23.0,1338.448974609375,4033.73046875,1020.7443237304688,1717.9764404296875,1448.5277099609375,6505.88671875,3643.352783203125,699.4400024414062,615.4979858398438,1045.439697265625,3608.300537109375,723.14453125
