,Measure,OneShiningSoul,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Db/Gb,Db,0.0,227.8000946044922,601.619140625,154.27239990234375,110.67977142333984,268.8550720214844,1252.174072265625,708.904052734375,200.01979064941406,432.6771545410156,91.42023468017578,74.566650390625,231.5003662109375
1,1,Fmin7,F,1.0,30.85369110107422,95.66616821289062,16.95680046081543,7.313098430633545,33.043968200683594,219.0458526611328,107.259765625,13.725604057312012,22.13657569885254,8.38964557647705,11.111839294433594,45.67070007324219
2,2,Emaj7,E,2.0,457.5774841308594,103.64209747314453,127.50891876220703,783.17919921875,1133.6607666015625,411.2685241699219,220.7303466796875,191.9613494873047,500.8248291015625,110.88529205322266,178.65126037597656,916.2483520507812
3,2,D#7,D#,3.0,134.5268096923828,388.9553527832031,204.65478515625,645.2142944335938,291.9375,103.21324920654297,60.26911926269531,270.1197814941406,83.71702575683594,82.5958480834961,366.8995056152344,152.50657653808594
4,3,E/D,E,4.0,104.32747650146484,54.955081939697266,117.58075714111328,220.79576110839844,444.2585754394531,108.50064086914062,118.78936004638672,93.45323944091797,249.1953887939453,61.01145935058594,81.70812225341797,413.83544921875
5,3,Db,Db,4.666666666666667,22.33062744140625,14.131802558898926,18.11112403869629,51.406742095947266,126.46276092529297,33.85377883911133,44.15420150756836,23.836091995239258,43.54731369018555,10.000204086303711,14.790114402770996,72.13533020019531
6,3,B9,B,5.333333333333333,46.66713333129883,147.69020080566406,45.26263427734375,54.33973693847656,134.1798858642578,310.1619567871094,89.30074310302734,24.552507400512695,70.55669403076172,41.24995422363281,23.161500930786133,44.1967887878418
7,4,D#7,D#,6.0,235.01112365722656,588.4169921875,360.8935852050781,853.4190063476562,237.6252899169922,330.6857604980469,622.0999145507812,543.5697631835938,151.8069305419922,200.89598083496094,636.0827026367188,571.9157104492188
8,4,G#sus,G#,7.0,533.2543334960938,2438.037841796875,577.7689819335938,1464.8607177734375,303.1445617675781,361.8934631347656,415.3018798828125,468.3237609863281,1022.0155639648438,256.26806640625,294.4009094238281,503.1142272949219
9,6,F#min7,F#,10.0,1.3901318311691284,3.2721073627471924,2.614738702774048,8.700627326965332,2.8899691104888916,6.758411884307861,5.402333736419678,1.7259588241577148,1.6072372198104858,1.6917476654052734,2.5341782569885254,4.345566272735596
10,6,B7,B,11.0,168.20034790039062,638.0673828125,168.70018005371094,247.0926055908203,887.107421875,400.58056640625,440.9117126464844,115.58238983154297,271.2012634277344,511.1480407714844,127.82723999023438,68.81287384033203
11,7,Emaj7,E,12.0,106.89132690429688,90.47219848632812,71.56147003173828,483.0359191894531,466.75,119.5006332397461,243.44773864746094,156.25062561035156,586.3416748046875,157.62283325195312,78.7057113647461,216.97900390625
12,7,Dmaj13,D,12.666666666666664,10.858443260192871,18.012165069580078,19.578645706176758,122.0096206665039,186.4421844482422,38.29948806762695,72.3394775390625,61.26772689819336,213.4427947998047,52.11787414550781,19.2357177734375,35.09347152709961
