,Measure,MrClean,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmin7,F,0.0,13774.1875,3053.4111328125,4284.61767578125,22838.587890625,9068.0341796875,14239.8134765625,3101.532470703125,4141.49609375,9339.2802734375,2637.4072265625,1446.6640625,2886.679443359375
1,5,Fmin7,F,8.0,928.3441772460938,259.9736633300781,350.8226013183594,1637.8836669921875,739.0498657226562,948.6262817382812,238.94810485839844,380.33056640625,771.793212890625,228.7597198486328,134.09811401367188,232.2028045654297
2,6,F7,F,10.0,9050.2060546875,2099.199462890625,2910.5947265625,15002.6015625,8073.412109375,6662.046875,2506.768798828125,1774.4173583984375,2076.912353515625,6327.6171875,1703.0672607421875,2019.93212890625
3,9,Fmin7,F,16.0,14119.4208984375,3054.637451171875,4141.69287109375,21210.767578125,8723.5537109375,14351.5712890625,3956.270263671875,4111.02197265625,9411.8974609375,3091.459716796875,4070.332763671875,5134.2861328125
4,13,F,F,24.0,9597.5126953125,1998.6446533203125,604.7841796875,1563.0535888671875,3258.375,16707.837890625,2726.702880859375,1284.995361328125,1585.1199951171875,7117.55908203125,11424.5849609375,2970.407470703125
5,16,C7,C,30.0,6752.6484375,1501.4173583984375,1161.606689453125,4039.137939453125,14652.4033203125,3379.480712890625,1309.5880126953125,5702.69287109375,1464.2703857421875,1613.09375,7990.00537109375,3841.039794921875
