,Measure,Mamacita,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,F7,F,2.0,2351.22509765625,478.2435607910156,394.0906982421875,1583.1011962890625,922.693359375,1168.3873291015625,260.885498046875,227.19189453125,307.3600158691406,883.2927856445312,241.604736328125,434.6592712402344
1,3,F7,F,4.0,2350.97216796875,478.0867919921875,394.4147033691406,1582.09765625,911.564697265625,1097.0875244140625,251.26771545410156,226.80271911621094,307.2887878417969,882.6708374023438,241.6443328857422,434.881591796875
2,4,F7,F,6.0,2240.601806640625,468.0868835449219,393.3844909667969,1575.7225341796875,933.000244140625,1204.8948974609375,269.4032287597656,234.1264190673828,312.3294677734375,888.9004516601562,241.3311309814453,417.8201904296875
3,5,F7,F,8.0,967.8549194335938,259.3493957519531,501.6846618652344,1603.8468017578125,824.5093383789062,758.6994018554688,539.9290771484375,2977.046142578125,725.0088500976562,862.473876953125,221.63743591308594,250.18023681640625
4,6,F7,F,10.0,919.0529174804688,234.89479064941406,343.5414733886719,1577.2684326171875,818.4475708007812,651.8345336914062,149.5496368408203,178.284423828125,259.8226623535156,794.00927734375,210.55084228515625,222.93885803222656
5,7,F7,F,12.0,968.6109008789062,259.74322509765625,501.6300354003906,1601.7496337890625,823.099853515625,750.9525756835938,538.1453247070312,2974.75,724.0178833007812,860.2973022460938,221.38758850097656,250.23052978515625
6,8,F7,F,14.0,3350.155029296875,580.4896850585938,372.9151306152344,1635.3773193359375,868.6279907226562,670.5890502929688,189.89013671875,276.3244323730469,279.5100402832031,810.036376953125,252.54103088378906,580.7523193359375
7,9,F7,F,16.0,1534.0023193359375,444.5779113769531,944.436279296875,409.7466125488281,411.339111328125,1504.0467529296875,432.5063781738281,377.8584289550781,721.4515991210938,655.6915893554688,2545.822509765625,636.7546997070312
8,10,Bb9,Bb,18.0,1006.9667358398438,360.6189270019531,928.052978515625,301.717041015625,503.7706604003906,2362.940673828125,546.6334228515625,260.49066162109375,818.65478515625,529.6585693359375,898.3701782226562,298.6199035644531
9,11,Bb9,Bb,20.0,905.4963989257812,254.1092071533203,520.2559814453125,1663.2396240234375,875.9400024414062,934.35205078125,594.3941650390625,3082.156494140625,749.2163696289062,880.7080688476562,238.28138732910156,242.98558044433594
10,12,F7,F,22.0,3434.606201171875,541.4545288085938,83.70401763916016,239.1902618408203,96.54154205322266,132.25985717773438,73.42418670654297,121.9893569946289,33.291481018066406,24.66044807434082,56.870418548583984,524.2910766601562
11,13,D7(#9),D,24.0,418.6593933105469,246.4480743408203,569.0387573242188,210.23936462402344,487.730224609375,2055.652099609375,952.2324829101562,839.44384765625,276.4058837890625,631.642578125,2472.322998046875,487.3115234375
12,14,Gmin7,G,26.0,22.50501823425293,40.51333999633789,73.50704956054688,75.76629638671875,187.11924743652344,210.10467529296875,63.539791107177734,113.9465103149414,56.86799621582031,79.37590026855469,93.94796752929688,49.60409164428711
13,14,C13,C,26.5,109.18238067626953,35.18434143066406,58.477420806884766,150.350830078125,78.5324935913086,93.00952911376953,38.89130401611328,53.82563400268555,115.991455078125,117.44425201416016,395.683837890625,103.66918182373047
14,14,Gmin7,G,27.0,102.98761749267578,44.01485824584961,70.997314453125,127.0098648071289,82.59783172607422,178.1074981689453,90.31631469726562,134.37432861328125,121.57437896728516,53.79510498046875,107.986083984375,53.9577751159668
15,14,C13,C,27.5,150.1005096435547,60.39649963378906,81.22576141357422,188.6675567626953,134.30455017089844,118.885498046875,51.62088394165039,94.2071762084961,113.44659423828125,84.92561340332031,307.8584289550781,101.94562530517578
16,15,Fmin7,F,28.0,100.31912231445312,40.01253890991211,54.96099853515625,141.4003448486328,75.1706314086914,104.92484283447266,69.8294448852539,115.9615707397461,103.5834732055664,53.8058967590332,105.93045043945312,53.29484176635742
17,15,Bb13,Bb,28.5,107.83246612548828,37.25434112548828,35.85220718383789,122.1438217163086,70.37406921386719,120.56253814697266,59.98897171020508,75.25048828125,48.6328239440918,59.81821823120117,33.1284294128418,24.450111389160156
18,15,Fmin7,F,29.0,143.35348510742188,30.631994247436523,27.740205764770508,75.77934265136719,48.05600357055664,48.82218551635742,23.625463485717773,17.88486671447754,11.557581901550293,10.258889198303223,14.822489738464355,38.68659973144531
19,15,Bb13,Bb,29.5,301.3612365722656,49.796016693115234,18.63191795349121,35.02254867553711,17.460535049438477,23.895044326782227,11.830418586730957,15.858787536621094,5.752511978149414,4.932895183563232,11.223639488220215,54.2642822265625
20,16,F7,F,30.0,955.9533081054688,174.2869415283203,80.56745910644531,218.469482421875,142.75253295898438,564.8724975585938,116.32574462890625,82.154296875,53.57913589477539,104.41262817382812,47.532501220703125,188.2036590576172
21,17,Gb13,Gb,32.0,1004.9109497070312,525.1866455078125,559.6843872070312,1718.8306884765625,1346.0325927734375,828.5221557617188,694.5354614257812,2959.264404296875,780.6422729492188,845.9491577148438,284.2760009765625,402.674072265625
22,18,F7,F,34.0,376.7887268066406,429.7261047363281,315.9992370605469,1450.265625,759.00537109375,723.8203735351562,230.09605407714844,97.9352035522461,105.48616790771484,88.43853759765625,90.95758819580078,120.42522430419922
23,22,Bb7,Bb,42.0,7.69467306137085,31.85590362548828,157.0779266357422,32.65993118286133,99.58200073242188,509.0221862792969,79.5265884399414,11.110703468322754,45.74209976196289,23.637014389038086,15.380775451660156,4.0112457275390625
24,24,F7,F,46.0,97.64507293701172,37.20925521850586,96.37347412109375,449.4759826660156,159.08358764648438,303.5075378417969,44.987064361572266,18.845468521118164,12.568955421447754,20.720949172973633,9.114701271057129,27.094579696655273
