,Measure,Midnight Blue,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmin7,F,0.0,599.5740356445312,152.4220428466797,204.0455780029297,806.3162231445312,420.5048828125,392.77392578125,109.04742431640625,325.0500183105469,1360.4735107421875,285.20904541015625,66.79645538330078,159.4921112060547
1,1,Gmin7,G,1.0,147.20452880859375,136.81890869140625,382.4617919921875,348.8009338378906,296.4360046386719,1058.1431884765625,368.3902893066406,535.1043090820312,188.83946228027344,392.7508544921875,1710.1099853515625,319.8238830566406
2,2,Abmaj7,Ab,2.0,872.2671508789062,222.42950439453125,318.8997497558594,761.6437377929688,312.3177185058594,289.6360168457031,147.3968505859375,673.7268676757812,538.5867919921875,130.86672973632812,86.8809585571289,222.05206298828125
3,2,Gmin7,G,3.0,114.37017822265625,130.7997283935547,389.0723571777344,366.5885314941406,252.34747314453125,856.083984375,380.72802734375,691.5208129882812,186.06048583984375,363.431396484375,1341.1182861328125,240.17906188964844
4,3,Fmin7,F,4.0,616.9000244140625,161.4066162109375,293.7838439941406,840.5436401367188,440.4056091308594,542.7420654296875,142.8678741455078,350.078125,1364.530029296875,297.2267761230469,77.15076446533203,168.06744384765625
5,3,Gmin7,G,5.0,147.24545288085938,137.31094360351562,384.3639831542969,350.2662353515625,289.1831970214844,1039.2828369140625,368.0163269042969,523.2626342773438,187.8109588623047,397.2776794433594,1718.5260009765625,320.4263610839844
6,4,Abmaj7,Ab,6.0,872.1826171875,222.32154846191406,318.4211730957031,761.5870971679688,312.5039367675781,290.6477966308594,148.06199645996094,677.7839965820312,539.2522583007812,130.80772399902344,86.97530364990234,221.98109436035156
7,4,Gmin7,G,7.0,114.36812591552734,130.8080596923828,389.111328125,366.5941467285156,252.3399658203125,856.115966796875,380.7529296875,691.6483764648438,186.09002685546875,363.4084777832031,1341.12744140625,240.18040466308594
8,5,Fmin7,F,8.0,636.873046875,168.1245880126953,296.0649719238281,797.0139770507812,415.788818359375,522.7011108398438,137.2370147705078,262.0536193847656,486.3033752441406,164.7854766845703,74.9188003540039,168.79344177246094
9,5,Fmin7,F,9.0,568.0469360351562,178.4586639404297,220.47027587890625,612.5108032226562,325.76116943359375,282.55316162109375,209.876953125,242.50575256347656,340.6883239746094,96.15876007080078,81.2488784790039,322.1590881347656
10,6,Abmaj7,Ab,10.0,481.8827819824219,157.91481018066406,270.4581604003906,778.5693969726562,277.51324462890625,249.6559600830078,150.9229278564453,612.5380249023438,529.0980834960938,147.6636505126953,69.93042755126953,155.49130249023438
11,6,C7(#9),C,11.0,316.8126220703125,80.70673370361328,69.38055419921875,364.0799560546875,744.4035034179688,153.4529571533203,72.50434875488281,321.7421875,92.033203125,77.0165023803711,369.7725830078125,173.71771240234375
12,7,Fmin7,F,12.0,734.5145874023438,176.8815460205078,201.50526428222656,781.9601440429688,542.3809814453125,397.069091796875,105.09636688232422,242.66864013671875,488.0369567871094,130.71046447753906,72.81066131591797,182.7035675048828
13,7,Gmin7,G,13.0,128.2468719482422,94.48709869384766,255.6671600341797,341.8594055175781,222.5150146484375,665.1705932617188,287.4742736816406,301.1069641113281,202.1841278076172,369.9837951660156,1344.5908203125,302.5809631347656
14,8,Abmaj,Ab,14.0,539.7167358398438,154.4414825439453,214.9181365966797,523.22509765625,272.6614685058594,439.3343200683594,104.7729721069336,277.1265869140625,502.9181213378906,143.418701171875,73.51040649414062,144.3929901123047
15,8,C7(#9),C,15.0,502.0998840332031,151.03799438476562,197.5764617919922,632.0823364257812,1226.258544921875,261.3529968261719,120.2291030883789,491.5332336425781,128.3160858154297,180.807861328125,878.08349609375,287.9421081542969
16,9,Fmin7,F,16.0,621.0730590820312,148.42974853515625,183.87168884277344,797.4122924804688,580.883544921875,452.6474914550781,118.5801773071289,261.13330078125,501.8183898925781,166.2867431640625,101.00432586669922,169.87228393554688
17,9,Fmin7,F,17.0,562.842529296875,170.41139221191406,193.87062072753906,622.9619750976562,345.0425109863281,255.27369689941406,204.81512451171875,237.9441680908203,341.19757080078125,97.6365966796875,83.68268585205078,309.9216003417969
18,10,Abmaj7,Ab,18.0,484.1929931640625,153.14646911621094,214.43565368652344,613.2748413085938,272.4369812011719,260.12841796875,151.3610076904297,611.65478515625,532.1522827148438,152.5899200439453,82.97684478759766,159.21661376953125
19,10,C7(#9),C,19.0,316.5647888183594,80.24700164794922,67.58133697509766,362.4693298339844,742.3515014648438,150.53855895996094,70.72185516357422,319.3610534667969,92.47232818603516,77.2479476928711,371.0877380371094,172.41941833496094
20,11,Fmin7,F,20.0,735.66162109375,178.00083923339844,203.4953155517578,781.072021484375,541.7402954101562,397.3218078613281,105.09014129638672,244.5183868408203,487.215087890625,129.19549560546875,72.29536437988281,181.51287841796875
21,11,C7(#9),C,21.0,341.8424072265625,138.4384002685547,146.9853057861328,459.861083984375,734.255615234375,277.1673583984375,159.60633850097656,317.8707580566406,193.0264892578125,267.4605407714844,1323.5072021484375,380.72216796875
22,12,Fmin7,F,22.0,2131.7568359375,484.4517822265625,523.7281494140625,2008.6239013671875,1852.0245361328125,1645.9068603515625,355.038818359375,838.1946411132812,1707.3043212890625,475.5129699707031,420.8506164550781,550.3519897460938
23,13,Fmin7,F,24.0,2064.090576171875,474.0372619628906,601.3555297851562,2546.747314453125,1271.5338134765625,1362.0421142578125,295.6470642089844,667.1737670898438,1636.9840087890625,378.9268798828125,217.764404296875,486.3666076660156
24,14,C7,C,26.0,1739.5750732421875,455.3420715332031,276.6262512207031,856.846923828125,3880.338623046875,721.7105102539062,293.156494140625,1497.19482421875,427.1744689941406,345.2216796875,1690.6435546875,759.968994140625
25,15,Fmin7,F,28.0,2371.8017578125,540.4789428710938,641.3047485351562,2685.393310546875,1289.7325439453125,1375.052734375,304.8946533203125,697.4926147460938,1651.76171875,374.3721618652344,177.6717071533203,513.7323608398438
26,16,Bb9,Bb,30.0,2325.530029296875,734.0413208007812,2030.0400390625,589.8540649414062,765.776123046875,3177.835693359375,779.484619140625,357.80908203125,1404.8607177734375,841.5134887695312,1985.1270751953125,649.5302124023438
27,17,Bbmin7,Bb,32.0,711.075439453125,1718.87451171875,467.2886047363281,284.4432678222656,633.8124389648438,3076.875244140625,542.223388671875,254.1488037109375,1284.17041015625,704.3956909179688,1983.2677001953125,445.2073974609375
28,18,Abmin7,Ab,34.0,385.6795959472656,263.9852600097656,625.412841796875,2828.260498046875,503.3013916015625,791.172607421875,3855.656005859375,1023.0527954101562,1604.8106689453125,608.8179321289062,2239.669677734375,2047.9520263671875
29,19,C7,C,36.0,1747.8621826171875,384.2659606933594,275.6114501953125,883.949951171875,3893.693603515625,744.2216796875,346.1763000488281,1638.2362060546875,1223.6279296875,511.7631530761719,1876.1680908203125,844.2548828125
30,20,Fmin7,F,38.0,498.2759094238281,146.82723999023438,233.4452362060547,869.90185546875,429.6554870605469,440.9763488769531,122.22603607177734,239.2624053955078,476.6380615234375,124.02450561523438,61.050296783447266,136.4858856201172
31,20,C7(#9),C,39.0,166.0378875732422,51.5577278137207,64.57462310791016,375.8209533691406,795.231689453125,185.24195861816406,67.5445785522461,288.1175231933594,95.17186737060547,126.06768798828125,734.344970703125,201.2777099609375
32,21,C7(#9),C,40.0,1815.6221923828125,394.089111328125,331.9088134765625,1283.7945556640625,3961.014892578125,757.8694458007812,342.8830871582031,1664.3233642578125,431.4976806640625,353.5009765625,1723.2923583984375,807.4982299804688
33,22,Fmin7,F,42.0,600.1740112304688,161.30374145507812,210.2119903564453,755.876220703125,406.9271545410156,404.079833984375,102.56339263916016,228.4160614013672,473.3573913574219,121.22994232177734,54.61805725097656,154.30877685546875
34,22,G7,G,43.0,250.25225830078125,142.8179168701172,385.5921630859375,428.9685974121094,359.8228454589844,1289.18701171875,450.3670349121094,518.6325073242188,138.53656005859375,84.70687103271484,139.34507751464844,583.4514770507812
35,23,Abmaj7,Ab,44.0,534.2394409179688,165.34886169433594,300.1186218261719,744.1107788085938,288.688720703125,281.2032165527344,140.9779510498047,572.2059936523438,510.9725341796875,123.651611328125,74.10735321044922,218.72483825683594
36,23,Gmin7,G,45.0,1109.6107177734375,966.9750366210938,3241.021728515625,3082.632568359375,1942.6951904296875,8163.53857421875,2531.316650390625,4325.48779296875,1059.69140625,1601.82470703125,4552.162109375,1195.60986328125
37,26,Fmin7,F,50.0,595.8524169921875,159.22491455078125,211.1313018798828,761.7731323242188,399.5397033691406,364.2763977050781,98.19522857666016,218.79396057128906,475.1806640625,123.0522689819336,59.86015701293945,154.10342407226562
38,26,G7,G,51.0,248.96449279785156,145.21865844726562,391.7772521972656,448.7926025390625,346.8482666015625,1269.1585693359375,455.1452941894531,526.8765258789062,139.8849639892578,84.00685119628906,136.97166442871094,581.623291015625
39,27,Abmaj7,Ab,52.0,532.4482421875,162.78778076171875,298.05596923828125,753.8059692382812,290.7586975097656,288.6663513183594,140.85633850097656,566.1881713867188,510.1256408691406,124.4094009399414,78.15792083740234,217.78395080566406
40,27,Gmin7,G,53.0,54.846923828125,23.168603897094727,48.62983703613281,193.5385284423828,36.225502014160156,34.727210998535156,16.591318130493164,48.160552978515625,12.569964408874512,3.400087356567383,6.087717533111572,22.813066482543945
41,28,Fmin7,F,54.0,634.2417602539062,199.65892028808594,277.9933776855469,761.7034301757812,436.9068908691406,512.9525146484375,140.04754638671875,240.067138671875,457.3210144042969,169.0894012451172,183.36509704589844,185.85791015625
42,28,G7,G,55.0,250.9132080078125,143.8898468017578,380.0541076660156,446.0542907714844,328.9264221191406,1152.1905517578125,426.9120788574219,525.95947265625,139.89784240722656,84.02687072753906,141.31900024414062,576.9622192382812
43,29,Abmaj7,Ab,56.0,1792.3148193359375,486.7919616699219,892.3098754882812,2624.898681640625,970.5087890625,942.94091796875,437.2856140136719,1877.09716796875,1752.6986083984375,363.9502868652344,239.5370330810547,723.0986328125
44,30,Gmin7,G,58.0,200.3064422607422,314.2450866699219,1092.4422607421875,389.9555969238281,697.9033813476562,3041.287109375,1038.0145263671875,1655.4249267578125,394.8289794921875,705.4111328125,1930.9532470703125,393.020263671875
45,31,C7,C,60.0,1698.7637939453125,368.3380432128906,347.1591796875,811.9749145507812,3877.515380859375,788.1404418945312,290.4783020019531,1459.4605712890625,404.4266357421875,344.12548828125,1688.5982666015625,755.7827758789062
46,32,Fmin7,F,62.0,2058.619384765625,491.4320068359375,636.0421752929688,2626.750244140625,1256.7445068359375,1285.1312255859375,301.169677734375,691.5856323242188,1623.0152587890625,366.08837890625,176.94871520996094,465.9166259765625
47,33,Fmin7,F,64.0,2060.978271484375,475.5315856933594,628.0035400390625,2584.999267578125,1251.3121337890625,1450.939453125,306.3645324707031,661.6854248046875,1618.01806640625,368.7409973144531,178.54566955566406,478.135986328125
48,34,Bbmin7,Bb,66.0,512.4935302734375,1727.9222412109375,382.5755615234375,276.4059143066406,721.6344604492188,3338.655517578125,574.8173828125,250.68963623046875,1302.4642333984375,690.4067993164062,1995.9632568359375,399.1549072265625
49,35,Bbmin7,Bb,68.0,506.3779296875,1699.6376953125,407.728271484375,264.2129211425781,638.0194091796875,3098.695556640625,548.3801879882812,245.04783630371094,1289.649658203125,703.3134765625,1952.2261962890625,383.4586181640625
50,36,Db9,Db,70.0,567.2485961914062,613.9443969726562,738.2183227539062,2962.729248046875,974.1918334960938,1773.2576904296875,531.9619140625,586.3811645507812,1795.6943359375,467.0213928222656,543.3424682617188,2029.7095947265625
