,Measure,Twistin',chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,5,A,A,8.0,413.0445251464844,2010.9945068359375,375.2038269042969,705.1077270507812,4213.11279296875,785.9396362304688,802.7821655273438,243.32664489746094,473.82763671875,539.4484252929688,195.48377990722656,156.9936981201172
1,7,F#min7,F#,12.0,656.4487915039062,2508.984130859375,466.8384094238281,772.1017456054688,3774.754638671875,935.5735473632812,2007.1378173828125,362.4395446777344,954.8512573242188,4427.91748046875,876.4381713867188,987.5972290039062
2,9,D7,D,16.0,1944.541015625,699.4688110351562,1764.4691162109375,405.2454528808594,298.7987365722656,571.1837768554688,3314.185791015625,571.0092163085938,817.4237670898438,5491.884765625,1018.3157348632812,1269.5797119140625
3,11,E7,E,20.0,432.3384704589844,541.1014404296875,1586.04736328125,988.5518188476562,4332.90771484375,699.3056030273438,571.6558227539062,308.988525390625,1866.0828857421875,6389.734375,1295.263671875,2294.9619140625
4,13,A,A,24.0,410.8015441894531,2005.6439208984375,378.2032470703125,702.595947265625,4194.7646484375,785.6799926757812,808.6176147460938,242.8387451171875,465.3589782714844,531.7230834960938,194.4822998046875,157.5697479248047
5,15,F#min7,F#,28.0,650.3489990234375,2524.52685546875,469.1269226074219,777.8153686523438,3871.6640625,959.587646484375,2000.982421875,368.4928283691406,1416.6695556640625,7724.44921875,1350.112548828125,922.557373046875
6,17,D7,D,32.0,2234.96484375,748.7830200195312,1856.056640625,564.6483764648438,335.0486145019531,641.40869140625,3906.924560546875,717.3001098632812,841.57177734375,5530.14794921875,1278.3634033203125,2863.595458984375
7,19,E7,E,36.0,530.3397827148438,1373.8397216796875,1734.3585205078125,985.9225463867188,4179.56982421875,714.324462890625,492.7833557128906,299.2577209472656,1481.4254150390625,1828.39697265625,598.2561645507812,2236.304443359375
8,21,A,A,40.0,382.463134765625,1896.1427001953125,322.5750427246094,627.4691162109375,3681.181884765625,559.9677734375,47.052947998046875,77.33367156982422,1436.7548828125,8350.228515625,1152.34765625,107.3057861328125
9,23,F#min7,F#,44.0,622.9585571289062,2667.155029296875,491.3964538574219,780.1491088867188,4324.349609375,1133.068603515625,2210.051513671875,428.4294128417969,2793.509765625,17012.025390625,2794.616455078125,517.2554321289062
10,25,D7,D,48.0,1764.6114501953125,627.9136352539062,1713.7744140625,293.9684753417969,179.3249969482422,488.2095642089844,2908.799560546875,458.5816345214844,1230.1676025390625,8801.2509765625,1250.4305419921875,358.6898498535156
11,27,E7,E,52.0,149.16607666015625,463.9193420410156,670.4240112304688,329.9986877441406,1363.55078125,229.5214080810547,107.6514663696289,93.19408416748047,448.9537048339844,89.2813949584961,96.91187286376953,568.9725952148438
12,28,A7,A,54.0,414.1749572753906,2107.542236328125,393.7768249511719,621.070556640625,3551.278076171875,613.2734375,277.58209228515625,1498.8179931640625,900.804443359375,2250.903076171875,335.6299743652344,154.83029174804688
13,30,A7,A,58.0,50.3883056640625,239.7207794189453,52.53584671020508,116.1402816772461,535.5762939453125,95.84097290039062,23.313310623168945,113.2003173828125,36.379356384277344,26.826719284057617,7.488147735595703,18.16975975036621
14,31,A,A,60.0,135.7506561279297,692.225341796875,141.77940368652344,314.1965637207031,1585.0556640625,269.409423828125,25.834489822387695,42.48453903198242,58.27936935424805,67.5206069946289,17.453859329223633,48.116329193115234
15,33,F#min7,F#,64.0,183.4391326904297,896.8563842773438,176.2841339111328,327.1424865722656,1602.3045654296875,399.2475280761719,747.5940551757812,105.31463623046875,65.77120971679688,78.57158660888672,44.92860794067383,56.03706359863281
16,35,D7,D,68.0,335.0323181152344,167.4391632080078,504.0290832519531,87.85272979736328,44.26408386230469,166.95034790039062,1025.5697021484375,138.072509765625,37.68470764160156,205.5858154296875,47.93723678588867,54.889835357666016
17,37,E7,E,72.0,62.5510139465332,60.505252838134766,288.6680603027344,351.0308837890625,1673.99365234375,259.4573059082031,76.13777160644531,45.06547927856445,225.24305725097656,65.0871810913086,62.289188385009766,316.4824523925781
18,39,A,A,76.0,137.0099639892578,693.3627319335938,144.7032470703125,315.190185546875,1582.5926513671875,269.1383361816406,24.131317138671875,19.65209197998047,59.459468841552734,66.76253509521484,16.49294090270996,46.254154205322266
19,41,F#min,F#,80.0,49.62907028198242,318.11676025390625,44.86565017700195,12.530716896057129,35.31208038330078,157.14602661132812,995.4103393554688,131.16175842285156,35.34374237060547,210.5557098388672,41.588768005371094,14.722575187683105
20,43,D7,D,84.0,331.3490905761719,134.0259246826172,500.6163635253906,85.65975189208984,28.489168167114258,160.47259521484375,1020.67333984375,137.46104431152344,35.66590881347656,203.3499298095703,46.676300048828125,53.778141021728516
21,45,E7,E,88.0,128.5303192138672,75.86309814453125,119.52660369873047,189.5902099609375,670.4095458984375,152.17271423339844,236.72898864746094,78.8730239868164,392.5821228027344,2107.04296875,433.9053955078125,735.1677856445312
22,46,A,A,90.0,113.19754028320312,569.34765625,130.68849182128906,266.8130187988281,1308.6502685546875,221.2276153564453,28.397218704223633,22.736663818359375,85.28214263916016,226.2212677001953,38.29966354370117,38.367610931396484
