,Measure,ItAintNec(Green),chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ebmin7,Eb,0.0,99.13178253173828,548.6045532226562,314.8307189941406,908.62548828125,175.78074645996094,239.9654541015625,1035.0875244140625,199.8275909423828,49.83180618286133,102.66656494140625,563.8964233398438,101.25423431396484
1,1,Db,Db,1.0,191.7230224609375,592.2079467773438,163.81727600097656,297.140380859375,256.928466796875,1131.2813720703125,332.145751953125,96.85468292236328,405.2820129394531,83.30732727050781,49.96418762207031,41.741268157958984
2,2,B,B,2.0,124.07624053955078,115.74886322021484,199.60536193847656,964.3490600585938,211.75108337402344,444.4906005859375,1106.9857177734375,190.1863250732422,37.50657653808594,41.69335174560547,154.2158660888672,505.0218811035156
3,2,Bb7,Bb,3.0,94.80988311767578,154.23321533203125,635.4902954101562,420.6029968261719,249.445068359375,848.7996215820312,368.7867126464844,117.39813232421875,469.2470397949219,311.3504943847656,563.566650390625,200.9640655517578
4,3,Ebmin7,Eb,4.0,117.63906860351562,644.8999633789062,379.6788024902344,908.8423461914062,212.81298828125,484.1048278808594,1115.1685791015625,209.4980010986328,74.13134765625,117.07025146484375,585.0028686523438,115.8407211303711
5,3,Db,Db,5.0,9.743285179138184,42.939456939697266,41.32759475708008,186.6048583984375,35.73068618774414,43.922607421875,108.30103302001953,17.63203239440918,4.477364540100098,6.472218036651611,34.613155364990234,12.86920166015625
6,4,B,B,6.0,213.73240661621094,306.52197265625,269.1793212890625,986.0108032226562,234.51097106933594,571.8505859375,1165.7493896484375,245.82098388671875,136.092529296875,56.89057922363281,142.2486572265625,505.7750244140625
7,4,Bb7,Bb,7.0,100.5753173828125,197.36534118652344,667.7755737304688,414.2344970703125,243.197509765625,821.8256225585938,361.8495178222656,119.03070068359375,477.5391845703125,324.93218994140625,669.31689453125,222.67408752441406
8,5,Ebmin7,Eb,8.0,132.43052673339844,521.2473754882812,380.4441833496094,926.4540405273438,223.91221618652344,519.1875610351562,1141.6663818359375,217.57513427734375,76.11262512207031,131.92481994628906,719.6309204101562,266.07440185546875
9,5,Db,Db,9.0,70.04730224609375,177.3818359375,95.64703369140625,254.8034210205078,119.59346771240234,334.375244140625,171.37144470214844,73.73401641845703,327.908447265625,171.0596160888672,82.31693267822266,34.960411071777344
10,6,B,B,10.0,141.0440673828125,178.38922119140625,237.15260314941406,990.3692016601562,229.35137939453125,478.2662658691406,1113.7589111328125,213.86248779296875,228.21331787109375,99.72093963623047,175.9937286376953,502.8427429199219
11,6,Bb7,Bb,11.0,25.54547119140625,30.816627502441406,77.8077621459961,197.285400390625,58.27846908569336,119.80657196044922,143.24034118652344,29.48723602294922,44.644039154052734,44.01389694213867,136.39877319335938,109.84896087646484
12,7,Ebmin,Eb,12.0,40.992122650146484,84.92102813720703,395.3443298339844,927.59716796875,209.0468292236328,435.8358154296875,1128.4227294921875,214.84210205078125,89.08199310302734,147.7139434814453,704.6709594726562,136.21888732910156
13,7,Db,Db,13.0,9.302891731262207,13.621788024902344,47.03402328491211,209.42938232421875,49.72959899902344,69.00852966308594,163.76698303222656,50.26042175292969,179.5924072265625,54.3047981262207,42.12151336669922,12.745150566101074
14,8,B,B,14.0,110.61062622070312,131.3091583251953,125.62234497070312,460.2167053222656,123.71319580078125,271.4077453613281,548.6015014648438,144.89244079589844,177.6027374267578,56.3224983215332,72.28264617919922,220.3841094970703
15,8,Gb7,Gb,14.666666666666664,19.980527877807617,29.081626892089844,42.63782501220703,135.58114624023438,34.21817398071289,108.29808807373047,147.86390686035156,25.575773239135742,9.370688438415527,5.319462776184082,18.557859420776367,55.32371520996094
16,8,A7,A,15.333333333333336,52.9079704284668,147.45875549316406,54.361324310302734,112.10179901123047,359.574462890625,163.2633514404297,169.33140563964844,64.14098358154297,38.6949577331543,168.2323760986328,684.795166015625,146.7616729736328
17,9,Amin7,A,16.0,547.7265014648438,258.83685302734375,124.67764282226562,552.5581665039062,1059.5377197265625,278.4161682128906,193.8019256591797,568.5975341796875,266.9333190917969,479.6588439941406,314.330810546875,218.24151611328125
18,9,Db7,Db,17.0,174.4776153564453,196.3001251220703,69.33846282958984,95.6406021118164,289.5274963378906,579.2514038085938,136.70120239257812,75.86853790283203,135.26881408691406,72.91548919677734,40.755943298339844,135.37181091308594
19,10,Gbmin7,Gb,18.0,230.3155975341797,922.0698852539062,232.4175567626953,241.39617919921875,864.4696655273438,633.796630859375,489.9866943359375,143.9931182861328,413.0067138671875,550.6144409179688,143.66932678222656,111.66818237304688
20,10,B7,B,19.0,121.61812591552734,184.89097595214844,208.9065704345703,990.675048828125,340.43768310546875,206.6961669921875,1008.471923828125,231.4167022705078,67.27515411376953,295.4723205566406,203.13050842285156,566.3062133789062
21,11,Ab/Bb,Ab,20.0,522.8849487304688,184.14134216308594,245.4686737060547,817.8392944335938,291.3844909667969,163.7591094970703,182.92335510253906,264.7969970703125,472.5433044433594,173.38124084472656,301.0412902832031,215.4484405517578
22,11,Bb7,Bb,21.0,255.3781280517578,937.2553100585938,625.4428100585938,290.6462707519531,207.4468231201172,760.0101928710938,203.2646026611328,66.4615478515625,338.9980773925781,226.9488067626953,595.3784790039062,134.3393096923828
23,12,Ab7(#11),Ab,22.0,234.5084991455078,126.27938079833984,343.6846618652344,364.3953552246094,246.0186004638672,797.5830688476562,465.7879333496094,143.5291290283203,198.95188903808594,59.86771011352539,41.181827545166016,83.12931060791016
24,13,Ebmin7,Eb,24.0,137.74887084960938,551.6906127929688,333.98089599609375,849.2012329101562,178.90138244628906,245.1339874267578,949.9824829101562,189.0386199951172,53.91611862182617,121.65618896484375,681.1187744140625,144.63600158691406
25,13,Db,Db,25.0,18.885480880737305,28.679779052734375,40.25038528442383,188.3289031982422,39.81879425048828,36.5996208190918,145.39442443847656,49.58140563964844,182.81724548339844,56.35688400268555,44.68832015991211,12.39649486541748
26,14,B,B,26.0,217.7483673095703,314.6302185058594,244.29150390625,976.6647338867188,238.6338653564453,574.1494750976562,1175.197998046875,270.4620056152344,324.9106140136719,104.70813751220703,169.17886352539062,509.6666564941406
27,14,Bb7,Bb,27.0,108.87413787841797,197.8582305908203,650.8226928710938,408.3673095703125,241.27635192871094,815.7521362304688,363.259033203125,119.50635528564453,479.026123046875,328.4154968261719,679.0625610351562,227.1295623779297
28,15,Ebmin,Eb,28.0,34.14118957519531,53.989959716796875,299.3708190917969,910.840576171875,204.90135192871094,463.9913024902344,1123.0615234375,203.50709533691406,54.81234359741211,127.81338500976562,714.3366088867188,138.34579467773438
29,15,Db,Db,29.0,29.462263107299805,54.9876594543457,53.72208786010742,209.9512481689453,64.52273559570312,127.5400619506836,159.90203857421875,56.62258529663086,205.4253692626953,64.43335723876953,52.94685363769531,18.684431076049805
30,16,B,B,30.0,59.87332534790039,80.20640563964844,133.40126037597656,456.1108093261719,109.1734848022461,193.81239318847656,509.5243225097656,114.10525512695312,139.87525939941406,55.782588958740234,81.51407623291016,228.06890869140625
31,16,Bb,Bb,30.66666666666667,26.530797958374023,53.28983688354492,135.4783172607422,198.42311096191406,90.97637939453125,158.08236694335938,175.40501403808594,36.23685073852539,21.81867218017578,57.34652328491211,97.62928009033203,67.2171401977539
32,16,A7,A,31.33333333333333,64.25762176513672,216.29722595214844,138.6700439453125,161.24932861328125,397.2635803222656,252.9309539794922,155.4331512451172,219.22569274902344,138.4459228515625,357.2033996582031,792.3322143554688,183.24534606933594
33,17,Abmin7,Ab,32.0,134.63331604003906,179.53118896484375,288.24560546875,1162.54638671875,503.4209289550781,391.5515441894531,1164.1759033203125,463.4113464355469,488.4373779296875,179.3123016357422,380.351318359375,600.4520874023438
34,17,Db7,Db,33.0,323.8414001464844,542.2030029296875,179.42881774902344,397.1539001464844,328.85565185546875,1204.7408447265625,388.3570861816406,121.3032455444336,437.25830078125,130.95884704589844,180.06488037109375,931.5009155273438
35,18,Gbmin,Gb,34.0,159.7633819580078,781.7940063476562,156.6073760986328,78.0185317993164,150.1415557861328,544.6973266601562,1161.53564453125,238.0196533203125,314.6083679199219,454.5823669433594,98.22149658203125,121.65481567382812
36,18,B7,B,35.0,131.9688720703125,199.2159881591797,276.6701965332031,1111.8675537109375,218.56935119628906,254.7670440673828,1252.6297607421875,288.3016357421875,104.84680938720703,411.8982849121094,233.7307586669922,581.6920776367188
37,19,Ab/Bb,Ab,36.0,554.3833618164062,188.2407989501953,235.28868103027344,827.2145385742188,291.6285705566406,156.31021118164062,240.0288848876953,276.60443115234375,467.96337890625,216.04986572265625,295.8893127441406,231.08119201660156
38,19,Bb7(#9),Bb,37.0,346.0633239746094,1324.3416748046875,874.0678100585938,474.0921325683594,300.1230773925781,922.9866333007812,284.23553466796875,157.87745666503906,644.357421875,341.7188415527344,432.1540222167969,141.50794982910156
39,20,Ab7(#11),Ab,38.0,5743.32568359375,2642.949462890625,7900.78271484375,8889.3876953125,2656.633544921875,4764.90478515625,10294.6962890625,3090.948974609375,4792.3056640625,1087.9654541015625,834.8668823242188,1290.2315673828125
