,Measure,BithAneth,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,B,B,0.0,1702.8046875,380.9579772949219,914.3350219726562,4311.84423828125,690.872314453125,797.8085327148438,4285.26708984375,756.7285766601562,178.81109619140625,289.09075927734375,1938.2860107421875,10421.2939453125
1,2,C,C,2.0,412341.46875,68079.2265625,26415.892578125,67119.8671875,194071.75,46030.01171875,102545.7109375,324740.4375,60079.95703125,15127.7958984375,23671.013671875,119242.9921875
2,18,B,B,34.0,116.30773162841797,59.57096862792969,203.56483459472656,975.6631469726562,172.65374755859375,207.7000732421875,1092.0526123046875,195.29969787597656,20.690664291381836,34.457191467285156,158.58168029785156,528.0303344726562
3,18,C,C,35.0,119734.1015625,22037.611328125,17190.392578125,92024.3515625,227467.765625,41107.75390625,51527.72265625,108498.6015625,25368.90625,7677.84619140625,14651.8154296875,66896.6796875
