,Measure,BluesMarch,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,167.6068572998047,221.15785217285156,924.018310546875,241.9336700439453,377.0713806152344,1878.1109619140625,458.2921142578125,195.2985076904297,712.4623413085938,723.135009765625,2567.948486328125,437.1844177246094
1,2,Eb7,Eb,2.0,261.5035705566406,1441.9329833984375,610.57470703125,1417.1888427734375,343.50927734375,382.8248596191406,211.5341033935547,697.9033203125,340.9319763183594,751.3748168945312,4564.4521484375,741.0869750976562
2,3,Bb7,Bb,4.0,592.4194946289062,1004.4454956054688,4591.10791015625,1484.07568359375,1620.2335205078125,8416.6806640625,1888.6722412109375,728.5778198242188,2937.9296875,3064.106689453125,12490.3134765625,1940.0472412109375
3,5,Eb7,Eb,8.0,29.647607803344727,48.40273666381836,39.40715026855469,71.78736877441406,43.40890884399414,171.79380798339844,41.622554779052734,49.462894439697266,27.35325050354004,48.714874267578125,104.01317596435547,27.81385612487793
4,5,Ab7,Ab,9.0,562.8456420898438,356.0857849121094,230.30413818359375,727.5564575195312,250.52301025390625,272.4283447265625,1117.4427490234375,521.45703125,574.5560913085938,140.61289978027344,119.57732391357422,154.8791961669922
5,6,Db7,Db,10.0,133.62535095214844,170.9877166748047,79.0758285522461,232.79933166503906,64.78382110595703,150.6015625,166.20558166503906,47.022762298583984,106.78982543945312,209.7021026611328,994.9059448242188,190.9038848876953
6,6,Gb7,Gb,11.0,77.98959350585938,162.71226501464844,48.50349807739258,116.19500732421875,144.4778594970703,321.86016845703125,90.31246948242188,110.67425537109375,714.8464965820312,151.6007537841797,71.73529815673828,94.70780181884766
7,7,Gmin7,G,12.0,110.4082260131836,457.2855529785156,142.04469299316406,198.2832489013672,341.1957702636719,241.789794921875,164.53260803222656,76.87059783935547,38.3718147277832,45.928375244140625,103.09158325195312,47.98390197753906
8,7,Ab7,Ab,13.0,49.90195846557617,56.11814498901367,96.94391632080078,81.24785614013672,124.54315948486328,356.5621032714844,163.14768981933594,102.697265625,47.90629196166992,39.092533111572266,52.77170944213867,23.195945739746094
9,8,A7,A,14.0,83.78926849365234,23.060325622558594,37.740901947021484,122.18827056884766,59.37398910522461,104.32418823242188,107.97183227539062,73.99348449707031,280.88995361328125,56.73585510253906,8.327815055847168,18.912565231323242
10,8,Bb7,Bb,14.666666666666664,42.82027816772461,116.4691390991211,51.14829635620117,104.78308868408203,202.90240478515625,64.62255096435547,59.993289947509766,98.21798706054688,61.9660758972168,70.16222381591797,13.792750358581543,17.21929168701172
11,8,G7,G,15.333333333333336,52.89655685424805,86.45687866210938,254.5606231689453,83.41251373291016,132.1516876220703,376.0968322753906,156.05686950683594,85.14091491699219,168.24778747558594,147.0060577392578,233.6633758544922,68.0107650756836
12,9,Cmin7,C,16.0,1136.9217529296875,893.54345703125,1066.4595947265625,1876.04052734375,1148.9444580078125,2791.509521484375,913.301513671875,1601.5418701171875,697.3833618164062,622.4695434570312,2425.916015625,1929.6517333984375
