,Measure,My Groove Your Move,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Gmin9,G,2.0,1276.552001953125,480.057861328125,1720.5361328125,406.1883850097656,541.1088256835938,2649.372802734375,1733.2081298828125,9209.1162109375,1614.19970703125,1789.6998291015625,10397.8857421875,1776.0389404296875
1,5,G7,G,8.0,125.4061279296875,251.99627685546875,1695.6461181640625,320.6886901855469,185.16294860839844,1014.789794921875,430.1684875488281,1709.4810791015625,319.3647155761719,172.8352813720703,538.7987670898438,528.3292846679688
2,6,Cmin7,C,10.0,979.1306762695312,233.504150390625,670.134033203125,1295.748291015625,321.3585205078125,525.4083251953125,906.5783081054688,5841.283203125,972.2887573242188,756.0840454101562,4913.64306640625,1002.5957641601562
3,8,D7,D,14.0,33.923431396484375,60.2662353515625,24.333833694458008,26.313493728637695,141.90110778808594,50.483768463134766,40.6576042175293,57.86954116821289,112.58377075195312,684.954345703125,105.81869506835938,13.138052940368652
4,8,A7,A,14.666666666666664,248.1125946044922,140.75466918945312,357.0982360839844,87.21713256835938,49.809635162353516,106.55632781982422,446.161376953125,158.30616760253906,39.008426666259766,99.2828598022461,49.55435562133789,120.88897705078125
5,8,D7,D,15.333333333333336,50.22013473510742,20.311403274536133,41.17639923095703,13.422039031982422,13.617023468017578,34.0113410949707,71.60649108886719,100.0286636352539,27.397926330566406,31.021413803100586,17.413061141967773,67.95893096923828
6,9,G,G,16.0,671.3109741210938,186.37339782714844,162.0510711669922,80.8968734741211,133.8230743408203,126.6951675415039,252.0994415283203,1029.3570556640625,213.50537109375,279.2010803222656,1549.6510009765625,376.0635070800781
7,10,Cmin7,C,18.0,145.11839294433594,319.9332275390625,83.02978515625,140.77638244628906,180.05096435546875,608.1249389648438,117.34555053710938,47.14401626586914,155.74708557128906,125.6240005493164,305.46868896484375,94.08834075927734
8,10,Bbmin7,Bb,19.0,351.1187438964844,130.04905700683594,49.17671585083008,193.0023651123047,625.9714965820312,240.94354248046875,105.6441650390625,309.170166015625,101.82964324951172,225.3630828857422,162.9053192138672,113.38530731201172
9,11,Amin7(b5),A,20.0,744.8246459960938,345.5602111816406,887.58642578125,199.27110290527344,178.27122497558594,332.4178771972656,1191.4298095703125,309.49639892578125,117.07975006103516,547.438232421875,232.0275421142578,158.0850830078125
10,11,D7,D,21.0,102.32217407226562,41.95552062988281,80.04344940185547,32.75887680053711,42.500728607177734,95.11675262451172,144.38841247558594,44.60556411743164,20.235715866088867,46.265689849853516,44.232975006103516,24.965150833129883
11,12,Gmin7,G,22.0,42.37458801269531,37.2285270690918,118.58087158203125,53.12849426269531,131.7886505126953,296.3227233886719,66.44390106201172,91.23800659179688,22.37481689453125,25.41705322265625,49.588558197021484,48.62626647949219
12,12,Emin7(b5),E,23.0,49.09147262573242,20.683731079101562,49.15305709838867,117.28173828125,341.8385925292969,115.4629135131836,34.53911209106445,104.79871368408203,43.48093795776367,42.94601058959961,27.41905403137207,83.73318481445312
13,13,Adim,A,24.0,227.5706024169922,136.8208465576172,647.701171875,394.1816101074219,143.47848510742188,72.63809204101562,118.98697662353516,113.50235748291016,47.71731185913086,78.33604431152344,25.82301902770996,59.82872009277344
14,13,D7,D,25.0,114.28375244140625,96.52066040039062,262.8544006347656,133.0089874267578,177.22174072265625,594.5176391601562,275.59429931640625,318.1281433105469,116.83694458007812,197.19432067871094,330.5431823730469,122.69195556640625
15,14,Gmin7,G,26.0,66.54366302490234,48.844303131103516,195.9497528076172,91.3525161743164,96.47052001953125,449.328857421875,135.06150817871094,41.99790573120117,14.009749412536621,36.54904556274414,24.642837524414062,20.67609214782715
16,15,Gmin7,G,28.0,49.15218734741211,96.83834075927734,531.9639282226562,137.6750946044922,137.26585388183594,722.5021362304688,218.7960968017578,122.97162628173828,55.77043151855469,234.7442626953125,78.40953826904297,25.334707260131836
17,16,Cmin7,C,30.0,411.7215576171875,105.91082000732422,131.55978393554688,581.8229370117188,277.8695373535156,438.2688903808594,125.27098846435547,112.0523910522461,78.04485321044922,245.60276794433594,78.88142395019531,85.342041015625
18,16,F7,F,31.0,456.8393859863281,157.08396911621094,370.5706787109375,204.6259307861328,206.7379150390625,678.992919921875,139.30487060546875,46.751190185546875,181.3614959716797,151.482177734375,298.4706115722656,163.9956817626953
19,17,Bb9,Bb,32.0,594.1619873046875,664.2020263671875,444.1673278808594,448.90478515625,344.3471984863281,1051.7498779296875,433.8308410644531,1372.0699462890625,336.2416687011719,222.37974548339844,692.9982299804688,230.59226989746094
20,17,Eb9(0#3),Eb,33.0,611.4251098632812,245.0246124267578,123.64226531982422,219.5359649658203,619.075439453125,263.6547546386719,48.86518478393555,91.2585220336914,73.78052520751953,242.6327667236328,96.73639678955078,101.50666046142578
21,18,Amin,A,34.0,84.40538787841797,42.36332321166992,139.86090087890625,64.58592987060547,79.9197769165039,44.742855072021484,222.36814880371094,576.0576782226562,102.23171997070312,58.08134078979492,14.896858215332031,23.639039993286133
22,18,D7,D,34.666666666666664,33.6255989074707,43.177249908447266,98.98876190185547,59.68796920776367,106.2807846069336,282.86566162109375,187.0639190673828,409.9351806640625,79.781494140625,106.55146026611328,201.9411163330078,52.53831100463867
23,18,Gmin7,G,35.333333333333336,7.474376678466797,13.417513847351074,38.12881851196289,14.674052238464355,49.54429626464844,162.7787628173828,35.70542907714844,38.45600509643555,18.112146377563477,23.499677658081055,63.52375411987305,11.104023933410645
24,19,Gmin7,G,36.0,62.05397033691406,113.06209564208984,525.0379638671875,132.3712921142578,149.2975311279297,730.018798828125,255.09918212890625,126.38802337646484,55.78395462036133,237.5439453125,79.20565032958984,27.246543884277344
25,20,Cmin7,C,38.0,615.0392456054688,157.43301391601562,246.9608612060547,1080.0147705078125,570.2670288085938,604.7621459960938,160.28797912597656,156.6434783935547,187.55760192871094,557.83984375,171.96192932128906,153.6212615966797
26,20,F7,F,39.0,140.4600067138672,101.65306854248047,422.391357421875,284.332763671875,222.67677307128906,660.578369140625,137.63417053222656,42.19803237915039,177.3489227294922,154.1002960205078,315.1763000488281,123.89154052734375
27,21,Bb7,Bb,40.0,76.833251953125,347.1932373046875,300.72607421875,571.4984741210938,123.1617431640625,174.55799865722656,180.19647216796875,1049.1182861328125,196.3037109375,100.9010238647461,433.3808898925781,111.1948471069336
