,Measure,Spain,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,31,Bsus,B,60.0,4542.029296875,4146.78759765625,16569.353515625,7838.53466796875,12601.9306640625,9193.5068359375,42961.75,18611.150390625,3645.593505859375,4658.51904296875,5540.61962890625,24034.328125
1,42,Emin7,E,82.0,23.528779983520508,8.18423080444336,31.151044845581055,49.17412185668945,209.25238037109375,34.21565246582031,35.86753463745117,49.384151458740234,9.11795711517334,2.1338727474212646,19.711307525634766,144.70687866210938
2,44,A7,A,86.0,16510.2734375,75213.078125,85228.5703125,20832.447265625,26812.818359375,30599.353515625,131609.34375,34590.38671875,24582.109375,97027.8125,22884.03125,37241.859375
