,Measure,MoonRiver,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmaj7,C,0.0,1250.2479248046875,277.7065124511719,267.3399963378906,533.6669921875,2298.970458984375,436.8191833496094,464.7079772949219,2775.7685546875,503.4682312011719,107.78966522216797,225.35888671875,1390.9990234375
1,2,Amin7,A,1.5,1031.8046875,310.8078308105469,574.2608032226562,478.5421447753906,1925.9764404296875,374.5628662109375,231.9241180419922,1021.834716796875,494.816650390625,1185.981689453125,274.3804626464844,334.8466796875
2,3,F7(#11),F,3.0,1543.513671875,336.6155700683594,517.7152099609375,2139.795654296875,1292.9080810546875,944.8744506835938,450.5699157714844,323.2894287109375,320.8188171386719,1111.956298828125,555.0879516601562,2231.845703125
3,4,Cmaj7,C,4.5,1225.2218017578125,294.508544921875,313.16253662109375,655.950439453125,2480.387939453125,505.1915588378906,473.7169189453125,2789.608154296875,503.0693664550781,113.50865936279297,234.1077117919922,1400.9232177734375
4,5,F7,F,6.0,1189.2691650390625,284.7126159667969,468.9046630859375,2099.57421875,1303.0684814453125,921.8130493164062,383.8150939941406,332.41131591796875,327.4998474121094,1079.8040771484375,336.19036865234375,635.2459106445312
5,6,Cmaj7,C,7.5,1224.5821533203125,294.8355407714844,313.4347229003906,656.15380859375,2479.63720703125,505.134765625,473.2327880859375,2787.730712890625,503.4202880859375,115.11234283447266,233.47694396972656,1395.82861328125
6,7,Bmin7(b5),B,9.0,374.392822265625,625.8627319335938,2918.177734375,731.9620971679688,304.2807312011719,534.4981079101562,2461.9287109375,462.0343017578125,195.01307678222656,811.4484252929688,396.1749572753906,1341.5028076171875
7,8,E7,E,10.5,238.2396697998047,193.07313537597656,998.6149291992188,616.8175048828125,2022.60888671875,373.0582275390625,177.89955139160156,174.59423828125,872.16943359375,218.2418212890625,172.845947265625,851.8711547851562
8,9,Amin7,A,12.0,2674.727294921875,508.9635009765625,216.4318389892578,450.8769226074219,1855.83740234375,361.4478759765625,232.76593017578125,982.3648071289062,501.068603515625,1073.5628662109375,276.0762634277344,559.3162231445312
9,10,C7/G,C,13.5,1183.0855712890625,396.1507568359375,581.8958740234375,581.9074096679688,2514.510498046875,691.2748413085938,666.477783203125,3520.207763671875,687.1484375,348.5438537597656,1221.294677734375,521.499267578125
10,11,Fmaj7,F,15.0,3191.937255859375,572.4511108398438,378.238037109375,494.2235412597656,2093.93359375,1037.1165771484375,258.4280090332031,257.05401611328125,415.9627380371094,1105.9212646484375,280.9949035644531,636.1780395507812
11,12,Bb7,Bb,16.5,207.94129943847656,290.7967224121094,1337.5535888671875,373.7920227050781,480.1343078613281,1655.2584228515625,727.3988647460938,2195.264892578125,1233.364013671875,571.3385620117188,1211.85546875,265.0233459472656
12,13,Amin7,A,18.0,663.5734252929688,153.5509796142578,198.1939697265625,157.58334350585938,525.30908203125,149.4761962890625,74.59844970703125,279.6058654785156,170.62339782714844,326.9187316894531,104.08704376220703,168.47915649414062
13,13,Amin7/G,A,18.75,78.23955535888672,15.62552547454834,13.24557113647461,44.138423919677734,220.75025939941406,67.30175018310547,21.064477920532227,79.39666748046875,23.24387550354004,18.597043991088867,7.602472305297852,27.075828552246094
14,14,F#min7,F#,19.5,225.5911102294922,58.340763092041016,66.55097198486328,65.30314636230469,249.77093505859375,59.28463363647461,49.24773025512695,264.8193664550781,82.92091369628906,59.59645080566406,19.23225212097168,46.793121337890625
15,14,B7,B,20.25,64.52819061279297,145.42298889160156,35.092769622802734,41.74111557006836,181.9856719970703,71.74668884277344,119.35955810546875,28.958520889282227,37.033512115478516,49.15639877319336,16.389869689941406,15.474178314208984
16,15,Emin7,E,21.0,130.63973999023438,122.5168685913086,419.556884765625,443.6834716796875,596.0252075195312,174.7115936279297,380.7241516113281,304.7217712402344,97.42398834228516,226.0908966064453,130.86195373535156,538.2649536132812
17,15,A7,A,21.75,9.785996437072754,16.33989906311035,51.73382568359375,100.38477325439453,153.84080505371094,45.7159309387207,63.74654769897461,83.18888092041016,73.20429229736328,361.2179870605469,53.55888366699219,29.410017013549805
18,16,Dmin,D,22.5,58.88982009887695,237.82908630371094,458.9407958984375,177.88011169433594,463.8775939941406,653.8237915039062,191.382080078125,190.6078338623047,208.46961975097656,972.1128540039062,153.0541534423828,32.4620246887207
19,16,G7,G,23.25,7.835516452789307,47.58491516113281,93.69115447998047,40.700504302978516,102.43134307861328,167.12326049804688,32.30134963989258,17.292490005493164,38.32766342163086,250.5851287841797,37.67122268676758,8.338227272033691
