,Measure,SkateU,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,57,Amaj7(#11),A,112.0,747.36083984375,2724.705078125,999.329345703125,1659.4217529296875,4373.83642578125,1257.5838623046875,715.693359375,640.4862060546875,3621.0595703125,10038.7626953125,1502.6817626953125,340.8035888671875
1,59,Ebmin7,Eb,116.0,755.4161987304688,4311.08447265625,2443.066650390625,9185.8251953125,1600.9698486328125,1893.58935546875,9905.7841796875,1717.3707275390625,373.9443054199219,874.9752807617188,5297.47021484375,861.7877807617188
2,61,Emaj7,E,120.0,1008.9841918945312,273.6212158203125,493.1808166503906,3196.354248046875,9991.158203125,1719.4796142578125,570.7671508789062,827.935791015625,3542.131103515625,674.6416625976562,1004.8634643554688,5268.36376953125
3,63,C#,C#,124.0,487.5517578125,1700.8658447265625,370.1522216796875,205.18577575683594,705.0084838867188,3817.853515625,645.8068237304688,217.77093505859375,1188.7425537109375,233.0320281982422,82.09949493408203,96.02883911132812
4,64,C#min7,C#,126.0,964.527587890625,2868.22265625,585.1452026367188,812.0673217773438,3569.72265625,1172.5235595703125,982.2188110351562,370.3056945800781,1311.4012451171875,334.8148193359375,441.8841552734375,1931.8836669921875
5,65,Bbmin7,Bb,128.0,568.6801147460938,1830.7181396484375,1029.0660400390625,1065.4207763671875,1065.61181640625,3357.4462890625,751.59765625,395.6485595703125,1444.8526611328125,787.5149536132812,1963.0760498046875,426.948486328125
6,66,C#min7,C#,130.0,981.7853393554688,2847.319580078125,577.1250610351562,803.20068359375,3609.142578125,1218.8131103515625,1068.594482421875,413.7778625488281,1379.60302734375,371.7784729003906,451.887939453125,1961.4112548828125
7,67,Bbmin7,Bb,132.0,568.4230346679688,1833.0657958984375,1031.4691162109375,1067.1207275390625,1065.9476318359375,3356.107177734375,743.440185546875,393.4850158691406,1445.6136474609375,787.7721557617188,1956.9654541015625,425.8999938964844
8,68,F#7sus(07),F#,134.0,740.0669555664062,2036.8677978515625,512.2798461914062,613.8865356445312,435.2416687011719,1510.3699951171875,1793.5667724609375,427.924560546875,343.5140075683594,285.2656555175781,568.9918823242188,2012.1312255859375
9,69,D#sus,D#,136.0,274.60040283203125,217.4814910888672,985.8695678710938,3990.229248046875,718.5888061523438,261.31427001953125,287.3819274902344,364.0780334472656,1265.2774658203125,507.8103942871094,2156.711669921875,649.7838134765625
10,70,C#min7,C#,138.0,1000.1686401367188,3194.8125,620.3244018554688,919.1470336914062,3557.781005859375,1315.93603515625,2267.527587890625,521.7435302734375,1379.8177490234375,359.74658203125,416.4388732910156,1690.8284912109375
11,71,Bbmin7,Bb,140.0,1989.2705078125,6164.599609375,2773.9033203125,5099.9130859375,8265.10546875,14188.2705078125,4721.8701171875,1491.6746826171875,4991.86474609375,2777.004638671875,7121.73779296875,1544.1478271484375
