,Measure,StrasbourgII,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bbmin7,Bb,0.0,202.1437530517578,525.7724609375,171.01190185546875,117.46700286865234,290.24114990234375,1002.6404418945312,215.11354064941406,120.5700454711914,557.12158203125,821.4291381835938,3093.816650390625,592.9335327148438
1,1,Cmin7,C,1.0,905.7153930664062,220.9224853515625,49.38737869262695,44.97468185424805,177.51622009277344,316.217529296875,69.43103790283203,181.9292449951172,72.6723861694336,87.4361572265625,274.0411071777344,225.7169189453125
2,2,Dbmaj7,Db,2.0,2456.6220703125,2374.909912109375,1115.1402587890625,1479.6922607421875,1059.898681640625,3868.8076171875,819.8225708007812,849.2614135742188,1359.9576416015625,534.4332885742188,694.3438110351562,472.9974670410156
3,3,Bbmin7,Bb,4.0,358.4770202636719,562.635009765625,174.130126953125,144.1805877685547,310.8154296875,1017.4727172851562,221.9708251953125,127.73917388916016,562.0227661132812,781.4236450195312,3112.088623046875,622.7348022460938
4,3,Cmin7,C,5.0,932.912353515625,224.13682556152344,50.996307373046875,51.58589553833008,179.9257049560547,319.5170593261719,71.53390502929688,190.5859375,73.35213470458984,88.28118896484375,283.7369079589844,232.36842346191406
5,4,Dbmaj13,Db,6.0,2487.888916015625,2993.8828125,3681.7744140625,2838.8359375,1472.4224853515625,2647.60107421875,4293.7021484375,1870.5772705078125,1978.1939697265625,1077.4368896484375,2005.61474609375,866.6959838867188
6,5,Bbmin7,Bb,8.0,214.6829376220703,488.5685119628906,233.7167205810547,291.0898132324219,320.1781005859375,1169.232421875,270.7230529785156,134.4929962158203,561.2870483398438,844.1371459960938,3148.254150390625,608.7432861328125
7,5,Cmin7,C,9.0,880.2015991210938,206.84706115722656,49.302974700927734,59.638614654541016,189.654541015625,335.7001647949219,85.2754898071289,198.2698974609375,78.40644073486328,88.26620483398438,263.8183288574219,211.6754913330078
8,6,Dbmaj7,Db,10.0,1381.2374267578125,906.4144897460938,1047.9315185546875,536.3015747070312,379.2430725097656,1101.065673828125,346.4792785644531,306.7278137207031,463.4539794921875,263.7089538574219,252.1751708984375,243.7706298828125
9,6,Eb7,Eb,11.0,318.9118347167969,820.6560668945312,446.1498107910156,1686.86669921875,390.2950439453125,278.83209228515625,131.63375854492188,489.4990234375,136.9768524169922,111.88871002197266,510.70263671875,153.40052795410156
10,7,Abmaj9,Ab,12.0,1147.4676513671875,544.1835327148438,1272.9007568359375,5467.74853515625,1085.4942626953125,334.4653015136719,416.3675842285156,1886.3031005859375,3289.858642578125,855.5481567382812,1795.0557861328125,644.826171875
11,8,F7(#9),F,14.0,2141.044189453125,510.1846008300781,787.7466430664062,3550.582275390625,1819.5682373046875,2273.014404296875,690.7439575195312,665.9398803710938,1862.9482421875,1974.3221435546875,500.6280212402344,508.1260986328125
12,9,Bbmin7,Bb,16.0,186.6772918701172,499.9289245605469,124.9355697631836,136.72593688964844,264.54034423828125,1098.116943359375,221.8835906982422,116.00454711914062,572.0812377929688,299.4490051269531,592.733154296875,143.67752075195312
13,9,Cmin7,C,17.0,96.70928192138672,102.85122680664062,70.37000274658203,212.9407196044922,87.75405883789062,246.3438262939453,60.998046875,66.1512680053711,48.617801666259766,35.01345443725586,137.09521484375,56.13191223144531
14,10,Dbmaj7,Db,18.0,1605.5916748046875,1950.9111328125,466.31591796875,1120.6590576171875,973.0896606445312,3990.211669921875,779.4894409179688,735.932861328125,1592.46337890625,316.8556213378906,295.0539245605469,321.8233337402344
15,11,Bbmin7,Bb,20.0,174.61170959472656,496.6447448730469,145.5094451904297,152.04627990722656,234.6576690673828,1021.655517578125,212.5821075439453,119.90186309814453,578.9365234375,295.5028381347656,561.7742919921875,132.1884002685547
16,11,Cmin7,C,21.0,519.9993286132812,235.97569274902344,305.0546875,943.3041381835938,327.7593994140625,295.2404479980469,129.369140625,444.6600341796875,128.3669891357422,156.49464416503906,773.176025390625,286.0233459472656
17,12,Dbmaj13,Db,22.0,2187.889404296875,1051.225341796875,952.081298828125,3018.063720703125,1405.80859375,2394.341796875,4052.501953125,1592.0960693359375,2156.733642578125,755.6749877929688,1890.5015869140625,806.7562866210938
18,13,Bbmin7,Bb,24.0,186.3317413330078,496.2965393066406,124.93304443359375,132.6432342529297,262.1758728027344,1078.27685546875,230.4960174560547,117.27938079833984,572.3432006835938,286.4904479980469,569.4246826171875,146.10328674316406
19,13,Cmin7,C,25.0,524.2642822265625,231.61309814453125,303.8570251464844,951.2601928710938,331.3406066894531,301.7919006347656,135.5193634033203,452.2763977050781,127.60118865966797,155.85572814941406,770.8688354492188,285.9200134277344
